,date_time,dew_point_temperature_set_1d,pressure_set_1,altimeter_set_1d,heat_index_set_1d,relative_humidity_set_1,sea_level_pressure_set_1d,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 10:00:00,15.03,98815.0,101217.13,,61.29,101140.89,22.9,STDCA,663,-122.43000,40.72000
1,2018-08-01 10:04:00,14.89,98819.0,101221.23,,61.17,101145.86,22.79,STDCA,663,-122.43000,40.72000
2,2018-08-01 10:08:00,14.84,98813.0,101215.09,,61.34,101140.51,22.69,STDCA,663,-122.43000,40.72000
3,2018-08-01 10:12:00,14.89,98814.0,101216.11,,61.37,101141.21,22.73,STDCA,663,-122.43000,40.72000
4,2018-08-01 10:16:00,14.94,98810.0,101212.01,,61.69,101137.36,22.7,STDCA,663,-122.43000,40.72000
5,2018-08-01 10:20:00,15.01,98808.0,101209.96,,61.58,101134.52,22.8,STDCA,663,-122.43000,40.72000
6,2018-08-01 10:24:00,15.07,98808.0,101209.96,,62.23,101135.39,22.69,STDCA,663,-122.43000,40.72000
7,2018-08-01 10:28:00,15.1,98809.0,101210.99,,62.79,101137.29,22.58,STDCA,663,-122.43000,40.72000
8,2018-08-01 10:33:00,15.07,98809.0,101210.99,,63.02,101138.0,22.49,STDCA,663,-122.43000,40.72000
9,2018-08-01 10:37:00,14.92,98812.0,101214.06,,62.7,101141.71,22.41,STDCA,663,-122.43000,40.72000
10,2018-08-01 10:41:00,14.86,98811.0,101213.04,,63.91,101143.63,22.04,STDCA,663,-122.43000,40.72000
11,2018-08-01 10:45:00,15.2,98811.0,101213.04,,66.31,101145.63,21.79,STDCA,663,-122.43000,40.72000
12,2018-08-01 10:49:00,15.13,98814.0,101216.11,,66.82,101150.3,21.59,STDCA,663,-122.43000,40.72000
13,2018-08-01 10:53:00,15.08,98811.0,101213.04,,67.3,101148.59,21.42,STDCA,663,-122.43000,40.72000
14,2018-08-01 10:57:00,15.09,98813.0,101215.09,,67.53,101151.04,21.37,STDCA,663,-122.43000,40.72000
15,2018-08-01 11:00:00,14.98,98811.0,101213.04,,66.98,101148.83,21.39,STDCA,663,-122.43000,40.72000
16,2018-08-01 11:04:00,14.91,98814.0,101216.11,,66.58,101151.66,21.42,STDCA,663,-122.43000,40.72000
17,2018-08-01 11:08:00,14.7,98807.0,101208.94,,66.32,101145.78,21.26,STDCA,663,-122.43000,40.72000
18,2018-08-01 11:12:00,14.68,98804.0,101205.87,,66.54,101143.27,21.19,STDCA,663,-122.43000,40.72000
19,2018-08-01 11:16:00,14.49,98803.0,101204.84,,64.61,101140.01,21.47,STDCA,663,-122.43000,40.72000
20,2018-08-01 11:20:00,14.34,98806.0,101207.92,,61.88,101138.68,22.02,STDCA,663,-122.43000,40.72000
21,2018-08-01 11:24:00,14.3,98808.0,101209.96,,60.37,101137.86,22.38,STDCA,663,-122.43000,40.72000
22,2018-08-01 11:28:00,14.44,98809.0,101210.99,,60.61,101138.25,22.46,STDCA,663,-122.43000,40.72000
23,2018-08-01 11:33:00,14.59,98806.0,101207.92,,60.4,101133.43,22.68,STDCA,663,-122.43000,40.72000
24,2018-08-01 11:37:00,14.52,98799.0,101200.75,,59.18,101124.2,22.94,STDCA,663,-122.43000,40.72000
25,2018-08-01 11:41:00,14.4,98805.0,101206.89,,59.48,101132.01,22.73,STDCA,663,-122.43000,40.72000
26,2018-08-01 11:45:00,14.47,98806.0,101207.92,,59.75,101133.03,22.73,STDCA,663,-122.43000,40.72000
27,2018-08-01 11:49:00,14.46,98807.0,101208.94,,60.59,101135.96,22.49,STDCA,663,-122.43000,40.72000
28,2018-08-01 11:53:00,14.56,98807.0,101208.94,,61.47,101136.99,22.36,STDCA,663,-122.43000,40.72000
29,2018-08-01 11:57:00,14.69,98806.0,101207.92,,62.27,101136.61,22.28,STDCA,663,-122.43000,40.72000
30,2018-08-01 12:00:00,14.72,98806.0,101207.92,,61.76,101135.25,22.45,STDCA,663,-122.43000,40.72000
