,date_time,wind_speed_set_1,wind_cardinal_direction_set_1d,heat_index_set_1d,pressure_set_1d,dew_point_temperature_set_1d,altimeter_set_1,wind_direction_set_1,relative_humidity_set_1,solar_radiation_set_1,sea_level_pressure_set_1d,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 07:00:00,0.0,,,,2.95,,,23.0,860.0,,25.61,MELC1,7200,-120.50833,39.41667
1,2018-08-01 07:20:00,0.0,,,,3.48,,,48.0,0.0,,14.44,MELC1,7200,-120.50833,39.41667
2,2018-08-01 07:40:00,0.0,,,,4.43,,,50.0,0.0,,14.83,MELC1,7200,-120.50833,39.41667
3,2018-08-01 08:00:00,0.0,,,,4.28,,,50.0,0.0,,14.67,MELC1,7200,-120.50833,39.41667
4,2018-08-01 08:20:00,0.0,,,,3.18,,,48.0,0.0,,14.11,MELC1,7200,-120.50833,39.41667
5,2018-08-01 08:40:00,0.0,,,,0.01,,,39.0,0.0,,13.83,MELC1,7200,-120.50833,39.41667
6,2018-08-01 09:00:00,0.0,,,,1.45,,,44.0,0.0,,13.56,MELC1,7200,-120.50833,39.41667
7,2018-08-01 09:20:00,0.0,,,,0.54,,,42.0,0.0,,13.28,MELC1,7200,-120.50833,39.41667
8,2018-08-01 09:40:00,0.0,,,,1.14,,,44.0,0.0,,13.22,MELC1,7200,-120.50833,39.41667
9,2018-08-01 10:00:00,0.0,,,,0.11,,,41.0,0.0,,13.17,MELC1,7200,-120.50833,39.41667
10,2018-08-01 13:00:00,0.0,,,,-1.3,,,37.0,0.0,,13.17,MELC1,7200,-120.50833,39.41667
11,2018-08-01 13:20:00,0.0,,,,-3.74,,,34.0,3.0,,11.72,MELC1,7200,-120.50833,39.41667
12,2018-08-01 13:40:00,0.0,,,,-3.02,,,36.0,6.0,,11.67,MELC1,7200,-120.50833,39.41667
13,2018-08-01 14:00:00,0.0,,,,-1.35,,,41.0,13.0,,11.56,MELC1,7200,-120.50833,39.41667
14,2018-08-01 14:20:00,0.0,,,,1.03,,,48.0,17.0,,11.78,MELC1,7200,-120.50833,39.41667
15,2018-08-01 14:40:00,0.0,,,,1.56,,,47.0,23.0,,12.67,MELC1,7200,-120.50833,39.41667
16,2018-08-01 15:00:00,0.0,,,,0.46,,,39.0,29.0,,14.33,MELC1,7200,-120.50833,39.41667
17,2018-08-01 15:20:00,0.0,,,,-2.22,,,29.0,45.0,,15.89,MELC1,7200,-120.50833,39.41667
18,2018-08-01 15:40:00,0.0,,,,-3.32,,,24.0,36.0,,17.56,MELC1,7200,-120.50833,39.41667
19,2018-08-01 16:00:00,0.0,,,,-4.69,,,19.0,40.0,,19.61,MELC1,7200,-120.50833,39.41667
20,2018-08-01 19:00:00,0.0,,,,-3.22,,,20.0,197.0,,20.56,MELC1,7200,-120.50833,39.41667
21,2018-08-01 19:20:00,0.45,WNW,,,-3.35,,292.0,16.0,955.0,,24.0,MELC1,7200,-120.50833,39.41667
22,2018-08-01 19:40:00,0.45,SSE,,,-1.5,,155.0,18.0,980.0,,24.33,MELC1,7200,-120.50833,39.41667
23,2018-08-01 20:00:00,0.45,E,,,-2.22,,82.0,17.0,984.0,,24.39,MELC1,7200,-120.50833,39.41667
24,2018-08-01 20:20:00,0.45,NNE,,,-2.31,,20.0,17.0,983.0,,24.28,MELC1,7200,-120.50833,39.41667
25,2018-08-01 20:40:00,0.45,NNW,,,0.02,,346.0,20.0,977.0,,24.44,MELC1,7200,-120.50833,39.41667
26,2018-08-01 21:00:00,0.45,,,,1.07,,,21.0,971.0,,24.89,MELC1,7200,-120.50833,39.41667
27,2018-08-01 21:20:00,0.45,,,,1.4,,,21.0,966.0,,25.28,MELC1,7200,-120.50833,39.41667
28,2018-08-01 21:40:00,0.45,WNW,,,1.02,,303.0,21.0,943.0,,24.83,MELC1,7200,-120.50833,39.41667
29,2018-08-01 22:00:00,0.45,WNW,,,-0.58,,302.0,19.0,909.0,,24.56,MELC1,7200,-120.50833,39.41667
30,2018-08-02 01:00:00,0.0,,,,-0.26,,,19.0,875.0,,24.94,MELC1,7200,-120.50833,39.41667
31,2018-08-02 01:20:00,0.45,E,,,-0.2,,95.0,24.0,82.0,,21.22,MELC1,7200,-120.50833,39.41667
32,2018-08-02 01:40:00,0.0,,,,-0.72,,,24.0,20.0,,20.61,MELC1,7200,-120.50833,39.41667
33,2018-08-02 02:00:00,0.0,,,,-4.14,,,19.0,16.0,,20.28,MELC1,7200,-120.50833,39.41667
34,2018-08-02 02:20:00,0.0,,,,-2.29,,,23.0,10.0,,19.44,MELC1,7200,-120.50833,39.41667
35,2018-08-02 02:40:00,0.0,,,,-0.23,,,29.0,8.0,,18.17,MELC1,7200,-120.50833,39.41667
36,2018-08-02 03:00:00,0.0,,,,1.4,,,35.0,4.0,,17.06,MELC1,7200,-120.50833,39.41667
37,2018-08-02 03:20:00,0.0,,,,0.75,,,35.0,1.0,,16.33,MELC1,7200,-120.50833,39.41667
38,2018-08-02 03:40:00,0.0,,,,0.45,,,36.0,0.0,,15.56,MELC1,7200,-120.50833,39.41667
39,2018-08-02 04:00:00,0.0,,,,-0.1,,,36.0,0.0,,14.94,MELC1,7200,-120.50833,39.41667
40,2018-08-02 07:00:00,0.0,,,,-0.11,,,37.0,0.0,,14.5,MELC1,7200,-120.50833,39.41667
41,2018-08-02 07:20:00,0.0,,,,-3.05,,,34.0,0.0,,12.5,MELC1,7200,-120.50833,39.41667
42,2018-08-02 07:40:00,0.0,,,,-3.15,,,34.0,0.0,,12.39,MELC1,7200,-120.50833,39.41667
43,2018-08-02 08:00:00,0.0,,,,-3.74,,,33.0,0.0,,12.17,MELC1,7200,-120.50833,39.41667
44,2018-08-02 08:20:00,0.0,,,,-4.35,,,32.0,0.0,,11.94,MELC1,7200,-120.50833,39.41667
45,2018-08-02 08:40:00,0.0,,,,-4.87,,,31.0,0.0,,11.83,MELC1,7200,-120.50833,39.41667
46,2018-08-02 09:00:00,0.0,,,,-5.4,,,30.0,0.0,,11.72,MELC1,7200,-120.50833,39.41667
47,2018-08-02 09:20:00,0.0,,,,-5.07,,,31.0,0.0,,11.61,MELC1,7200,-120.50833,39.41667
48,2018-08-02 09:40:00,0.0,,,,-6.04,,,29.0,0.0,,11.5,MELC1,7200,-120.50833,39.41667
49,2018-08-02 10:00:00,0.0,,,,-6.5,,,28.0,0.0,,11.5,MELC1,7200,-120.50833,39.41667
50,2018-08-02 13:00:00,0.0,,,,-7.82,,,25.0,0.0,,11.67,MELC1,7200,-120.50833,39.41667
51,2018-08-02 13:20:00,0.0,,,,-10.93,,,21.0,3.0,,10.61,MELC1,7200,-120.50833,39.41667
52,2018-08-02 13:40:00,0.0,,,,-9.62,,,24.0,6.0,,10.17,MELC1,7200,-120.50833,39.41667
53,2018-08-02 14:00:00,0.0,,,,-5.71,,,33.0,15.0,,9.94,MELC1,7200,-120.50833,39.41667
54,2018-08-02 14:20:00,0.0,,,,-2.7,,,40.0,18.0,,10.44,MELC1,7200,-120.50833,39.41667
55,2018-08-02 14:40:00,0.0,,,,0.77,,,48.0,17.0,,11.5,MELC1,7200,-120.50833,39.41667
56,2018-08-02 15:00:00,0.0,,,,-3.0,,,34.0,24.0,,12.56,MELC1,7200,-120.50833,39.41667
57,2018-08-02 15:20:00,0.0,,,,-7.11,,,22.0,28.0,,14.44,MELC1,7200,-120.50833,39.41667
58,2018-08-02 15:40:00,0.0,,,,-10.42,,,15.0,33.0,,16.33,MELC1,7200,-120.50833,39.41667
59,2018-08-02 16:00:00,0.0,,,,-12.78,,,11.0,33.0,,18.17,MELC1,7200,-120.50833,39.41667
60,2018-08-02 19:00:00,0.0,,,,-7.85,,,15.0,238.0,,19.5,MELC1,7200,-120.50833,39.41667
61,2018-08-02 19:20:00,0.45,N,,,-6.42,,11.0,13.0,988.0,,23.56,MELC1,7200,-120.50833,39.41667
62,2018-08-02 19:40:00,0.45,,,,-2.9,,,17.0,1008.0,,23.56,MELC1,7200,-120.50833,39.41667
63,2018-08-02 20:00:00,0.45,,,,-0.01,,,21.0,1021.0,,23.61,MELC1,7200,-120.50833,39.41667
64,2018-08-02 20:20:00,0.45,ESE,,,-1.46,,113.0,19.0,1030.0,,23.5,MELC1,7200,-120.50833,39.41667
65,2018-08-02 20:40:00,0.45,NW,,,-5.29,,314.0,14.0,982.0,,23.78,MELC1,7200,-120.50833,39.41667
66,2018-08-02 21:00:00,0.45,SSE,,,-4.47,,165.0,15.0,996.0,,23.67,MELC1,7200,-120.50833,39.41667
67,2018-08-02 21:20:00,0.45,NNE,,,-0.49,,31.0,20.0,965.0,,23.83,MELC1,7200,-120.50833,39.41667
68,2018-08-02 21:40:00,0.45,NW,,62851.75,-3.35,,326.0,16.0,960.0,80411.29,24.0,MELC1,7200,-120.50833,39.41667
