,road_temp_set_4,date_time,road_subsurface_tmp_set_1,road_temp_set_1,road_temp_set_2,road_temp_set_3,dew_point_temperature_set_1d,heat_index_set_1d,wind_direction_set_1,wind_cardinal_direction_set_1d,relative_humidity_set_1,wind_speed_set_1,wind_gust_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,38.6,2018-08-01 00:13:00,32.6,39.0,40.0,38.4,12.04,32.19,106.0,ESE,27.0,1.67,2.5,33.5,CTVOL,1330,-122.4268,40.9418
1,38.4,2018-08-01 00:28:00,32.6,38.9,39.9,38.3,12.13,32.31,121.0,ESE,27.0,1.67,2.78,33.6,CTVOL,1330,-122.4268,40.9418
2,37.9,2018-08-01 00:43:00,32.8,38.4,39.4,37.8,12.5,32.21,107.0,ESE,28.0,1.67,1.94,33.4,CTVOL,1330,-122.4268,40.9418
3,37.6,2018-08-01 00:58:00,33.0,38.1,39.1,37.5,12.69,31.86,115.0,ESE,29.0,1.94,1.94,33.0,CTVOL,1330,-122.4268,40.9418
4,37.6,2018-08-01 01:13:00,33.1,38.0,39.1,37.3,13.53,31.89,54.0,NE,31.0,0.83,2.5,32.8,CTVOL,1330,-122.4268,40.9418
5,37.3,2018-08-01 01:28:00,33.1,37.8,38.6,37.1,13.66,31.54,136.0,SE,32.0,0.56,1.39,32.4,CTVOL,1330,-122.4268,40.9418
6,37.1,2018-08-01 01:43:00,33.3,37.5,38.6,36.8,15.22,32.25,52.0,NE,35.0,0.28,1.39,32.6,CTVOL,1330,-122.4268,40.9418
7,36.5,2018-08-01 01:58:00,33.4,36.8,37.8,36.1,14.59,31.83,194.0,SSW,34.0,0.28,0.56,32.4,CTVOL,1330,-122.4268,40.9418
8,35.6,2018-08-01 02:13:00,33.4,36.0,37.1,35.4,16.25,31.06,,,41.0,0.0,0.56,31.0,CTVOL,1330,-122.4268,40.9418
9,34.9,2018-08-01 02:28:00,33.5,34.6,35.9,34.5,16.17,29.81,,,44.0,0.0,0.28,29.7,CTVOL,1330,-122.4268,40.9418
10,33.6,2018-08-01 02:43:00,33.6,33.6,34.9,33.4,16.13,29.08,,,46.0,0.0,0.28,28.9,CTVOL,1330,-122.4268,40.9418
11,33.0,2018-08-01 02:58:00,33.6,32.9,34.0,32.6,15.74,28.3,260.0,W,47.0,0.56,0.28,28.1,CTVOL,1330,-122.4268,40.9418
12,32.1,2018-08-01 03:13:00,33.6,32.1,33.1,31.8,15.24,27.48,271.0,W,48.0,0.56,0.56,27.2,CTVOL,1330,-122.4268,40.9418
13,31.6,2018-08-01 03:28:00,33.8,31.3,32.4,31.1,15.0,,280.0,W,49.0,0.56,1.11,26.6,CTVOL,1330,-122.4268,40.9418
14,30.8,2018-08-01 03:43:00,33.8,30.8,31.8,30.4,15.47,,259.0,W,52.0,0.83,1.67,26.1,CTVOL,1330,-122.4268,40.9418
15,30.3,2018-08-01 03:58:00,33.8,30.1,31.3,29.9,15.28,,298.0,WNW,52.0,0.56,1.39,25.9,CTVOL,1330,-122.4268,40.9418
16,29.8,2018-08-01 04:13:00,33.8,29.6,30.8,29.3,14.72,,300.0,WNW,52.0,0.83,1.39,25.3,CTVOL,1330,-122.4268,40.9418
17,29.3,2018-08-01 04:28:00,33.8,29.1,30.1,28.8,15.03,,252.0,WSW,55.0,1.11,1.39,24.7,CTVOL,1330,-122.4268,40.9418
18,28.9,2018-08-01 04:43:00,33.8,28.6,29.8,28.4,13.98,,268.0,W,52.0,1.67,1.67,24.5,CTVOL,1330,-122.4268,40.9418
19,28.4,2018-08-01 04:58:00,33.8,28.1,29.4,27.9,14.01,,279.0,W,55.0,0.83,1.94,23.6,CTVOL,1330,-122.4268,40.9418
20,28.1,2018-08-01 05:13:00,33.8,27.9,29.0,27.6,13.91,,286.0,WNW,55.0,0.83,1.39,23.5,CTVOL,1330,-122.4268,40.9418
21,27.9,2018-08-01 05:28:00,33.8,27.6,28.6,27.4,13.9,,303.0,WNW,57.0,0.83,1.39,22.9,CTVOL,1330,-122.4268,40.9418
22,27.6,2018-08-01 05:43:00,33.6,27.3,28.3,27.1,13.72,,273.0,W,56.0,1.39,2.5,23.0,CTVOL,1330,-122.4268,40.9418
23,27.4,2018-08-01 05:58:00,33.6,26.9,28.0,26.6,13.53,,293.0,WNW,57.0,0.83,1.94,22.5,CTVOL,1330,-122.4268,40.9418
24,27.1,2018-08-01 06:13:00,33.6,26.6,27.8,26.5,13.35,,270.0,W,56.0,0.83,1.94,22.6,CTVOL,1330,-122.4268,40.9418
25,26.6,2018-08-01 06:28:00,33.5,26.5,27.5,26.1,13.51,,262.0,W,58.0,1.94,1.94,22.2,CTVOL,1330,-122.4268,40.9418
26,26.5,2018-08-01 06:43:00,33.5,26.1,27.3,26.0,13.25,,261.0,W,56.0,1.11,1.94,22.5,CTVOL,1330,-122.4268,40.9418
27,26.3,2018-08-01 06:58:00,33.4,25.9,26.9,25.6,13.28,,288.0,WNW,60.0,1.11,1.94,21.4,CTVOL,1330,-122.4268,40.9418
28,26.0,2018-08-01 07:13:00,33.4,25.8,26.6,25.5,12.96,,266.0,W,57.0,1.11,1.39,21.9,CTVOL,1330,-122.4268,40.9418
29,25.8,2018-08-01 07:28:00,33.3,25.5,26.5,25.3,12.93,,300.0,WNW,59.0,0.56,1.94,21.3,CTVOL,1330,-122.4268,40.9418
30,25.5,2018-08-01 07:43:00,33.3,25.3,26.1,25.0,13.0,,268.0,W,60.0,0.83,2.22,21.1,CTVOL,1330,-122.4268,40.9418
31,25.4,2018-08-01 07:58:00,33.1,25.0,26.0,24.9,12.97,,318.0,NW,61.0,0.56,2.22,20.8,CTVOL,1330,-122.4268,40.9418
32,25.3,2018-08-01 08:13:00,33.0,24.8,25.8,24.6,13.06,,286.0,WNW,61.0,0.83,1.67,20.9,CTVOL,1330,-122.4268,40.9418
33,25.0,2018-08-01 08:28:00,33.0,24.5,25.4,24.4,12.84,,260.0,W,62.0,2.22,1.94,20.4,CTVOL,1330,-122.4268,40.9418
34,24.6,2018-08-01 08:43:00,32.8,24.3,25.3,24.1,12.55,,244.0,WSW,59.0,1.67,2.5,20.9,CTVOL,1330,-122.4268,40.9418
35,24.5,2018-08-01 08:58:00,32.6,24.1,25.0,24.0,12.46,,289.0,WNW,62.0,1.11,2.22,20.0,CTVOL,1330,-122.4268,40.9418
36,24.3,2018-08-01 09:13:00,32.6,24.0,24.9,23.9,12.01,,273.0,W,58.0,1.67,2.78,20.6,CTVOL,1330,-122.4268,40.9418
37,24.0,2018-08-01 09:28:00,32.6,23.8,24.5,23.6,11.86,,282.0,WNW,60.0,1.39,2.22,19.9,CTVOL,1330,-122.4268,40.9418
38,24.0,2018-08-01 09:43:00,32.4,23.5,24.5,23.5,11.83,,290.0,WNW,61.0,0.83,1.67,19.6,CTVOL,1330,-122.4268,40.9418
39,23.8,2018-08-01 09:58:00,32.3,23.3,24.3,23.3,11.68,,264.0,W,60.0,1.11,1.67,19.7,CTVOL,1330,-122.4268,40.9418
40,23.5,2018-08-01 10:13:00,32.3,23.0,24.0,23.0,11.42,,252.0,WSW,59.0,0.83,1.67,19.7,CTVOL,1330,-122.4268,40.9418
41,23.3,2018-08-01 10:28:00,32.1,22.9,23.9,22.8,11.61,,280.0,W,62.0,1.11,2.5,19.1,CTVOL,1330,-122.4268,40.9418
42,23.0,2018-08-01 10:43:00,32.0,22.6,23.6,22.5,11.32,,273.0,W,62.0,1.39,1.67,18.8,CTVOL,1330,-122.4268,40.9418
43,22.9,2018-08-01 10:58:00,32.0,22.5,23.4,22.5,11.28,,267.0,W,63.0,1.39,2.78,18.5,CTVOL,1330,-122.4268,40.9418
44,22.6,2018-08-01 11:13:00,31.9,22.4,23.1,22.3,11.08,,269.0,W,61.0,1.39,2.22,18.8,CTVOL,1330,-122.4268,40.9418
45,22.5,2018-08-01 11:28:00,31.6,22.1,23.0,22.0,10.95,,263.0,W,59.0,3.06,1.94,19.2,CTVOL,1330,-122.4268,40.9418
46,22.4,2018-08-01 11:43:00,31.6,21.9,22.8,21.9,11.19,,260.0,W,63.0,1.94,2.5,18.4,CTVOL,1330,-122.4268,40.9418
47,22.1,2018-08-01 11:58:00,31.5,21.8,22.5,21.6,10.85,,271.0,W,62.0,1.39,3.06,18.3,CTVOL,1330,-122.4268,40.9418
48,22.0,2018-08-01 12:13:00,31.3,21.5,22.5,21.5,10.64,,272.0,W,60.0,2.22,3.06,18.6,CTVOL,1330,-122.4268,40.9418
49,21.8,2018-08-01 12:28:00,31.3,21.4,22.4,21.3,10.81,,268.0,W,63.0,1.39,2.78,18.0,CTVOL,1330,-122.4268,40.9418
50,21.5,2018-08-01 12:43:00,31.1,21.1,22.1,21.1,10.6,,274.0,W,61.0,1.94,2.5,18.3,CTVOL,1330,-122.4268,40.9418
51,21.5,2018-08-01 12:58:00,31.1,21.0,22.0,21.0,10.8,,312.0,NW,65.0,0.28,3.06,17.5,CTVOL,1330,-122.4268,40.9418
52,21.4,2018-08-01 13:13:00,30.9,21.0,21.9,21.0,10.35,,274.0,W,60.0,1.11,1.94,18.3,CTVOL,1330,-122.4268,40.9418
53,21.1,2018-08-01 13:28:00,30.8,21.0,21.9,20.9,10.13,,269.0,W,61.0,2.5,2.78,17.8,CTVOL,1330,-122.4268,40.9418
54,21.3,2018-08-01 13:43:00,30.8,21.0,21.9,20.9,10.52,,307.0,NW,63.0,0.83,3.61,17.7,CTVOL,1330,-122.4268,40.9418
55,21.4,2018-08-01 13:58:00,30.6,21.0,22.0,21.0,10.37,,298.0,WNW,62.0,1.11,1.67,17.8,CTVOL,1330,-122.4268,40.9418
56,21.5,2018-08-01 14:13:00,30.6,21.3,22.3,21.0,10.32,,264.0,W,61.0,2.22,2.5,18.0,CTVOL,1330,-122.4268,40.9418
57,21.9,2018-08-01 14:28:00,30.4,21.5,22.5,21.3,10.29,,263.0,W,59.0,2.5,3.06,18.5,CTVOL,1330,-122.4268,40.9418
58,22.5,2018-08-01 14:43:00,30.4,22.0,22.8,22.0,9.98,,251.0,WSW,55.0,2.78,3.89,19.3,CTVOL,1330,-122.4268,40.9418
59,23.4,2018-08-01 14:58:00,30.3,23.1,24.0,22.9,10.18,,258.0,WSW,53.0,1.94,3.89,20.1,CTVOL,1330,-122.4268,40.9418
60,24.3,2018-08-01 15:13:00,30.1,24.1,25.0,23.6,10.34,,270.0,W,51.0,2.78,3.89,20.9,CTVOL,1330,-122.4268,40.9418
61,25.3,2018-08-01 15:28:00,30.0,25.4,26.1,24.6,11.0,,248.0,WSW,52.0,2.22,3.33,21.3,CTVOL,1330,-122.4268,40.9418
62,26.5,2018-08-01 15:43:00,30.0,26.6,27.6,26.0,10.51,,251.0,WSW,44.0,3.33,3.06,23.5,CTVOL,1330,-122.4268,40.9418
63,27.6,2018-08-01 15:58:00,29.9,28.1,28.9,27.3,10.09,,333.0,NNW,41.0,1.11,5.0,24.2,CTVOL,1330,-122.4268,40.9418
64,29.1,2018-08-01 16:13:00,29.8,29.4,30.3,28.5,10.82,,299.0,WNW,41.0,1.11,3.06,25.0,CTVOL,1330,-122.4268,40.9418
65,30.1,2018-08-01 16:28:00,29.6,31.0,31.6,29.9,10.09,,282.0,WNW,37.0,0.56,1.94,25.9,CTVOL,1330,-122.4268,40.9418
66,31.6,2018-08-01 16:43:00,29.6,32.4,33.1,31.3,11.16,26.79,,,37.0,0.0,0.56,27.1,CTVOL,1330,-122.4268,40.9418
67,32.5,2018-08-01 16:58:00,29.6,33.5,34.1,32.3,10.42,26.76,237.0,WSW,35.0,1.39,1.39,27.2,CTVOL,1330,-122.4268,40.9418
68,33.6,2018-08-01 17:13:00,29.5,34.6,35.4,33.1,10.25,26.93,245.0,WSW,34.0,1.39,1.94,27.5,CTVOL,1330,-122.4268,40.9418
69,34.9,2018-08-01 17:28:00,29.5,36.1,36.6,34.6,9.7,27.87,240.0,WSW,30.0,0.28,1.67,29.0,CTVOL,1330,-122.4268,40.9418
70,36.1,2018-08-01 17:43:00,29.5,37.1,38.0,36.0,9.72,28.32,274.0,W,29.0,1.11,1.67,29.6,CTVOL,1330,-122.4268,40.9418
71,37.3,2018-08-01 17:58:00,29.5,38.6,39.1,37.1,9.71,29.29,,,27.0,0.0,1.67,30.8,CTVOL,1330,-122.4268,40.9418
72,38.6,2018-08-01 18:13:00,29.5,39.6,40.5,38.6,10.86,29.54,323.0,NW,29.0,0.28,0.83,30.9,CTVOL,1330,-122.4268,40.9418
73,39.4,2018-08-01 18:28:00,29.6,40.3,41.1,39.4,10.05,29.68,111.0,ESE,27.0,1.94,0.83,31.2,CTVOL,1330,-122.4268,40.9418
74,39.6,2018-08-01 18:43:00,29.6,40.6,41.4,39.6,11.12,29.85,107.0,ESE,29.0,2.5,3.33,31.2,CTVOL,1330,-122.4268,40.9418
75,39.6,2018-08-01 18:58:00,29.8,40.9,41.5,40.0,10.94,30.17,117.0,ESE,28.0,2.22,3.89,31.6,CTVOL,1330,-122.4268,40.9418
76,40.5,2018-08-01 19:13:00,29.8,41.1,42.0,40.6,11.2,30.49,110.0,ESE,28.0,2.5,3.61,31.9,CTVOL,1330,-122.4268,40.9418
77,41.1,2018-08-01 19:28:00,29.9,42.1,42.8,41.4,11.73,30.59,109.0,ESE,29.0,1.94,3.61,31.9,CTVOL,1330,-122.4268,40.9418
78,41.5,2018-08-01 19:43:00,30.0,42.4,43.1,41.8,11.61,31.61,102.0,ESE,27.0,1.67,2.78,33.0,CTVOL,1330,-122.4268,40.9418
79,41.1,2018-08-01 19:58:00,30.1,42.0,42.9,41.4,12.25,31.27,113.0,ESE,29.0,1.94,3.06,32.5,CTVOL,1330,-122.4268,40.9418
80,41.1,2018-08-01 20:13:00,30.3,41.8,42.6,41.1,12.07,31.61,101.0,E,28.0,1.94,2.5,32.9,CTVOL,1330,-122.4268,40.9418
81,41.1,2018-08-01 20:28:00,30.4,42.0,42.9,41.1,12.51,31.62,122.0,ESE,29.0,2.22,3.06,32.8,CTVOL,1330,-122.4268,40.9418
82,41.4,2018-08-01 20:43:00,30.6,42.3,43.1,41.6,12.24,31.85,125.0,SE,28.0,2.5,2.78,33.1,CTVOL,1330,-122.4268,40.9418
83,41.4,2018-08-01 20:58:00,30.6,42.1,43.1,41.5,12.33,31.97,109.0,ESE,28.0,3.06,3.06,33.2,CTVOL,1330,-122.4268,40.9418
84,41.4,2018-08-01 21:13:00,30.8,42.3,43.1,41.6,12.13,32.31,102.0,ESE,27.0,1.39,2.22,33.6,CTVOL,1330,-122.4268,40.9418
85,40.9,2018-08-01 21:28:00,30.9,41.6,42.6,41.1,12.5,32.21,108.0,ESE,28.0,1.67,3.06,33.4,CTVOL,1330,-122.4268,40.9418
86,41.1,2018-08-01 21:43:00,31.1,42.0,42.9,41.4,12.42,32.09,108.0,ESE,28.0,2.5,3.33,33.3,CTVOL,1330,-122.4268,40.9418
87,42.8,2018-08-01 21:58:00,31.3,43.6,44.6,42.9,12.56,32.93,80.0,E,27.0,1.11,3.33,34.1,CTVOL,1330,-122.4268,40.9418
88,42.9,2018-08-01 22:13:00,31.5,43.6,44.6,43.1,12.82,33.31,113.0,ESE,27.0,1.11,3.06,34.4,CTVOL,1330,-122.4268,40.9418
89,42.9,2018-08-01 22:28:00,31.6,43.6,44.6,43.1,12.33,33.27,98.0,E,26.0,1.67,2.5,34.5,CTVOL,1330,-122.4268,40.9418
90,42.9,2018-08-01 22:43:00,31.6,43.6,44.9,43.1,12.64,33.05,51.0,NE,27.0,1.67,2.78,34.2,CTVOL,1330,-122.4268,40.9418
91,42.9,2018-08-01 22:58:00,31.9,43.9,44.9,43.1,14.78,34.39,78.0,ENE,30.0,0.56,3.89,34.8,CTVOL,1330,-122.4268,40.9418
92,43.1,2018-08-01 23:13:00,32.1,44.1,45.1,43.1,14.52,34.61,43.0,NE,29.0,0.83,2.78,35.1,CTVOL,1330,-122.4268,40.9418
93,42.9,2018-08-01 23:28:00,32.3,43.6,44.9,43.1,13.8,34.14,106.0,ESE,28.0,0.83,3.33,34.9,CTVOL,1330,-122.4268,40.9418
94,42.6,2018-08-01 23:43:00,32.4,43.4,44.4,42.8,12.25,33.87,103.0,ESE,25.0,2.22,1.94,35.1,CTVOL,1330,-122.4268,40.9418
95,42.3,2018-08-01 23:58:00,32.6,43.1,44.1,42.4,14.43,34.47,80.0,E,29.0,0.56,2.78,35.0,CTVOL,1330,-122.4268,40.9418
96,41.8,2018-08-02 00:13:00,32.6,42.6,43.6,41.8,13.8,34.14,35.0,NE,28.0,0.56,2.22,34.9,CTVOL,1330,-122.4268,40.9418
97,41.1,2018-08-02 00:28:00,32.8,42.0,43.1,41.1,13.63,33.87,96.0,E,28.0,0.28,1.94,34.7,CTVOL,1330,-122.4268,40.9418
98,40.9,2018-08-02 00:43:00,33.0,41.5,42.6,40.9,12.73,33.18,83.0,E,27.0,0.83,3.06,34.3,CTVOL,1330,-122.4268,40.9418
99,40.3,2018-08-02 00:58:00,33.1,40.9,42.1,40.3,13.2,33.21,107.0,ESE,28.0,1.39,1.39,34.2,CTVOL,1330,-122.4268,40.9418
100,39.6,2018-08-02 01:13:00,33.3,40.1,41.1,39.6,11.9,32.66,93.0,E,26.0,1.39,2.78,34.0,CTVOL,1330,-122.4268,40.9418
101,38.9,2018-08-02 01:28:00,33.4,39.3,40.5,38.9,13.03,32.35,106.0,ESE,29.0,0.83,2.78,33.4,CTVOL,1330,-122.4268,40.9418
102,38.1,2018-08-02 01:43:00,33.5,38.4,39.6,38.0,13.44,31.77,95.0,E,31.0,0.56,0.83,32.7,CTVOL,1330,-122.4268,40.9418
103,37.3,2018-08-02 01:58:00,33.6,37.6,38.9,37.1,14.22,31.81,81.0,E,33.0,0.28,1.11,32.5,CTVOL,1330,-122.4268,40.9418
104,36.5,2018-08-02 02:13:00,33.6,36.8,37.9,36.3,14.06,31.08,119.0,ESE,34.0,0.28,1.11,31.8,CTVOL,1330,-122.4268,40.9418
105,35.6,2018-08-02 02:28:00,33.8,35.6,37.1,35.4,15.11,30.28,,,39.0,0.0,0.83,30.6,CTVOL,1330,-122.4268,40.9418
106,34.9,2018-08-02 02:43:00,34.0,34.9,36.0,34.5,15.72,29.57,,,43.0,0.0,1.11,29.6,CTVOL,1330,-122.4268,40.9418
107,34.0,2018-08-02 02:58:00,34.0,34.0,35.1,33.6,15.95,28.86,,,46.0,0.0,0.28,28.7,CTVOL,1330,-122.4268,40.9418
108,33.1,2018-08-02 03:13:00,34.1,33.1,34.1,32.9,15.97,28.27,,,48.0,0.0,0.56,28.0,CTVOL,1330,-122.4268,40.9418
109,32.4,2018-08-02 03:28:00,34.1,32.3,33.5,32.0,15.55,28.09,253.0,WSW,47.0,1.39,0.28,27.9,CTVOL,1330,-122.4268,40.9418
110,31.6,2018-08-02 03:43:00,34.3,31.6,32.6,31.3,15.72,27.2,,,51.0,0.0,1.11,26.7,CTVOL,1330,-122.4268,40.9418
111,31.1,2018-08-02 03:58:00,34.3,31.0,32.1,30.6,15.32,,298.0,WNW,50.0,0.28,1.11,26.6,CTVOL,1330,-122.4268,40.9418
112,30.4,2018-08-02 04:13:00,34.3,30.4,31.5,30.0,15.48,,247.0,WSW,53.0,0.28,1.11,25.8,CTVOL,1330,-122.4268,40.9418
113,29.9,2018-08-02 04:28:00,34.3,29.8,30.9,29.4,15.22,,252.0,WSW,55.0,1.67,0.83,24.9,CTVOL,1330,-122.4268,40.9418
114,29.4,2018-08-02 04:43:00,34.3,29.3,30.3,29.0,15.31,,265.0,W,57.0,1.67,1.39,24.4,CTVOL,1330,-122.4268,40.9418
115,29.1,2018-08-02 04:58:00,34.3,28.9,29.9,28.6,14.66,,310.0,NW,56.0,0.28,1.94,24.0,CTVOL,1330,-122.4268,40.9418
116,28.8,2018-08-02 05:13:00,34.3,28.4,29.5,28.1,14.19,,265.0,W,56.0,0.28,0.83,23.5,CTVOL,1330,-122.4268,40.9418
117,28.3,2018-08-02 05:28:00,34.1,28.1,29.1,27.8,14.37,,253.0,WSW,57.0,1.39,0.83,23.4,CTVOL,1330,-122.4268,40.9418
118,28.0,2018-08-02 05:43:00,34.1,27.6,28.8,27.5,14.17,,266.0,W,58.0,0.56,1.67,22.9,CTVOL,1330,-122.4268,40.9418
119,27.6,2018-08-02 05:58:00,34.1,27.3,28.1,26.9,13.98,,247.0,WSW,58.0,1.11,1.11,22.7,CTVOL,1330,-122.4268,40.9418
120,27.4,2018-08-02 06:13:00,34.1,27.1,28.0,26.8,13.68,,313.0,NW,59.0,0.56,1.39,22.1,CTVOL,1330,-122.4268,40.9418
121,27.1,2018-08-02 06:28:00,34.0,26.6,27.8,26.5,13.53,,280.0,W,57.0,0.28,1.39,22.5,CTVOL,1330,-122.4268,40.9418
122,26.8,2018-08-02 06:43:00,34.0,26.4,27.5,26.3,13.15,,287.0,WNW,57.0,0.28,1.94,22.1,CTVOL,1330,-122.4268,40.9418
123,26.5,2018-08-02 06:58:00,33.8,26.1,27.3,26.0,13.23,,254.0,WSW,58.0,0.83,1.94,21.9,CTVOL,1330,-122.4268,40.9418
124,26.1,2018-08-02 07:13:00,33.6,25.8,26.8,25.6,13.35,,255.0,WSW,61.0,1.11,1.11,21.2,CTVOL,1330,-122.4268,40.9418
125,25.9,2018-08-02 07:28:00,33.6,25.5,26.5,25.4,13.09,,255.0,WSW,60.0,1.11,1.67,21.2,CTVOL,1330,-122.4268,40.9418
126,25.5,2018-08-02 07:43:00,33.5,25.3,26.3,25.0,13.03,,275.0,W,62.0,0.56,1.67,20.6,CTVOL,1330,-122.4268,40.9418
127,25.4,2018-08-02 07:58:00,33.4,25.0,26.0,24.9,12.93,,270.0,W,62.0,1.11,1.67,20.5,CTVOL,1330,-122.4268,40.9418
128,25.0,2018-08-02 08:13:00,33.4,24.8,25.6,24.5,12.71,,263.0,W,60.0,1.39,1.94,20.8,CTVOL,1330,-122.4268,40.9418
129,24.8,2018-08-02 08:28:00,33.3,24.5,25.4,24.3,12.65,,276.0,W,62.0,1.39,1.94,20.2,CTVOL,1330,-122.4268,40.9418
130,24.5,2018-08-02 08:43:00,33.1,24.1,25.0,24.0,12.85,,255.0,WSW,66.0,0.83,1.11,19.4,CTVOL,1330,-122.4268,40.9418
131,24.3,2018-08-02 08:58:00,33.1,23.9,24.8,23.8,12.61,,298.0,WNW,65.0,1.11,2.78,19.4,CTVOL,1330,-122.4268,40.9418
132,24.0,2018-08-02 09:13:00,33.0,23.6,24.5,23.5,12.37,,323.0,NW,66.0,0.83,1.67,18.9,CTVOL,1330,-122.4268,40.9418
133,23.9,2018-08-02 09:28:00,32.8,23.5,24.4,23.4,12.51,,267.0,W,67.0,0.56,1.39,18.8,CTVOL,1330,-122.4268,40.9418
134,23.5,2018-08-02 09:43:00,32.6,23.3,24.1,23.0,12.37,,257.0,WSW,66.0,1.11,1.39,18.9,CTVOL,1330,-122.4268,40.9418
135,23.4,2018-08-02 09:58:00,32.6,23.0,24.0,22.9,12.09,,274.0,W,64.0,1.39,1.94,19.1,CTVOL,1330,-122.4268,40.9418
136,23.3,2018-08-02 10:13:00,32.6,22.9,23.8,22.6,12.0,,268.0,W,64.0,0.83,1.39,19.0,CTVOL,1330,-122.4268,40.9418
137,23.0,2018-08-02 10:28:00,32.4,22.6,23.5,22.5,11.8,,295.0,WNW,66.0,0.28,1.94,18.3,CTVOL,1330,-122.4268,40.9418
138,22.6,2018-08-02 10:43:00,32.3,22.5,23.4,22.3,11.55,,245.0,WSW,67.0,1.39,1.67,17.8,CTVOL,1330,-122.4268,40.9418
139,22.6,2018-08-02 10:58:00,32.1,22.3,23.0,22.1,11.38,,255.0,WSW,63.0,1.39,3.06,18.6,CTVOL,1330,-122.4268,40.9418
140,22.5,2018-08-02 11:13:00,32.0,22.1,22.9,22.0,11.23,,290.0,WNW,64.0,0.83,2.5,18.2,CTVOL,1330,-122.4268,40.9418
141,22.4,2018-08-02 11:28:00,31.9,21.9,22.6,21.9,11.14,,259.0,W,64.0,2.22,1.39,18.1,CTVOL,1330,-122.4268,40.9418
142,22.1,2018-08-02 11:43:00,31.9,21.6,22.5,21.6,10.8,,298.0,WNW,65.0,1.11,2.78,17.5,CTVOL,1330,-122.4268,40.9418
143,22.0,2018-08-02 11:58:00,31.6,21.5,22.5,21.5,10.98,,240.0,WSW,67.0,0.83,1.39,17.2,CTVOL,1330,-122.4268,40.9418
144,21.8,2018-08-02 12:13:00,31.6,21.3,22.3,21.3,10.37,,268.0,W,62.0,1.39,2.22,17.8,CTVOL,1330,-122.4268,40.9418
145,21.5,2018-08-02 12:28:00,31.5,21.0,22.0,21.0,10.52,,287.0,WNW,65.0,1.39,3.06,17.2,CTVOL,1330,-122.4268,40.9418
146,21.4,2018-08-02 12:43:00,31.3,21.0,21.9,21.0,10.28,,290.0,WNW,64.0,1.39,2.78,17.2,CTVOL,1330,-122.4268,40.9418
147,21.3,2018-08-02 12:58:00,31.1,21.0,21.8,20.9,10.09,,281.0,W,64.0,1.11,1.94,17.0,CTVOL,1330,-122.4268,40.9418
148,21.0,2018-08-02 13:13:00,31.1,20.8,21.6,20.6,9.5,,263.0,W,60.0,2.78,2.5,17.4,CTVOL,1330,-122.4268,40.9418
149,21.0,2018-08-02 13:28:00,30.9,20.6,21.5,20.5,9.95,,266.0,W,63.0,1.94,3.33,17.1,CTVOL,1330,-122.4268,40.9418
150,21.0,2018-08-02 13:43:00,30.8,20.6,21.5,20.5,9.95,,274.0,W,63.0,1.94,2.5,17.1,CTVOL,1330,-122.4268,40.9418
151,20.9,2018-08-02 13:58:00,30.8,20.5,21.5,20.4,9.9,,287.0,WNW,64.0,1.39,2.5,16.8,CTVOL,1330,-122.4268,40.9418
152,21.0,2018-08-02 14:13:00,30.6,20.6,21.6,20.5,9.22,,265.0,W,60.0,2.5,2.22,17.1,CTVOL,1330,-122.4268,40.9418
153,21.4,2018-08-02 14:28:00,30.6,21.0,21.9,20.9,9.56,,278.0,W,58.0,1.94,3.61,18.0,CTVOL,1330,-122.4268,40.9418
154,22.0,2018-08-02 14:43:00,30.4,21.5,22.5,21.5,9.41,,258.0,WSW,56.0,1.94,3.06,18.4,CTVOL,1330,-122.4268,40.9418
155,22.5,2018-08-02 14:58:00,30.3,22.4,23.0,22.1,9.52,,272.0,W,55.0,1.67,3.89,18.8,CTVOL,1330,-122.4268,40.9418
156,23.5,2018-08-02 15:13:00,30.1,23.5,24.4,23.0,9.9,,272.0,W,53.0,1.94,2.22,19.8,CTVOL,1330,-122.4268,40.9418
157,24.4,2018-08-02 15:28:00,30.1,24.5,25.4,23.9,10.06,,254.0,WSW,51.0,1.94,2.5,20.6,CTVOL,1330,-122.4268,40.9418
158,25.5,2018-08-02 15:43:00,30.0,25.5,26.4,25.0,9.58,,258.0,WSW,47.0,0.56,1.39,21.4,CTVOL,1330,-122.4268,40.9418
159,26.5,2018-08-02 15:58:00,29.9,26.6,27.6,26.0,10.08,,294.0,WNW,46.0,0.56,1.67,22.3,CTVOL,1330,-122.4268,40.9418
160,27.5,2018-08-02 16:13:00,29.8,27.9,28.8,27.1,10.49,,,,45.0,0.0,2.22,23.1,CTVOL,1330,-122.4268,40.9418
161,28.3,2018-08-02 16:28:00,29.8,29.1,29.6,27.9,10.36,,301.0,WNW,42.0,1.11,2.5,24.1,CTVOL,1330,-122.4268,40.9418
162,30.1,2018-08-02 16:43:00,29.6,30.9,31.8,29.9,8.99,,265.0,W,35.0,0.56,1.94,25.6,CTVOL,1330,-122.4268,40.9418
163,31.3,2018-08-02 16:58:00,29.6,32.1,32.9,31.0,10.93,,286.0,WNW,38.0,0.56,1.11,26.4,CTVOL,1330,-122.4268,40.9418
