,date_time,relative_humidity_set_1,dew_point_temperature_set_1d,heat_index_set_1d,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,27.8,13.53,33.85,34.71,A2349,1709,-121.61730,39.70840
1,2018-08-01 01:00:00,27.8,13.53,33.85,34.71,A2349,1709,-121.61730,39.70840
2,2018-08-01 02:00:00,28.9,14.04,33.91,34.61,A2349,1709,-121.61730,39.70840
3,2018-08-01 03:00:00,33.7,15.7,33.71,33.81,A2349,1709,-121.61730,39.70840
4,2018-08-01 04:00:00,39.0,15.2,30.41,30.71,A2349,1709,-121.61730,39.70840
5,2018-08-01 05:00:00,41.2,15.61,30.08,30.21,A2349,1709,-121.61730,39.70840
6,2018-08-01 06:00:00,42.2,15.53,29.61,29.71,A2349,1709,-121.61730,39.70840
7,2018-08-01 07:00:00,42.2,15.53,29.61,29.71,A2349,1709,-121.61730,39.70840
8,2018-08-01 08:00:00,39.0,13.31,28.14,28.61,A2349,1709,-121.61730,39.70840
9,2018-08-01 09:00:00,30.6,10.01,27.92,29.01,A2349,1709,-121.61730,39.70840
10,2018-08-01 10:00:00,27.7,8.36,27.6,28.81,A2349,1709,-121.61730,39.70840
11,2018-08-01 11:00:00,29.0,8.25,26.99,27.91,A2349,1709,-121.61730,39.70840
12,2018-08-01 12:00:00,29.0,8.25,26.99,27.91,A2349,1709,-121.61730,39.70840
13,2018-08-01 13:00:00,47.7,11.83,,23.61,A2349,1709,-121.61730,39.70840
14,2018-08-01 15:00:00,48.5,12.73,,24.31,A2349,1709,-121.61730,39.70840
15,2018-08-01 16:00:00,46.4,12.88,,25.21,A2349,1709,-121.61730,39.70840
16,2018-08-01 17:00:00,42.0,12.55,,26.51,A2349,1709,-121.61730,39.70840
17,2018-08-01 18:00:00,37.4,12.14,27.5,28.01,A2349,1709,-121.61730,39.70840
18,2018-08-01 19:00:00,33.0,12.29,29.3,30.31,A2349,1709,-121.61730,39.70840
19,2018-08-01 20:00:00,29.6,12.48,31.24,32.41,A2349,1709,-121.61730,39.70840
20,2018-08-01 21:00:00,29.6,12.48,31.24,32.41,A2349,1709,-121.61730,39.70840
21,2018-08-01 22:00:00,31.8,14.63,33.07,33.61,A2349,1709,-121.61730,39.70840
22,2018-08-01 23:00:00,31.8,14.63,33.07,33.61,A2349,1709,-121.61730,39.70840
23,2018-08-02 00:00:00,30.7,14.61,33.7,34.21,A2349,1709,-121.61730,39.70840
24,2018-08-02 04:00:00,40.7,14.78,29.21,29.51,A2349,1709,-121.61730,39.70840
25,2018-08-02 05:00:00,39.2,14.2,29.06,29.51,A2349,1709,-121.61730,39.70840
26,2018-08-02 06:00:00,35.1,11.98,28.13,28.91,A2349,1709,-121.61730,39.70840
27,2018-08-02 07:00:00,30.9,9.36,27.22,28.11,A2349,1709,-121.61730,39.70840
28,2018-08-02 08:00:00,26.9,7.15,26.9,27.91,A2349,1709,-121.61730,39.70840
29,2018-08-02 09:00:00,24.9,5.61,26.49,27.41,A2349,1709,-121.61730,39.70840
30,2018-08-02 10:00:00,31.3,7.36,,25.61,A2349,1709,-121.61730,39.70840
31,2018-08-02 11:00:00,45.7,10.82,,23.21,A2349,1709,-121.61730,39.70840
32,2018-08-02 12:00:00,39.5,8.82,,23.41,A2349,1709,-121.61730,39.70840
33,2018-08-02 13:00:00,39.5,8.82,,23.41,A2349,1709,-121.61730,39.70840
34,2018-08-02 14:00:00,29.1,4.64,,23.71,A2349,1709,-121.61730,39.70840
35,2018-08-02 15:00:00,29.1,4.64,,23.71,A2349,1709,-121.61730,39.70840
36,2018-08-02 16:00:00,43.1,8.3,,21.41,A2349,1709,-121.61730,39.70840
37,2018-08-02 17:00:00,41.5,9.38,,23.21,A2349,1709,-121.61730,39.70840
38,2018-08-02 20:00:00,29.2,9.57,28.09,29.31,A2349,1709,-121.61730,39.70840
39,2018-08-02 21:00:00,29.2,9.57,28.09,29.31,A2349,1709,-121.61730,39.70840
40,2018-08-02 22:00:00,29.0,11.56,30.39,31.71,A2349,1709,-121.61730,39.70840
41,2018-08-02 23:00:00,29.2,11.67,30.41,31.71,A2349,1709,-121.61730,39.70840
42,2018-08-03 00:00:00,29.2,11.67,30.41,31.71,A2349,1709,-121.61730,39.70840
43,2018-08-03 02:00:00,32.5,11.97,29.15,30.21,A2349,1709,-121.61730,39.70840
44,2018-08-03 03:00:00,36.4,12.62,28.31,29.01,A2349,1709,-121.61730,39.70840
45,2018-08-03 04:00:00,35.9,12.5,28.37,29.11,A2349,1709,-121.61730,39.70840
46,2018-08-03 05:00:00,37.4,12.59,27.93,28.51,A2349,1709,-121.61730,39.70840
47,2018-08-03 06:00:00,38.3,12.59,27.65,28.11,A2349,1709,-121.61730,39.70840
48,2018-08-03 07:00:00,36.9,11.49,27.08,27.51,A2349,1709,-121.61730,39.70840
49,2018-08-03 08:00:00,37.0,11.35,26.94,27.31,A2349,1709,-121.61730,39.70840
50,2018-08-03 09:00:00,32.0,8.65,26.27,26.71,A2349,1709,-121.61730,39.70840
51,2018-08-03 11:00:00,48.0,9.44,,20.91,A2349,1709,-121.61730,39.70840
52,2018-08-03 12:00:00,42.7,8.35,,21.61,A2349,1709,-121.61730,39.70840
53,2018-08-03 13:00:00,39.9,7.71,,22.01,A2349,1709,-121.61730,39.70840
54,2018-08-03 14:00:00,34.9,5.94,,22.21,A2349,1709,-121.61730,39.70840
55,2018-08-03 15:00:00,33.7,5.79,,22.61,A2349,1709,-121.61730,39.70840
56,2018-08-03 16:00:00,31.7,5.79,,23.61,A2349,1709,-121.61730,39.70840
57,2018-08-03 17:00:00,33.1,7.21,,24.51,A2349,1709,-121.61730,39.70840
58,2018-08-03 18:00:00,33.6,9.11,,26.41,A2349,1709,-121.61730,39.70840
59,2018-08-03 19:00:00,32.2,10.24,27.52,28.41,A2349,1709,-121.61730,39.70840
60,2018-08-03 20:00:00,32.2,10.24,27.52,28.41,A2349,1709,-121.61730,39.70840
61,2018-08-03 21:00:00,30.7,11.9,29.91,31.11,A2349,1709,-121.61730,39.70840
62,2018-08-03 22:00:00,28.6,11.44,30.45,31.81,A2349,1709,-121.61730,39.70840
63,2018-08-03 23:00:00,28.7,11.67,30.68,32.01,A2349,1709,-121.61730,39.70840
64,2018-08-04 00:00:00,28.7,11.67,30.68,32.01,A2349,1709,-121.61730,39.70840
65,2018-08-04 01:00:00,26.0,10.79,31.17,32.71,A2349,1709,-121.61730,39.70840
66,2018-08-04 02:00:00,24.8,9.32,30.11,31.81,A2349,1709,-121.61730,39.70840
67,2018-08-04 03:00:00,34.0,11.59,28.14,29.01,A2349,1709,-121.61730,39.70840
68,2018-08-04 04:00:00,38.6,12.44,27.41,27.81,A2349,1709,-121.61730,39.70840
69,2018-08-04 05:00:00,35.4,11.4,27.46,28.11,A2349,1709,-121.61730,39.70840
70,2018-08-04 06:00:00,31.8,9.61,27.12,27.91,A2349,1709,-121.61730,39.70840
71,2018-08-04 07:00:00,31.3,9.12,26.88,27.61,A2349,1709,-121.61730,39.70840
72,2018-08-04 08:00:00,31.3,9.12,26.88,27.61,A2349,1709,-121.61730,39.70840
73,2018-08-04 09:00:00,29.7,8.17,26.67,27.41,A2349,1709,-121.61730,39.70840
74,2018-08-04 10:00:00,29.4,7.32,,26.61,A2349,1709,-121.61730,39.70840
75,2018-08-04 11:00:00,29.4,6.71,,25.91,A2349,1709,-121.61730,39.70840
76,2018-08-04 12:00:00,29.7,6.33,,25.31,A2349,1709,-121.61730,39.70840
77,2018-08-04 13:00:00,29.7,6.33,,25.31,A2349,1709,-121.61730,39.70840
78,2018-08-04 14:00:00,30.9,5.94,,24.21,A2349,1709,-121.61730,39.70840
79,2018-08-04 15:00:00,28.7,5.58,,25.01,A2349,1709,-121.61730,39.70840
80,2018-08-04 16:00:00,28.4,6.56,,26.31,A2349,1709,-121.61730,39.70840
81,2018-08-04 17:00:00,27.9,7.34,26.67,27.51,A2349,1709,-121.61730,39.70840
82,2018-08-04 18:00:00,25.5,7.67,27.97,29.41,A2349,1709,-121.61730,39.70840
83,2018-08-04 19:00:00,23.6,7.65,28.99,30.71,A2349,1709,-121.61730,39.70840
84,2018-08-04 20:00:00,27.2,9.39,28.84,30.31,A2349,1709,-121.61730,39.70840
