,date_time,altimeter_set_1,pressure_set_1d,dew_point_temperature_set_1d,precip_accum_one_hour_set_1,precip_accum_set_1,heat_index_set_1d,relative_humidity_set_1,sea_level_pressure_set_1d,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-16 00:00:00,94717.24,88574.25,9.61,0.0,29.718,27.78,30.0,94348.08,28.89,PLBC1,1843,-122.95833,39.40833
1,2018-08-16 01:00:00,94717.24,88574.25,10.08,0.0,29.718,27.44,32.0,94359.07,28.33,PLBC1,1843,-122.95833,39.40833
2,2018-08-16 02:00:00,94717.24,88574.25,11.67,0.0,29.718,26.92,38.0,94380.95,27.22,PLBC1,1843,-122.95833,39.40833
3,2018-08-16 03:00:00,94784.97,88637.59,12.04,0.0,29.718,,43.0,94481.56,25.56,PLBC1,1843,-122.95833,39.40833
4,2018-08-16 04:00:00,94818.84,88669.26,12.43,0.0,29.718,,54.0,94583.15,22.22,PLBC1,1843,-122.95833,39.40833
5,2018-08-16 05:00:00,94886.56,88732.59,12.49,0.0,29.718,,58.0,94673.61,21.11,PLBC1,1843,-122.95833,39.40833
6,2018-08-16 06:00:00,94886.56,88732.59,12.73,0.0,29.718,,70.0,94731.78,18.33,PLBC1,1843,-122.95833,39.40833
7,2018-08-16 07:00:00,94818.84,88669.26,12.39,0.0,29.718,,76.0,94699.43,16.67,PLBC1,1843,-122.95833,39.40833
8,2018-08-16 08:00:00,94649.52,88510.92,11.51,0.254,29.972,,77.0,94554.11,15.56,PLBC1,1843,-122.95833,39.40833
9,2018-08-16 09:00:00,94683.38,88542.59,11.19,0.0,29.972,,81.0,94612.13,14.44,PLBC1,1843,-122.95833,39.40833
10,2018-08-16 10:00:00,94717.24,88574.25,11.21,0.0,29.972,,84.0,94657.91,13.89,PLBC1,1843,-122.95833,39.40833
11,2018-08-16 11:00:00,94751.11,88605.92,11.01,0.0,29.972,,86.0,94703.98,13.33,PLBC1,1843,-122.95833,39.40833
12,2018-08-16 12:00:00,94751.11,88605.92,9.92,0.0,29.972,,86.0,94728.38,12.22,PLBC1,1843,-122.95833,39.40833
13,2018-08-16 13:00:00,94784.97,88637.59,10.44,0.0,29.972,,89.0,94762.22,12.22,PLBC1,1843,-122.95833,39.40833
14,2018-08-16 14:00:00,94852.7,88700.93,9.9,0.0,29.972,,89.0,94842.11,11.67,PLBC1,1843,-122.95833,39.40833
15,2018-08-16 15:00:00,94920.43,88764.26,10.1,0.0,29.972,,87.0,94897.66,12.22,PLBC1,1843,-122.95833,39.40833
16,2018-08-16 16:00:00,94954.29,88795.93,12.04,0.0,29.972,,77.0,94846.73,16.11,PLBC1,1843,-122.95833,39.40833
17,2018-08-16 17:00:00,94920.43,88764.26,12.89,0.0,29.972,,66.0,94742.21,19.44,PLBC1,1843,-122.95833,39.40833
18,2018-08-16 18:00:00,95089.75,88922.6,13.18,0.0,29.972,,53.0,94830.58,23.33,PLBC1,1843,-122.95833,39.40833
19,2018-08-16 19:00:00,95191.34,89017.6,10.5,0.0,29.972,27.13,34.0,94842.26,27.78,PLBC1,1843,-122.95833,39.40833
20,2018-08-16 20:00:00,95157.47,88985.93,1.54,0.0,29.972,28.15,16.0,94764.99,30.0,PLBC1,1843,-122.95833,39.40833
21,2018-08-16 21:00:00,95123.61,88954.27,2.9,0.0,29.972,29.53,16.0,94698.79,31.67,PLBC1,1843,-122.95833,39.40833
22,2018-08-16 22:00:00,95123.61,88954.27,2.9,0.0,29.972,29.53,16.0,94698.79,31.67,PLBC1,1843,-122.95833,39.40833
23,2018-08-16 23:00:00,95089.75,88922.6,0.48,0.0,29.972,29.95,13.0,94654.51,32.22,PLBC1,1843,-122.95833,39.40833
24,2018-08-17 00:00:00,95089.75,88922.6,5.33,0.0,29.972,29.63,19.0,94665.03,31.67,PLBC1,1843,-122.95833,39.40833
25,2018-08-17 01:00:00,95089.75,88922.6,6.5,0.0,29.972,28.78,22.0,94686.53,30.56,PLBC1,1843,-122.95833,39.40833
26,2018-08-17 02:00:00,95089.75,88922.6,9.07,0.0,29.972,28.13,28.0,94708.35,29.44,PLBC1,1843,-122.95833,39.40833
27,2018-08-17 03:00:00,95157.47,88985.93,9.56,0.0,29.972,26.69,33.0,94819.68,27.22,PLBC1,1843,-122.95833,39.40833
28,2018-08-17 04:00:00,95191.34,89017.6,8.38,0.254,30.226,,36.0,94909.4,24.44,PLBC1,1843,-122.95833,39.40833
29,2018-08-17 05:00:00,95292.93,89112.6,8.07,0.0,30.226,,39.0,95044.64,22.78,PLBC1,1843,-122.95833,39.40833
30,2018-08-17 06:00:00,95326.79,89144.27,8.69,0.0,30.226,,50.0,95147.94,19.44,PLBC1,1843,-122.95833,39.40833
31,2018-08-17 07:00:00,95292.93,89112.6,10.16,0.0,30.226,,68.0,95185.04,16.11,PLBC1,1843,-122.95833,39.40833
32,2018-08-17 08:00:00,95022.02,88859.26,9.74,0.0,30.226,,71.0,94938.4,15.0,PLBC1,1843,-122.95833,39.40833
33,2018-08-17 09:00:00,95055.88,88890.93,8.88,0.0,30.226,,72.0,94996.41,13.89,PLBC1,1843,-122.95833,39.40833
34,2018-08-17 10:00:00,95055.88,88890.93,8.55,0.0,30.226,,73.0,95008.68,13.33,PLBC1,1843,-122.95833,39.40833
35,2018-08-17 11:00:00,95055.88,88890.93,7.88,0.0,30.226,,75.0,95033.14,12.22,PLBC1,1843,-122.95833,39.40833
36,2018-08-17 12:00:00,95055.88,88890.93,8.07,0.0,30.226,,76.0,95033.14,12.22,PLBC1,1843,-122.95833,39.40833
37,2018-08-17 13:00:00,95089.75,88922.6,7.54,0.0,30.226,,76.0,95079.2,11.67,PLBC1,1843,-122.95833,39.40833
38,2018-08-17 14:00:00,95123.61,88954.27,7.75,0.0,30.226,,80.0,95125.52,11.11,PLBC1,1843,-122.95833,39.40833
39,2018-08-17 15:00:00,95123.61,88954.27,7.54,0.0,30.226,,76.0,95113.06,11.67,PLBC1,1843,-122.95833,39.40833
40,2018-08-17 16:00:00,95157.47,88985.93,9.41,0.0,30.226,,67.0,95061.62,15.56,PLBC1,1843,-122.95833,39.40833
41,2018-08-17 17:00:00,95157.47,88985.93,10.13,0.254,30.48,,59.0,95002.33,18.33,PLBC1,1843,-122.95833,39.40833
42,2018-08-17 18:00:00,95123.61,88954.27,10.65,0.0,30.48,,48.0,94887.22,22.22,PLBC1,1843,-122.95833,39.40833
43,2018-08-17 19:00:00,95394.52,89207.61,9.02,0.0,30.48,,34.0,95078.16,26.11,PLBC1,1843,-122.95833,39.40833
44,2018-08-17 20:00:00,95326.79,89144.27,10.05,0.0,30.48,27.08,33.0,94977.23,27.78,PLBC1,1843,-122.95833,39.40833
45,2018-08-17 21:00:00,95259.07,89080.94,2.45,0.0,30.48,29.99,15.0,94823.03,32.22,PLBC1,1843,-122.95833,39.40833
46,2018-08-17 22:00:00,95225.2,89049.27,1.5,0.0,30.48,29.96,14.0,94789.33,32.22,PLBC1,1843,-122.95833,39.40833
47,2018-08-17 23:00:00,95225.2,89049.27,0.27,0.0,30.48,30.77,12.0,94768.04,33.33,PLBC1,1843,-122.95833,39.40833
48,2018-08-18 00:00:00,95191.34,89017.6,1.95,0.0,30.48,30.45,14.0,94744.84,32.78,PLBC1,1843,-122.95833,39.40833
49,2018-08-18 01:00:00,95157.47,88985.93,5.33,0.0,30.48,29.63,19.0,94732.45,31.67,PLBC1,1843,-122.95833,39.40833
50,2018-08-18 02:00:00,95157.47,88985.93,4.1,0.0,30.48,29.1,18.0,94743.32,31.11,PLBC1,1843,-122.95833,39.40833
51,2018-08-18 03:00:00,95225.2,89049.27,4.79,0.0,30.48,26.68,23.0,94876.14,27.78,PLBC1,1843,-122.95833,39.40833
52,2018-08-18 04:00:00,95292.93,89112.6,6.12,0.0,30.48,,33.0,95033.4,23.33,PLBC1,1843,-122.95833,39.40833
53,2018-08-18 05:00:00,95360.66,89175.94,8.49,0.0,30.48,,46.0,95158.24,20.56,PLBC1,1843,-122.95833,39.40833
54,2018-08-18 06:00:00,95360.66,89175.94,8.24,0.0,30.48,,52.0,95205.23,18.33,PLBC1,1843,-122.95833,39.40833
55,2018-08-18 07:00:00,95225.2,89049.27,8.81,0.254,30.734,,60.0,95105.39,16.67,PLBC1,1843,-122.95833,39.40833
56,2018-08-18 08:00:00,95089.75,88922.6,8.49,0.0,30.734,,63.0,94993.99,15.56,PLBC1,1843,-122.95833,39.40833
57,2018-08-18 09:00:00,95055.88,88890.93,8.42,0.0,30.734,,65.0,94972.27,15.0,PLBC1,1843,-122.95833,39.40833
58,2018-08-18 10:00:00,95055.88,88890.93,7.89,0.0,30.734,,65.0,94984.45,14.44,PLBC1,1843,-122.95833,39.40833
