,date_time,altimeter_set_1,pressure_set_1d,dew_point_temperature_set_1d,precip_accum_one_hour_set_1,precip_accum_set_1,heat_index_set_1d,relative_humidity_set_1,sea_level_pressure_set_1d,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
59,2018-08-18 11:00:00,95055.88,88890.93,9.29,0.0,30.734,,74.0,94996.4,13.89,PLBC1,1843,-122.95833,39.40833
60,2018-08-18 12:00:00,95055.88,88890.93,8.22,0.0,30.734,,74.0,95020.78,12.78,PLBC1,1843,-122.95833,39.40833
61,2018-08-18 13:00:00,95089.75,88922.6,8.46,0.0,30.734,,78.0,95066.98,12.22,PLBC1,1843,-122.95833,39.40833
62,2018-08-18 14:00:00,95123.61,88954.27,7.73,0.0,30.734,,77.0,95113.05,11.67,PLBC1,1843,-122.95833,39.40833
63,2018-08-18 15:00:00,95157.47,88985.93,8.27,0.0,30.734,,77.0,95134.7,12.22,PLBC1,1843,-122.95833,39.40833
64,2018-08-18 16:00:00,95191.34,89017.6,9.31,0.0,30.734,,69.0,95107.59,15.0,PLBC1,1843,-122.95833,39.40833
65,2018-08-18 17:00:00,95157.47,88985.93,9.6,0.762,31.496,,55.0,94990.5,18.89,PLBC1,1843,-122.95833,39.40833
66,2018-08-18 18:00:00,95123.61,88954.27,10.01,0.0,31.496,,46.0,94887.24,22.22,PLBC1,1843,-122.95833,39.40833
67,2018-08-18 19:00:00,95394.52,89207.61,12.19,0.0,31.496,,42.0,95078.07,26.11,PLBC1,1843,-122.95833,39.40833
68,2018-08-18 20:00:00,95292.93,89112.6,7.88,0.0,31.496,28.44,25.0,94899.76,30.0,PLBC1,1843,-122.95833,39.40833
69,2018-08-18 21:00:00,95225.2,89049.27,4.26,0.0,31.496,31.02,16.0,94767.97,33.33,PLBC1,1843,-122.95833,39.40833
70,2018-08-18 22:00:00,95191.34,89017.6,-0.47,0.0,31.496,31.11,11.0,94723.65,33.89,PLBC1,1843,-122.95833,39.40833
71,2018-08-18 23:00:00,95123.61,88954.27,-0.04,0.0,31.496,31.59,11.0,94645.81,34.44,PLBC1,1843,-122.95833,39.40833
72,2018-08-19 00:00:00,95089.75,88922.6,2.84,0.0,31.496,31.46,14.0,94622.51,33.89,PLBC1,1843,-122.95833,39.40833
73,2018-08-19 01:00:00,95089.75,88922.6,3.35,0.0,31.496,30.01,16.0,94654.47,32.22,PLBC1,1843,-122.95833,39.40833
74,2018-08-19 02:00:00,95089.75,88922.6,0.61,0.0,31.496,29.03,14.0,94675.96,31.11,PLBC1,1843,-122.95833,39.40833
75,2018-08-19 03:00:00,95089.75,88922.6,-2.17,0.0,31.496,27.28,13.0,94719.37,28.89,PLBC1,1843,-122.95833,39.40833
76,2018-08-19 04:00:00,95157.47,88985.93,0.02,0.0,31.496,,20.0,94875.8,24.44,PLBC1,1843,-122.95833,39.40833
77,2018-08-19 05:00:00,95225.2,89049.27,2.79,0.0,31.496,,31.0,95023.2,20.56,PLBC1,1843,-122.95833,39.40833
78,2018-08-19 06:00:00,95191.34,89017.6,5.3,0.508,32.004,,44.0,95047.94,17.78,PLBC1,1843,-122.95833,39.40833
79,2018-08-19 07:00:00,95089.75,88922.6,6.98,0.0,32.004,,53.0,94970.15,16.67,PLBC1,1843,-122.95833,39.40833
80,2018-08-19 08:00:00,94886.56,88732.59,7.72,0.0,32.004,,62.0,94803.12,15.0,PLBC1,1843,-122.95833,39.40833
81,2018-08-19 09:00:00,94852.7,88700.93,8.11,0.0,32.004,,66.0,94781.42,14.44,PLBC1,1843,-122.95833,39.40833
82,2018-08-19 10:00:00,94818.84,88669.26,6.43,0.0,32.004,,61.0,94759.58,13.89,PLBC1,1843,-122.95833,39.40833
83,2018-08-19 11:00:00,94818.84,88669.26,6.37,0.0,32.004,,63.0,94771.81,13.33,PLBC1,1843,-122.95833,39.40833
84,2018-08-19 12:00:00,94818.84,88669.26,5.09,0.0,32.004,,62.0,94796.22,12.22,PLBC1,1843,-122.95833,39.40833
85,2018-08-19 13:00:00,94818.84,88669.26,5.47,0.0,32.004,,66.0,94808.36,11.67,PLBC1,1843,-122.95833,39.40833
86,2018-08-19 14:00:00,94852.7,88700.93,4.71,0.0,32.004,,65.0,94854.67,11.11,PLBC1,1843,-122.95833,39.40833
87,2018-08-19 15:00:00,94886.56,88732.59,5.69,0.0,32.004,,67.0,94876.07,11.67,PLBC1,1843,-122.95833,39.40833
88,2018-08-19 16:00:00,94852.7,88700.93,6.74,0.0,32.004,,58.0,94769.32,15.0,PLBC1,1843,-122.95833,39.40833
89,2018-08-19 17:00:00,94818.84,88669.26,8.56,0.0,32.004,,55.0,94675.92,17.78,PLBC1,1843,-122.95833,39.40833
90,2018-08-19 18:00:00,94818.84,88669.26,7.32,0.0,32.004,,44.0,94629.26,20.0,PLBC1,1843,-122.95833,39.40833
