,date_time,volt_set_1,dew_point_temperature_set_1d,heat_index_set_1d,air_temp_set_1,relative_humidity_set_1,snow_depth_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,13.7,9.59,26.96,27.67,32.2,,MSCAS,5870,-122.36917,41.23806
1,2018-08-01 01:00:00,13.76,9.15,,25.06,36.55,182.118,MSCAS,5870,-122.36917,41.23806
2,2018-08-01 02:00:00,13.79,8.95,,24.39,37.55,160.274,MSCAS,5870,-122.36917,41.23806
3,2018-08-01 03:00:00,13.9,5.57,,22.44,33.55,191.516,MSCAS,5870,-122.36917,41.23806
4,2018-08-01 04:00:00,13.3,3.52,,20.18,33.43,192.532,MSCAS,5870,-122.36917,41.23806
5,2018-08-01 05:00:00,13.21,3.78,,19.12,36.38,190.754,MSCAS,5870,-122.36917,41.23806
6,2018-08-01 06:00:00,13.2,1.46,,18.86,31.37,211.582,MSCAS,5870,-122.36917,41.23806
7,2018-08-01 07:00:00,13.17,2.63,,17.8,36.46,260.604,MSCAS,5870,-122.36917,41.23806
8,2018-08-01 08:00:00,13.14,2.97,,17.53,38.0,206.248,MSCAS,5870,-122.36917,41.23806
9,2018-08-01 09:00:00,13.12,2.74,,18.61,34.92,244.856,MSCAS,5870,-122.36917,41.23806
10,2018-08-01 10:00:00,13.1,3.07,,18.14,36.8,192.024,MSCAS,5870,-122.36917,41.23806
11,2018-08-01 11:00:00,13.06,3.09,,17.27,38.94,227.584,MSCAS,5870,-122.36917,41.23806
12,2018-08-01 12:00:00,13.04,5.83,,16.67,48.98,,MSCAS,5870,-122.36917,41.23806
13,2018-08-01 13:00:00,13.02,6.52,,17.27,49.44,187.198,MSCAS,5870,-122.36917,41.23806
14,2018-08-01 14:00:00,13.06,4.64,,17.74,42.15,189.738,MSCAS,5870,-122.36917,41.23806
15,2018-08-01 15:00:00,13.7,5.18,,22.44,32.65,217.932,MSCAS,5870,-122.36917,41.23806
16,2018-08-01 16:00:00,13.99,6.42,,23.72,32.9,215.9,MSCAS,5870,-122.36917,41.23806
17,2018-08-01 17:00:00,13.89,7.64,,25.28,32.55,,MSCAS,5870,-122.36917,41.23806
18,2018-08-01 18:00:00,13.83,7.63,,25.72,31.68,,MSCAS,5870,-122.36917,41.23806
19,2018-08-01 19:00:00,13.79,8.51,26.39,26.83,31.47,,MSCAS,5870,-122.36917,41.23806
20,2018-08-01 20:00:00,13.78,8.45,26.27,26.72,31.54,190.754,MSCAS,5870,-122.36917,41.23806
