,date_time,weather_cond_code_set_1,wind_cardinal_direction_set_1d,weather_condition_set_1d,pressure_set_1,altimeter_set_1d,visibility_set_1,precip_accum_six_hour_set_1,cloud_layer_1_code_set_1,wind_speed_set_1,air_temp_set_1,wind_direction_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,,NNW,Overcast,101796.0,101868.81,7.0,0.0,4.0,3.6,15.0,337.5,EKA01,20,-124.16020,40.80980
1,2018-08-01 01:00:00,,N,Overcast,101728.0,101800.77,7.0,,4.0,5.66,14.44,360.0,EKA01,20,-124.16020,40.80980
2,2018-08-01 02:00:00,,N,Overcast,101694.0,101766.74,7.0,,4.0,3.6,14.44,360.0,EKA01,20,-124.16020,40.80980
3,2018-08-01 03:00:00,,N,Overcast,101694.0,101766.74,7.0,,4.0,2.57,14.44,360.0,EKA01,20,-124.16020,40.80980
4,2018-08-01 04:00:00,,N,Overcast,101694.0,101766.74,7.0,,4.0,2.57,13.89,360.0,EKA01,20,-124.16020,40.80980
5,2018-08-01 05:00:00,,NNW,Overcast,101762.0,101834.79,7.0,,4.0,2.57,13.33,337.5,EKA01,20,-124.16020,40.80980
6,2018-08-01 06:00:00,,NNE,Overcast,101762.0,101834.79,7.0,0.0,4.0,2.57,13.89,22.5,EKA01,20,-124.16020,40.80980
7,2018-08-01 07:00:00,,NE,Overcast,101762.0,101834.79,7.0,,4.0,3.09,13.89,45.0,EKA01,20,-124.16020,40.80980
8,2018-08-01 08:00:00,,NNE,Overcast,101762.0,101834.79,7.0,,4.0,3.09,13.89,22.5,EKA01,20,-124.16020,40.80980
9,2018-08-01 09:00:00,,N,Overcast,101728.0,101800.77,7.0,,4.0,3.09,13.89,360.0,EKA01,20,-124.16020,40.80980
10,2018-08-01 10:00:00,,NNE,Overcast,101694.0,101766.74,7.0,,4.0,3.09,13.89,22.5,EKA01,20,-124.16020,40.80980
11,2018-08-01 11:00:00,2.0,NNE,Drizzle,101728.0,101800.77,5.0,,4.0,3.09,13.89,22.5,EKA01,20,-124.16020,40.80980
12,2018-08-01 12:00:00,2.0,N,Drizzle,101694.0,101766.74,5.0,0.0,4.0,3.09,13.33,360.0,EKA01,20,-124.16020,40.80980
13,2018-08-01 13:00:00,2.0,NNW,Drizzle,101728.0,101800.77,5.0,,4.0,3.09,13.33,337.5,EKA01,20,-124.16020,40.80980
14,2018-08-01 14:00:00,2.0,NW,Drizzle,101762.0,101834.79,4.0,,4.0,3.6,13.33,315.0,EKA01,20,-124.16020,40.80980
15,2018-08-01 15:00:00,2.0,N,Drizzle,101796.0,101868.81,5.0,,4.0,3.09,13.33,360.0,EKA01,20,-124.16020,40.80980
16,2018-08-01 16:00:00,2.0,NNW,Drizzle,101796.0,101868.81,3.0,,4.0,3.6,13.89,337.5,EKA01,20,-124.16020,40.80980
17,2018-08-01 17:00:00,31.0,N,Mist,101796.0,101868.81,3.0,,4.0,2.57,14.44,360.0,EKA01,20,-124.16020,40.80980
18,2018-08-01 18:00:00,,NNW,Overcast,101796.0,101868.81,7.0,0.508,4.0,3.6,15.0,337.5,EKA01,20,-124.16020,40.80980
19,2018-08-01 19:00:00,,W,Overcast,101796.0,101868.81,7.0,,4.0,1.54,16.11,270.0,EKA01,20,-124.16020,40.80980
20,2018-08-01 20:00:00,,NNW,Mostly Cloudy,101830.0,101902.84,7.0,,3.0,4.63,16.11,337.5,EKA01,20,-124.16020,40.80980
21,2018-08-01 21:00:00,,WNW,Overcast,101796.0,101868.81,7.0,,4.0,3.09,16.67,292.5,EKA01,20,-124.16020,40.80980
22,2018-08-01 22:00:00,,NW,Overcast,101830.0,101902.84,7.0,,4.0,4.12,16.67,315.0,EKA01,20,-124.16020,40.80980
23,2018-08-01 23:00:00,,NNE,Overcast,101762.0,101834.79,7.0,,4.0,3.09,16.67,22.5,EKA01,20,-124.16020,40.80980
24,2018-08-02 00:00:00,,N,Overcast,101728.0,101800.77,7.0,0.0,4.0,5.14,15.56,360.0,EKA01,20,-124.16020,40.80980
25,2018-08-02 01:00:00,,N,Overcast,101728.0,101800.77,7.0,,4.0,5.14,15.56,360.0,EKA01,20,-124.16020,40.80980
26,2018-08-02 02:00:00,,NNW,Overcast,101728.0,101800.77,7.0,,4.0,4.12,14.44,337.5,EKA01,20,-124.16020,40.80980
27,2018-08-02 03:00:00,,NNW,Overcast,101728.0,101800.77,7.0,,4.0,1.54,13.89,337.5,EKA01,20,-124.16020,40.80980
28,2018-08-02 04:00:00,,NNE,Overcast,101728.0,101800.77,7.0,,4.0,1.54,13.33,22.5,EKA01,20,-124.16020,40.80980
29,2018-08-02 05:00:00,,ENE,Overcast,101762.0,101834.79,7.0,,4.0,1.54,13.89,67.5,EKA01,20,-124.16020,40.80980
30,2018-08-02 06:00:00,,NNE,Overcast,101762.0,101834.79,7.0,0.0,4.0,1.54,13.89,22.5,EKA01,20,-124.16020,40.80980
31,2018-08-02 07:00:00,,N,Overcast,101762.0,101834.79,7.0,,4.0,2.57,13.89,360.0,EKA01,20,-124.16020,40.80980
32,2018-08-02 08:00:00,2.0,NNE,Drizzle,101762.0,101834.79,6.0,,4.0,3.6,13.89,22.5,EKA01,20,-124.16020,40.80980
33,2018-08-02 09:00:00,2.0,NE,Drizzle,101762.0,101834.79,6.0,,4.0,3.09,13.89,45.0,EKA01,20,-124.16020,40.80980
34,2018-08-02 10:00:00,2.0,NNE,Drizzle,101762.0,101834.79,6.0,,4.0,4.12,13.89,22.5,EKA01,20,-124.16020,40.80980
35,2018-08-02 11:00:00,2.0,N,Drizzle,101762.0,101834.79,6.0,,4.0,4.12,13.89,360.0,EKA01,20,-124.16020,40.80980
36,2018-08-02 12:00:00,2.0,NNE,Drizzle,101728.0,101800.77,5.0,0.0,4.0,4.12,13.33,22.5,EKA01,20,-124.16020,40.80980
37,2018-08-02 13:00:00,,NE,Overcast,101762.0,101834.79,7.0,,4.0,3.6,13.33,45.0,EKA01,20,-124.16020,40.80980
38,2018-08-02 14:00:00,31.0,N,Mist,101762.0,101834.79,4.0,,4.0,4.63,13.33,360.0,EKA01,20,-124.16020,40.80980
39,2018-08-02 15:00:00,31.0,N,Mist,101762.0,101834.79,4.0,,4.0,3.6,13.33,360.0,EKA01,20,-124.16020,40.80980
40,2018-08-02 16:00:00,31.0,N,Mist,101830.0,101902.84,6.0,,4.0,4.12,13.89,360.0,EKA01,20,-124.16020,40.80980
