,date_time,wind_cardinal_direction_set_1d,dew_point_temperature_set_1d,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,WSW,-6.67,32.38,240.9,6.0,2.6,36.2,CQ184,3422,-120.94417,39.93972
1,2018-08-01 01:00:00,SW,-9.46,31.64,225.3,5.0,2.9,35.5,CQ184,3422,-120.94417,39.93972
2,2018-08-01 02:00:00,WSW,-9.82,31.21,258.5,5.0,2.3,35.0,CQ184,3422,-120.94417,39.93972
3,2018-08-01 03:00:00,SW,-11.04,29.94,227.0,5.0,2.0,33.3,CQ184,3422,-120.94417,39.93972
4,2018-08-01 04:00:00,SSW,-9.98,26.97,201.1,7.0,0.8,29.1,CQ184,3422,-120.94417,39.93972
5,2018-08-01 05:00:00,SW,-12.4,,233.8,8.0,0.8,23.7,CQ184,3422,-120.94417,39.93972
6,2018-08-01 06:00:00,WSW,-11.27,,250.5,10.0,0.7,21.6,CQ184,3422,-120.94417,39.93972
7,2018-08-01 07:00:00,SSW,-11.97,,201.1,11.0,0.5,19.2,CQ184,3422,-120.94417,39.93972
8,2018-08-01 08:00:00,SW,-11.14,,232.3,12.0,0.7,18.9,CQ184,3422,-120.94417,39.93972
9,2018-08-01 09:00:00,WSW,-11.34,,254.5,13.0,0.6,17.4,CQ184,3422,-120.94417,39.93972
10,2018-08-01 10:00:00,ENE,-11.74,,61.1,15.0,0.4,14.7,CQ184,3422,-120.94417,39.93972
11,2018-08-01 11:00:00,SW,-11.67,,222.0,16.0,0.6,13.8,CQ184,3422,-120.94417,39.93972
12,2018-08-01 12:00:00,ENE,-12.9,,62.9,16.0,0.5,12.3,CQ184,3422,-120.94417,39.93972
13,2018-08-01 13:00:00,SE,-13.55,,125.3,17.0,0.4,10.6,CQ184,3422,-120.94417,39.93972
14,2018-08-01 14:00:00,NE,-14.45,,45.9,17.0,0.6,9.5,CQ184,3422,-120.94417,39.93972
15,2018-08-01 15:00:00,E,-14.62,,100.7,17.0,0.3,9.3,CQ184,3422,-120.94417,39.93972
16,2018-08-01 16:00:00,NNW,-10.92,,332.5,17.0,0.7,13.8,CQ184,3422,-120.94417,39.93972
17,2018-08-01 17:00:00,NNW,-7.15,,348.1,18.0,0.8,17.5,CQ184,3422,-120.94417,39.93972
18,2018-08-01 18:00:00,NE,-5.88,,49.5,16.0,0.9,20.9,CQ184,3422,-120.94417,39.93972
19,2018-08-01 19:00:00,ENE,-3.96,,68.1,15.0,1.2,24.3,CQ184,3422,-120.94417,39.93972
20,2018-08-01 20:00:00,E,-3.47,26.98,96.9,12.0,1.0,28.6,CQ184,3422,-120.94417,39.93972
21,2018-08-01 21:00:00,SE,-2.98,29.66,124.8,10.0,1.6,32.3,CQ184,3422,-120.94417,39.93972
22,2018-08-01 22:00:00,WSW,-7.55,31.33,242.6,6.0,2.8,35.0,CQ184,3422,-120.94417,39.93972
