,date_time,T_water_temp_set_1,volt_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,26.56,11.9,ETTC1,915,-123.99028,40.13944
1,2018-08-01 00:15:00,26.22,,ETTC1,915,-123.99028,40.13944
2,2018-08-01 00:30:00,26.28,,ETTC1,915,-123.99028,40.13944
3,2018-08-01 00:45:00,25.94,,ETTC1,915,-123.99028,40.13944
4,2018-08-01 01:00:00,25.5,11.8,ETTC1,915,-123.99028,40.13944
5,2018-08-01 01:15:00,25.17,,ETTC1,915,-123.99028,40.13944
6,2018-08-01 01:30:00,25.22,,ETTC1,915,-123.99028,40.13944
7,2018-08-01 01:45:00,25.17,,ETTC1,915,-123.99028,40.13944
8,2018-08-01 02:00:00,24.94,11.7,ETTC1,915,-123.99028,40.13944
9,2018-08-01 02:15:00,24.56,,ETTC1,915,-123.99028,40.13944
10,2018-08-01 02:30:00,23.89,,ETTC1,915,-123.99028,40.13944
11,2018-08-01 02:45:00,23.28,,ETTC1,915,-123.99028,40.13944
12,2018-08-01 03:00:00,22.83,11.7,ETTC1,915,-123.99028,40.13944
13,2018-08-01 03:15:00,22.39,,ETTC1,915,-123.99028,40.13944
14,2018-08-01 03:30:00,22.0,,ETTC1,915,-123.99028,40.13944
15,2018-08-01 03:45:00,21.56,,ETTC1,915,-123.99028,40.13944
16,2018-08-01 04:00:00,21.11,11.7,ETTC1,915,-123.99028,40.13944
17,2018-08-01 04:15:00,20.61,,ETTC1,915,-123.99028,40.13944
18,2018-08-01 04:30:00,20.17,,ETTC1,915,-123.99028,40.13944
19,2018-08-01 04:45:00,19.83,,ETTC1,915,-123.99028,40.13944
20,2018-08-01 05:00:00,19.5,11.6,ETTC1,915,-123.99028,40.13944
21,2018-08-01 05:15:00,19.11,,ETTC1,915,-123.99028,40.13944
22,2018-08-01 05:30:00,18.67,,ETTC1,915,-123.99028,40.13944
23,2018-08-01 05:45:00,18.33,,ETTC1,915,-123.99028,40.13944
24,2018-08-01 06:00:00,18.0,11.6,ETTC1,915,-123.99028,40.13944
25,2018-08-01 06:15:00,17.67,,ETTC1,915,-123.99028,40.13944
26,2018-08-01 06:30:00,17.33,,ETTC1,915,-123.99028,40.13944
27,2018-08-01 06:45:00,17.11,,ETTC1,915,-123.99028,40.13944
28,2018-08-01 07:00:00,16.83,11.6,ETTC1,915,-123.99028,40.13944
29,2018-08-01 07:15:00,16.56,,ETTC1,915,-123.99028,40.13944
30,2018-08-01 07:30:00,16.28,,ETTC1,915,-123.99028,40.13944
31,2018-08-01 07:45:00,16.06,,ETTC1,915,-123.99028,40.13944
32,2018-08-01 08:00:00,15.83,11.5,ETTC1,915,-123.99028,40.13944
33,2018-08-01 08:15:00,15.5,,ETTC1,915,-123.99028,40.13944
34,2018-08-01 08:30:00,15.17,,ETTC1,915,-123.99028,40.13944
35,2018-08-01 08:45:00,14.83,,ETTC1,915,-123.99028,40.13944
36,2018-08-01 09:00:00,14.56,11.5,ETTC1,915,-123.99028,40.13944
37,2018-08-01 09:15:00,14.28,,ETTC1,915,-123.99028,40.13944
38,2018-08-01 09:30:00,14.0,,ETTC1,915,-123.99028,40.13944
39,2018-08-01 09:45:00,13.78,,ETTC1,915,-123.99028,40.13944
40,2018-08-01 10:00:00,13.5,11.5,ETTC1,915,-123.99028,40.13944
41,2018-08-01 10:15:00,13.33,,ETTC1,915,-123.99028,40.13944
42,2018-08-01 10:30:00,13.11,,ETTC1,915,-123.99028,40.13944
43,2018-08-01 10:45:00,12.89,,ETTC1,915,-123.99028,40.13944
44,2018-08-01 11:00:00,12.78,11.5,ETTC1,915,-123.99028,40.13944
45,2018-08-01 11:15:00,12.56,,ETTC1,915,-123.99028,40.13944
46,2018-08-01 11:30:00,12.44,,ETTC1,915,-123.99028,40.13944
47,2018-08-01 11:45:00,12.22,,ETTC1,915,-123.99028,40.13944
48,2018-08-01 12:00:00,12.06,11.5,ETTC1,915,-123.99028,40.13944
49,2018-08-01 12:15:00,11.94,,ETTC1,915,-123.99028,40.13944
50,2018-08-01 12:30:00,11.83,,ETTC1,915,-123.99028,40.13944
51,2018-08-01 12:45:00,11.67,,ETTC1,915,-123.99028,40.13944
52,2018-08-01 13:00:00,11.5,11.5,ETTC1,915,-123.99028,40.13944
53,2018-08-01 13:15:00,11.44,,ETTC1,915,-123.99028,40.13944
54,2018-08-01 13:30:00,11.33,,ETTC1,915,-123.99028,40.13944
55,2018-08-01 13:45:00,11.44,,ETTC1,915,-123.99028,40.13944
