,road_subsurface_tmp_set_1,date_time,wind_cardinal_direction_set_1d,road_temp_set_1,road_temp_set_2,dew_point_temperature_set_1d,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,wind_gust_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,39.6,2018-08-01 00:08:00,S,55.6,53.8,11.87,31.96,170.0,27.0,1.39,5.56,33.3,CTFPE,4695,-120.79,40.39
1,39.7,2018-08-01 00:23:00,SSW,53.4,49.5,11.61,31.61,195.0,27.0,2.22,6.11,33.0,CTFPE,4695,-120.79,40.39
2,40.0,2018-08-01 00:38:00,SW,52.0,45.9,11.0,30.82,230.0,27.0,1.39,5.56,32.3,CTFPE,4695,-120.79,40.39
3,40.3,2018-08-01 01:23:00,NW,46.0,40.4,11.03,29.75,320.0,29.0,1.67,4.44,31.1,CTFPE,4695,-120.79,40.39
4,40.4,2018-08-01 01:38:00,W,43.6,39.2,10.42,29.06,265.0,29.0,1.67,3.33,30.4,CTFPE,4695,-120.79,40.39
5,40.4,2018-08-01 01:53:00,SW,41.8,38.2,10.23,28.39,215.0,30.0,1.67,4.17,29.6,CTFPE,4695,-120.79,40.39
6,40.4,2018-08-01 02:08:00,W,40.4,37.0,9.62,27.79,260.0,30.0,0.83,2.22,28.9,CTFPE,4695,-120.79,40.39
7,40.4,2018-08-01 02:23:00,W,39.1,36.2,9.49,27.29,265.0,31.0,0.56,3.06,28.2,CTFPE,4695,-120.79,40.39
8,40.3,2018-08-01 02:38:00,SW,37.8,35.2,9.35,26.83,230.0,32.0,1.11,2.5,27.5,CTFPE,4695,-120.79,40.39
9,40.1,2018-08-01 02:53:00,WSW,36.4,34.2,9.01,,240.0,34.0,0.83,1.67,26.1,CTFPE,4695,-120.79,40.39
10,40.0,2018-08-01 03:08:00,WNW,35.3,33.3,8.28,,290.0,35.0,1.11,1.67,24.8,CTFPE,4695,-120.79,40.39
11,39.8,2018-08-01 03:24:00,W,34.2,32.3,8.3,,280.0,37.0,1.11,1.67,23.9,CTFPE,4695,-120.79,40.39
12,39.6,2018-08-01 03:38:00,WNW,33.3,31.8,7.79,,290.0,38.0,0.83,1.39,22.9,CTFPE,4695,-120.79,40.39
13,39.3,2018-08-01 03:54:00,SSW,32.5,31.1,6.92,,195.0,39.0,0.56,1.11,21.5,CTFPE,4695,-120.79,40.39
14,39.2,2018-08-01 04:08:00,,31.9,30.4,7.01,,,41.0,0.0,0.56,20.8,CTFPE,4695,-120.79,40.39
15,38.9,2018-08-01 04:23:00,,31.0,29.8,6.46,,,42.0,0.0,0.56,19.8,CTFPE,4695,-120.79,40.39
16,38.7,2018-08-01 04:38:00,,30.4,29.4,6.26,,,43.0,0.0,0.56,19.2,CTFPE,4695,-120.79,40.39
17,38.4,2018-08-01 04:53:00,,30.2,29.0,6.64,,,45.0,0.0,0.56,18.9,CTFPE,4695,-120.79,40.39
18,38.2,2018-08-01 05:08:00,,29.7,28.7,6.69,,,46.0,0.0,0.0,18.6,CTFPE,4695,-120.79,40.39
