,date_time,altimeter_set_1,wind_cardinal_direction_set_1d,weather_condition_set_1d,wind_gust_set_1,metar_set_1,ceiling_set_1,dew_point_temperature_set_1,cloud_layer_2_code_set_1,cloud_layer_3_code_set_1,dew_point_temperature_set_1d,visibility_set_1,cloud_layer_1_code_set_1,heat_index_set_1d,wind_direction_set_1,metar_origin_set_1,pressure_set_1d,relative_humidity_set_1,wind_speed_set_1,sea_level_pressure_set_1d,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
10,2018-08-03 00:55:00,101354.56,W,Clear,9.26,KO54 030055Z AUTO 27007G18KT 10SM CLR 32/00 A2993 RMK AO1,,0.0,,,0.19,10.0,1.0,29.75,270.0,1.0,93397.49,12.89,3.6,100773.92,32.0,KO54,2244,-122.92230,40.74600
11,2018-08-03 01:15:00,101354.56,W,Clear,8.23,KO54 030115Z AUTO 28009G16KT 240V310 10SM CLR 32/00 A2993 RMK AO1,,0.0,,,0.19,10.0,1.0,29.75,280.0,1.0,93397.49,12.89,4.63,100773.92,32.0,KO54,2244,-122.92230,40.74600
12,2018-08-03 01:35:00,101354.56,WSW,Clear,8.23,KO54 030135Z AUTO 25005G16KT 150V320 10SM CLR 30/M01 A2993 RMK AO1,,-1.0,,,-0.86,10.0,1.0,28.13,250.0,1.0,93397.49,13.42,2.57,100824.12,30.0,KO54,2244,-122.92230,40.74600
13,2018-08-03 01:55:00,101354.56,WSW,Clear,,KO54 030155Z AUTO 24004KT 10SM CLR 30/M01 A2993 RMK AO1,,-1.0,,,-0.86,10.0,1.0,28.13,240.0,1.0,93397.49,13.42,2.06,100824.12,30.0,KO54,2244,-122.92230,40.74600
14,2018-08-03 02:15:00,101388.43,SSW,Clear,,KO54 030215Z AUTO 20008KT 160V230 10SM CLR 29/00 A2994 RMK AO1,,0.0,,,0.11,10.0,1.0,27.38,200.0,1.0,93428.7,15.29,4.12,100883.15,29.0,KO54,2244,-122.92230,40.74600
15,2018-08-03 02:35:00,101388.43,S,Clear,7.72,KO54 030235Z AUTO 19008G15KT 170V240 10SM CLR 28/01 A2994 RMK AO1,,1.0,,,1.08,10.0,1.0,26.69,190.0,1.0,93428.7,17.42,4.12,100908.66,28.0,KO54,2244,-122.92230,40.74600
16,2018-08-03 02:55:00,101422.29,SSW,Clear,,KO54 030255Z AUTO 21007KT 170V340 10SM CLR 27/03 A2995 RMK AO1,,3.0,,,3.04,10.0,1.0,26.31,210.0,1.0,93459.9,21.3,3.6,100968.03,27.0,KO54,2244,-122.92230,40.74600
17,2018-08-03 03:15:00,101456.15,SSW,Clear,7.2,KO54 030315Z AUTO 20008G14KT 180V240 10SM CLR 26/03 A2996 RMK AO1,,3.0,,,3.02,10.0,1.0,,200.0,1.0,93491.1,22.59,4.12,101027.64,26.0,KO54,2244,-122.92230,40.74600
18,2018-08-03 03:35:00,101456.15,SSW,Clear,7.72,KO54 030335Z AUTO 20007G15KT 10SM CLR 25/03 A2996 RMK AO1,,3.0,,,3.01,10.0,1.0,,200.0,1.0,93491.1,23.97,3.6,101053.72,25.0,KO54,2244,-122.92230,40.74600
19,2018-08-03 03:55:00,101490.02,SW,Clear,,KO54 030355Z AUTO 22009KT 10SM CLR 25/03 A2997 RMK AO1,,3.0,,,3.01,10.0,1.0,,220.0,1.0,93522.31,23.97,4.63,101087.45,25.0,KO54,2244,-122.92230,40.74600
20,2018-08-03 04:15:00,101523.88,SW,Clear,7.72,KO54 030415Z AUTO 22006G15KT 10SM CLR 25/03 A2998 RMK AO1,,3.0,,,3.01,10.0,1.0,,220.0,1.0,93553.51,23.97,3.09,101121.17,25.0,KO54,2244,-122.92230,40.74600
21,2018-08-03 04:35:00,101557.75,SW,Clear,,KO54 030435Z AUTO 22007KT 10SM CLR 24/03 A2999 RMK AO1,,3.0,,,2.99,10.0,1.0,,220.0,1.0,93584.72,25.45,3.6,101181.19,24.0,KO54,2244,-122.92230,40.74600
22,2018-08-03 04:55:00,101591.61,SW,Clear,7.2,KO54 030455Z AUTO 22008G14KT 10SM CLR 24/02 A3000 RMK AO1,,2.0,,,2.0,10.0,1.0,,220.0,1.0,93615.92,23.7,4.12,101214.95,24.0,KO54,2244,-122.92230,40.74600
23,2018-08-03 05:15:00,101591.61,SSW,Clear,,KO54 030515Z AUTO 21007KT 10SM CLR 23/02 A3000 RMK AO1,,2.0,,,1.98,10.0,1.0,,210.0,1.0,93615.92,25.17,3.6,101241.43,23.0,KO54,2244,-122.92230,40.74600
24,2018-08-03 05:35:00,101625.47,WSW,Clear,,KO54 030535Z AUTO 24007KT 10SM CLR 23/01 A3001 RMK AO1,,1.0,,,0.99,10.0,1.0,,240.0,1.0,93647.13,23.43,3.6,101275.2,23.0,KO54,2244,-122.92230,40.74600
25,2018-08-03 05:55:00,101625.47,NNE,Clear,,KO54 030555Z AUTO 03003KT 10SM CLR 20/04 A3001 RMK AO1,,4.0,,,3.95,10.0,1.0,,30.0,1.0,93647.13,34.84,1.54,101355.71,20.0,KO54,2244,-122.92230,40.74600
26,2018-08-03 06:15:00,101659.34,NE,Clear,,KO54 030615Z AUTO 05003KT 10SM CLR 18/04 A3002 RMK AO1,,4.0,,,3.93,10.0,1.0,,50.0,1.0,93678.34,39.46,1.54,101444.18,18.0,KO54,2244,-122.92230,40.74600
