,date_time,T_water_temp_set_1,precip_accum_set_1,precip_accum_one_hour_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,10.11,610.616,0.0,KESC1,479,-122.44333,40.60167
1,2018-08-01 00:15:00,,610.616,,KESC1,479,-122.44333,40.60167
2,2018-08-01 00:30:00,,610.616,,KESC1,479,-122.44333,40.60167
3,2018-08-01 00:45:00,,610.616,,KESC1,479,-122.44333,40.60167
4,2018-08-01 01:00:00,10.11,610.616,0.0,KESC1,479,-122.44333,40.60167
5,2018-08-01 01:15:00,,610.616,,KESC1,479,-122.44333,40.60167
6,2018-08-01 01:30:00,,610.616,,KESC1,479,-122.44333,40.60167
7,2018-08-01 01:45:00,,610.616,,KESC1,479,-122.44333,40.60167
8,2018-08-01 02:00:00,10.17,610.616,0.0,KESC1,479,-122.44333,40.60167
9,2018-08-01 02:15:00,,610.616,,KESC1,479,-122.44333,40.60167
10,2018-08-01 02:30:00,,610.616,,KESC1,479,-122.44333,40.60167
11,2018-08-01 02:45:00,,610.616,,KESC1,479,-122.44333,40.60167
12,2018-08-01 03:00:00,10.17,610.616,0.0,KESC1,479,-122.44333,40.60167
13,2018-08-01 03:15:00,,610.616,,KESC1,479,-122.44333,40.60167
14,2018-08-01 03:30:00,,610.616,,KESC1,479,-122.44333,40.60167
15,2018-08-01 03:45:00,,610.616,,KESC1,479,-122.44333,40.60167
16,2018-08-01 04:00:00,10.22,610.616,0.0,KESC1,479,-122.44333,40.60167
17,2018-08-01 04:15:00,,610.616,,KESC1,479,-122.44333,40.60167
18,2018-08-01 04:30:00,,610.616,,KESC1,479,-122.44333,40.60167
19,2018-08-01 04:45:00,,610.616,,KESC1,479,-122.44333,40.60167
20,2018-08-01 05:00:00,10.22,610.616,0.0,KESC1,479,-122.44333,40.60167
21,2018-08-01 05:15:00,,610.616,,KESC1,479,-122.44333,40.60167
22,2018-08-01 05:30:00,,610.616,,KESC1,479,-122.44333,40.60167
23,2018-08-01 05:45:00,,610.616,,KESC1,479,-122.44333,40.60167
24,2018-08-01 06:00:00,10.22,610.616,0.0,KESC1,479,-122.44333,40.60167
25,2018-08-01 06:15:00,,610.616,,KESC1,479,-122.44333,40.60167
26,2018-08-01 06:30:00,,610.616,,KESC1,479,-122.44333,40.60167
27,2018-08-01 06:45:00,,610.616,,KESC1,479,-122.44333,40.60167
28,2018-08-01 07:00:00,10.22,610.616,0.0,KESC1,479,-122.44333,40.60167
29,2018-08-01 07:15:00,,610.616,,KESC1,479,-122.44333,40.60167
30,2018-08-01 07:30:00,,610.616,,KESC1,479,-122.44333,40.60167
31,2018-08-01 07:45:00,,610.616,,KESC1,479,-122.44333,40.60167
32,2018-08-01 08:00:00,10.28,610.616,0.0,KESC1,479,-122.44333,40.60167
33,2018-08-01 08:15:00,,610.616,,KESC1,479,-122.44333,40.60167
34,2018-08-01 08:30:00,,610.616,,KESC1,479,-122.44333,40.60167
35,2018-08-01 08:45:00,,610.616,,KESC1,479,-122.44333,40.60167
36,2018-08-01 09:00:00,10.39,610.616,0.0,KESC1,479,-122.44333,40.60167
37,2018-08-01 09:15:00,,610.616,,KESC1,479,-122.44333,40.60167
38,2018-08-01 09:30:00,,610.616,,KESC1,479,-122.44333,40.60167
39,2018-08-01 09:45:00,,610.616,,KESC1,479,-122.44333,40.60167
40,2018-08-01 10:00:00,10.67,610.616,0.0,KESC1,479,-122.44333,40.60167
41,2018-08-01 10:15:00,,610.616,,KESC1,479,-122.44333,40.60167
42,2018-08-01 10:30:00,,610.616,,KESC1,479,-122.44333,40.60167
43,2018-08-01 10:45:00,,610.616,,KESC1,479,-122.44333,40.60167
44,2018-08-01 11:00:00,10.94,610.616,0.0,KESC1,479,-122.44333,40.60167
45,2018-08-01 11:15:00,,610.616,,KESC1,479,-122.44333,40.60167
46,2018-08-01 11:30:00,,610.616,,KESC1,479,-122.44333,40.60167
47,2018-08-01 11:45:00,,610.616,,KESC1,479,-122.44333,40.60167
48,2018-08-01 12:00:00,11.06,610.616,0.0,KESC1,479,-122.44333,40.60167
49,2018-08-01 12:15:00,,610.616,,KESC1,479,-122.44333,40.60167
50,2018-08-01 12:30:00,,610.616,,KESC1,479,-122.44333,40.60167
51,2018-08-01 12:45:00,,610.616,,KESC1,479,-122.44333,40.60167
52,2018-08-01 13:00:00,11.11,610.616,0.0,KESC1,479,-122.44333,40.60167
53,2018-08-01 13:15:00,,610.616,,KESC1,479,-122.44333,40.60167
54,2018-08-01 13:30:00,,610.616,,KESC1,479,-122.44333,40.60167
55,2018-08-01 13:45:00,,610.616,,KESC1,479,-122.44333,40.60167
56,2018-08-01 14:00:00,11.11,610.616,0.0,KESC1,479,-122.44333,40.60167
57,2018-08-01 14:15:00,,610.616,,KESC1,479,-122.44333,40.60167
58,2018-08-01 14:30:00,,610.616,,KESC1,479,-122.44333,40.60167
59,2018-08-01 14:45:00,,610.616,,KESC1,479,-122.44333,40.60167
60,2018-08-01 15:00:00,11.06,610.616,0.0,KESC1,479,-122.44333,40.60167
61,2018-08-01 15:15:00,,610.616,,KESC1,479,-122.44333,40.60167
62,2018-08-01 15:30:00,,610.616,,KESC1,479,-122.44333,40.60167
63,2018-08-01 15:45:00,,610.616,,KESC1,479,-122.44333,40.60167
64,2018-08-01 16:00:00,11.0,610.616,0.0,KESC1,479,-122.44333,40.60167
65,2018-08-01 16:15:00,,610.616,,KESC1,479,-122.44333,40.60167
66,2018-08-01 16:30:00,,610.616,,KESC1,479,-122.44333,40.60167
67,2018-08-01 16:45:00,,610.616,,KESC1,479,-122.44333,40.60167
68,2018-08-01 17:00:00,10.94,610.616,0.0,KESC1,479,-122.44333,40.60167
69,2018-08-01 17:15:00,,610.616,,KESC1,479,-122.44333,40.60167
70,2018-08-01 17:30:00,,610.616,,KESC1,479,-122.44333,40.60167
71,2018-08-01 17:45:00,,610.616,,KESC1,479,-122.44333,40.60167
72,2018-08-01 18:00:00,11.0,610.616,0.0,KESC1,479,-122.44333,40.60167
73,2018-08-01 18:15:00,,610.616,,KESC1,479,-122.44333,40.60167
74,2018-08-01 18:30:00,,610.616,,KESC1,479,-122.44333,40.60167
75,2018-08-01 18:45:00,,610.616,,KESC1,479,-122.44333,40.60167
