,date_time,T_water_temp_set_1,volt_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,15.06,13.12,40.24,DCYC1,1598,-122.95667,40.64528
1,2018-08-01 00:15:00,15.11,,39.5,DCYC1,1598,-122.95667,40.64528
2,2018-08-01 00:30:00,15.22,,38.7,DCYC1,1598,-122.95667,40.64528
3,2018-08-01 00:45:00,15.28,,38.03,DCYC1,1598,-122.95667,40.64528
4,2018-08-01 01:00:00,15.33,13.12,36.81,DCYC1,1598,-122.95667,40.64528
5,2018-08-01 01:15:00,15.39,,34.79,DCYC1,1598,-122.95667,40.64528
6,2018-08-01 01:30:00,15.39,,32.77,DCYC1,1598,-122.95667,40.64528
7,2018-08-01 01:45:00,15.39,,31.58,DCYC1,1598,-122.95667,40.64528
8,2018-08-01 02:00:00,15.39,13.43,30.85,DCYC1,1598,-122.95667,40.64528
9,2018-08-01 02:15:00,15.33,,30.1,DCYC1,1598,-122.95667,40.64528
10,2018-08-01 02:30:00,15.33,,29.42,DCYC1,1598,-122.95667,40.64528
11,2018-08-01 02:45:00,15.28,,28.82,DCYC1,1598,-122.95667,40.64528
12,2018-08-01 03:00:00,15.28,13.12,27.8,DCYC1,1598,-122.95667,40.64528
13,2018-08-01 03:15:00,15.22,,26.85,DCYC1,1598,-122.95667,40.64528
14,2018-08-01 03:30:00,15.22,,25.72,DCYC1,1598,-122.95667,40.64528
15,2018-08-01 03:45:00,15.17,,24.56,DCYC1,1598,-122.95667,40.64528
16,2018-08-01 04:00:00,15.17,13.12,23.49,DCYC1,1598,-122.95667,40.64528
17,2018-08-01 04:15:00,15.11,,22.88,DCYC1,1598,-122.95667,40.64528
18,2018-08-01 04:30:00,15.11,,21.87,DCYC1,1598,-122.95667,40.64528
19,2018-08-01 04:45:00,15.11,,21.37,DCYC1,1598,-122.95667,40.64528
20,2018-08-01 05:00:00,15.11,12.81,20.85,DCYC1,1598,-122.95667,40.64528
21,2018-08-01 05:15:00,15.06,,20.22,DCYC1,1598,-122.95667,40.64528
22,2018-08-01 05:30:00,15.06,,19.7,DCYC1,1598,-122.95667,40.64528
23,2018-08-01 05:45:00,15.0,,19.26,DCYC1,1598,-122.95667,40.64528
24,2018-08-01 06:00:00,15.0,12.81,18.64,DCYC1,1598,-122.95667,40.64528
25,2018-08-01 06:15:00,14.94,,18.2,DCYC1,1598,-122.95667,40.64528
26,2018-08-01 06:30:00,14.89,,17.82,DCYC1,1598,-122.95667,40.64528
