,date_time,precip_accum_set_1,snow_depth_set_1,air_temp_set_1,snow_water_equiv_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,909.32,,19.7,7.62,BRMO3,6050,-122.85487,42.05257
1,2018-08-01 01:00:00,911.86,,19.0,5.08,BRMO3,6050,-122.85487,42.05257
2,2018-08-01 02:00:00,909.32,,17.5,2.54,BRMO3,6050,-122.85487,42.05257
3,2018-08-01 03:00:00,911.86,,16.1,0.0,BRMO3,6050,-122.85487,42.05257
4,2018-08-01 04:00:00,911.86,,15.0,,BRMO3,6050,-122.85487,42.05257
5,2018-08-01 05:00:00,911.86,,14.4,,BRMO3,6050,-122.85487,42.05257
6,2018-08-01 06:00:00,909.32,,14.5,,BRMO3,6050,-122.85487,42.05257
7,2018-08-01 07:00:00,911.86,,14.0,,BRMO3,6050,-122.85487,42.05257
8,2018-08-01 08:00:00,911.86,,13.7,,BRMO3,6050,-122.85487,42.05257
9,2018-08-01 09:00:00,911.86,,13.6,,BRMO3,6050,-122.85487,42.05257
10,2018-08-01 10:00:00,911.86,,14.0,,BRMO3,6050,-122.85487,42.05257
11,2018-08-01 11:00:00,911.86,,13.5,,BRMO3,6050,-122.85487,42.05257
12,2018-08-01 12:00:00,909.32,,13.2,,BRMO3,6050,-122.85487,42.05257
13,2018-08-01 13:00:00,911.86,,13.0,,BRMO3,6050,-122.85487,42.05257
14,2018-08-01 14:00:00,911.86,,12.8,,BRMO3,6050,-122.85487,42.05257
15,2018-08-01 15:00:00,911.86,,15.5,,BRMO3,6050,-122.85487,42.05257
16,2018-08-01 16:00:00,909.32,,17.5,,BRMO3,6050,-122.85487,42.05257
17,2018-08-01 17:00:00,909.32,,18.8,,BRMO3,6050,-122.85487,42.05257
18,2018-08-01 18:00:00,906.78,,18.6,,BRMO3,6050,-122.85487,42.05257
19,2018-08-01 19:00:00,909.32,,20.0,,BRMO3,6050,-122.85487,42.05257
20,2018-08-01 20:00:00,909.32,,21.0,7.62,BRMO3,6050,-122.85487,42.05257
21,2018-08-01 21:00:00,906.78,,21.4,5.08,BRMO3,6050,-122.85487,42.05257
22,2018-08-01 22:00:00,906.78,,20.8,15.24,BRMO3,6050,-122.85487,42.05257
23,2018-08-01 23:00:00,909.32,,20.0,15.24,BRMO3,6050,-122.85487,42.05257
24,2018-08-02 00:00:00,909.32,,19.4,7.62,BRMO3,6050,-122.85487,42.05257
25,2018-08-02 01:00:00,911.86,,18.6,5.08,BRMO3,6050,-122.85487,42.05257
26,2018-08-02 02:00:00,909.32,,17.0,2.54,BRMO3,6050,-122.85487,42.05257
27,2018-08-02 03:00:00,911.86,,15.6,,BRMO3,6050,-122.85487,42.05257
28,2018-08-02 04:00:00,909.32,,14.5,,BRMO3,6050,-122.85487,42.05257
29,2018-08-02 05:00:00,909.32,,13.8,,BRMO3,6050,-122.85487,42.05257
30,2018-08-02 06:00:00,911.86,,12.9,,BRMO3,6050,-122.85487,42.05257
31,2018-08-02 07:00:00,911.86,,12.3,,BRMO3,6050,-122.85487,42.05257
32,2018-08-02 08:00:00,911.86,0.0,12.1,0.0,BRMO3,6050,-122.85487,42.05257
33,2018-08-02 09:00:00,909.32,,11.7,,BRMO3,6050,-122.85487,42.05257
34,2018-08-02 10:00:00,911.86,,12.0,,BRMO3,6050,-122.85487,42.05257
35,2018-08-02 11:00:00,911.86,,11.5,,BRMO3,6050,-122.85487,42.05257
36,2018-08-02 12:00:00,911.86,,11.2,,BRMO3,6050,-122.85487,42.05257
37,2018-08-02 13:00:00,911.86,,11.1,,BRMO3,6050,-122.85487,42.05257
38,2018-08-02 14:00:00,909.32,,11.0,,BRMO3,6050,-122.85487,42.05257
39,2018-08-02 15:00:00,909.32,,13.3,,BRMO3,6050,-122.85487,42.05257
40,2018-08-02 16:00:00,909.32,,14.6,,BRMO3,6050,-122.85487,42.05257
41,2018-08-02 17:00:00,909.32,,15.5,,BRMO3,6050,-122.85487,42.05257
42,2018-08-02 18:00:00,909.32,,16.6,,BRMO3,6050,-122.85487,42.05257
43,2018-08-02 19:00:00,909.32,,17.6,,BRMO3,6050,-122.85487,42.05257
44,2018-08-02 20:00:00,909.32,,19.0,5.08,BRMO3,6050,-122.85487,42.05257
45,2018-08-02 21:00:00,906.78,,18.9,2.54,BRMO3,6050,-122.85487,42.05257
46,2018-08-02 22:00:00,906.78,,18.6,12.7,BRMO3,6050,-122.85487,42.05257
47,2018-08-02 23:00:00,909.32,,18.1,10.16,BRMO3,6050,-122.85487,42.05257
48,2018-08-03 00:00:00,909.32,,17.6,5.08,BRMO3,6050,-122.85487,42.05257
49,2018-08-03 01:00:00,911.86,,16.7,2.54,BRMO3,6050,-122.85487,42.05257
50,2018-08-03 02:00:00,911.86,,15.5,,BRMO3,6050,-122.85487,42.05257
51,2018-08-03 03:00:00,911.86,,14.3,,BRMO3,6050,-122.85487,42.05257
52,2018-08-03 04:00:00,911.86,,13.0,,BRMO3,6050,-122.85487,42.05257
53,2018-08-03 05:00:00,909.32,,11.9,,BRMO3,6050,-122.85487,42.05257
54,2018-08-03 06:00:00,911.86,,10.7,,BRMO3,6050,-122.85487,42.05257
55,2018-08-03 07:00:00,911.86,,10.0,,BRMO3,6050,-122.85487,42.05257
56,2018-08-03 08:00:00,911.86,,9.9,,BRMO3,6050,-122.85487,42.05257
57,2018-08-03 09:00:00,911.86,,9.4,,BRMO3,6050,-122.85487,42.05257
58,2018-08-03 10:00:00,909.32,,9.3,,BRMO3,6050,-122.85487,42.05257
59,2018-08-03 11:00:00,909.32,,8.8,,BRMO3,6050,-122.85487,42.05257
60,2018-08-03 12:00:00,911.86,,9.1,,BRMO3,6050,-122.85487,42.05257
61,2018-08-03 13:00:00,909.32,,9.1,,BRMO3,6050,-122.85487,42.05257
62,2018-08-03 14:00:00,911.86,,9.2,,BRMO3,6050,-122.85487,42.05257
63,2018-08-03 15:00:00,909.32,,12.9,,BRMO3,6050,-122.85487,42.05257
64,2018-08-03 16:00:00,909.32,,14.2,,BRMO3,6050,-122.85487,42.05257
65,2018-08-03 17:00:00,909.32,,14.8,,BRMO3,6050,-122.85487,42.05257
66,2018-08-03 18:00:00,909.32,,15.1,,BRMO3,6050,-122.85487,42.05257
67,2018-08-03 19:00:00,909.32,,16.3,,BRMO3,6050,-122.85487,42.05257
68,2018-08-03 20:00:00,909.32,,17.3,5.08,BRMO3,6050,-122.85487,42.05257
69,2018-08-03 21:00:00,906.78,,17.1,2.54,BRMO3,6050,-122.85487,42.05257
70,2018-08-03 22:00:00,906.78,,17.1,12.7,BRMO3,6050,-122.85487,42.05257
71,2018-08-03 23:00:00,911.86,,16.2,7.62,BRMO3,6050,-122.85487,42.05257
72,2018-08-04 00:00:00,909.32,,15.7,2.54,BRMO3,6050,-122.85487,42.05257
73,2018-08-04 01:00:00,911.86,,15.1,,BRMO3,6050,-122.85487,42.05257
74,2018-08-04 02:00:00,911.86,,14.4,,BRMO3,6050,-122.85487,42.05257
75,2018-08-04 03:00:00,911.86,,13.4,,BRMO3,6050,-122.85487,42.05257
76,2018-08-04 04:00:00,911.86,,12.4,,BRMO3,6050,-122.85487,42.05257
77,2018-08-04 05:00:00,911.86,,10.9,,BRMO3,6050,-122.85487,42.05257
78,2018-08-04 06:00:00,911.86,,10.5,,BRMO3,6050,-122.85487,42.05257
79,2018-08-04 07:00:00,911.86,,10.1,,BRMO3,6050,-122.85487,42.05257
80,2018-08-04 08:00:00,911.86,,10.0,,BRMO3,6050,-122.85487,42.05257
81,2018-08-04 09:00:00,909.32,,10.1,,BRMO3,6050,-122.85487,42.05257
82,2018-08-04 10:00:00,911.86,,10.3,,BRMO3,6050,-122.85487,42.05257
83,2018-08-04 11:00:00,909.32,,10.1,,BRMO3,6050,-122.85487,42.05257
84,2018-08-04 12:00:00,909.32,,10.2,,BRMO3,6050,-122.85487,42.05257
85,2018-08-04 13:00:00,909.32,,10.0,,BRMO3,6050,-122.85487,42.05257
86,2018-08-04 14:00:00,909.32,,9.8,,BRMO3,6050,-122.85487,42.05257
87,2018-08-04 15:00:00,909.32,,13.7,,BRMO3,6050,-122.85487,42.05257
88,2018-08-04 16:00:00,909.32,,16.6,,BRMO3,6050,-122.85487,42.05257
