,date_time,air_temp_low_24_hour_set_1,air_temp_high_24_hour_set_1,precip_accum_24_hour_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01,14.44,34.44,0.0,COOPFOBC1,4500,-120.15,41.86
1,2018-08-02,15.0,33.33,0.0,COOPFOBC1,4500,-120.15,41.86
2,2018-08-03,13.89,31.11,0.0,COOPFOBC1,4500,-120.15,41.86
