,altimeter_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,cloud_layer_3_code_set_1,heat_index_set_1d,wind_direction_set_1,sea_level_pressure_set_1d,cloud_layer_1_code_set_1,weather_condition_set_1d,visibility_set_1,pressure_set_1d,metar_set_1,cloud_layer_2_code_set_1,relative_humidity_set_1,wind_speed_set_1,air_temp_set_1,date_time,ceiling_set_1,dew_point_temperature_set_1,dew_point_temperature_set_1d,metar_origin_set_1,weather_cond_code_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,100982.06,S,,,34.37,180.0,100925.13,1.0,"Smoke,Haze",4.0,100124.17,KCIC 010047Z 18007KT 4SM FUHZ SKC 35/14 A2982,,28.48,3.6,35.0,2018-08-01 00:47:00,,14.0,14.15,1.0,487.0,KCIC,236,-121.85795,39.79879
1,100914.33,SSW,,,33.3,200.0,100860.05,1.0,"Smoke,Haze",4.0,100057.01,KCIC 010147Z 20005KT 4SM FUHZ SKC 34/14 A2980,,30.1,2.57,34.0,2018-08-01 01:47:00,,14.0,14.13,1.0,487.0,KCIC,236,-121.85795,39.79879
2,100982.06,NE,,,32.42,50.0,100933.02,1.0,Clear,10.0,100124.17,KCIC 010315Z AUTO 05003KT 10SM CLR 32/17 A2982 RMK AO1,,40.8,1.54,32.0,2018-08-01 03:15:00,,17.0,17.07,1.0,,KCIC,236,-121.85795,39.79879
3,100982.06,E,,,31.61,80.0,100933.03,506.0,Mostly Clear,10.0,100124.17,KCIC 010335Z AUTO 08003KT 10SM FEW050 32/15 A2982 RMK AO1,,35.92,1.54,32.0,2018-08-01 03:35:00,,15.0,15.09,1.0,,KCIC,236,-121.85795,39.79879
4,100982.06,ENE,,,30.33,70.0,100935.7,502.0,Mostly Cloudy,10.0,100124.17,KCIC 010355Z AUTO 07003KT 10SM SCT050 BKN100 31/14 A2982 RMK AO1,1003.0,35.64,1.54,31.0,2018-08-01 03:55:00,3048.0,14.0,14.07,1.0,,KCIC,236,-121.85795,39.79879
5,101015.92,ENE,,,29.44,60.0,100972.23,502.0,Overcast,10.0,100157.74,KCIC 010415Z AUTO 06004KT 10SM SCT050 OVC100 30/14 A2983 RMK AO1,1004.0,37.73,2.06,30.0,2018-08-01 04:15:00,3048.0,14.0,14.06,1.0,,KCIC,236,-121.85795,39.79879
6,101015.92,N,,1004.0,29.44,0.0,100972.23,442.0,Overcast,10.0,100157.74,KCIC 010435Z AUTO 00000KT 10SM SCT044 BKN050 OVC100 30/14 A2983 RMK AO1,503.0,37.73,0.0,30.0,2018-08-01 04:35:00,1524.0,14.0,14.06,1.0,,KCIC,236,-121.85795,39.79879
7,101049.79,N,,,29.72,0.0,101006.08,446.0,Overcast,10.0,100191.32,KCIC 010455Z AUTO 00000KT 10SM FEW044 OVC050 30/15 A2984 RMK AO1,504.0,40.24,0.0,30.0,2018-08-01 04:55:00,1524.0,15.0,15.05,1.0,,KCIC,236,-121.85795,39.79879
8,101083.65,N,,,28.85,0.0,101042.63,504.0,Overcast,10.0,100224.89,KCIC 010515Z AUTO 00000KT 10SM OVC050 29/15 A2985 RMK AO1,,42.63,0.0,29.0,2018-08-01 05:15:00,1524.0,15.0,15.04,1.0,,KCIC,236,-121.85795,39.79879
9,101083.65,SE,,,27.83,140.0,101045.36,604.0,Overcast,10.0,100224.89,KCIC 010535Z AUTO 14003KT 10SM OVC060 28/14 A2985 RMK AO1,,42.34,1.54,28.0,2018-08-01 05:35:00,1828.8,14.0,14.02,1.0,,KCIC,236,-121.85795,39.79879
10,101083.65,E,,,28.6,100.0,101042.63,604.0,Overcast,10.0,100224.89,KCIC 010555Z AUTO 10003KT 10SM OVC060 29/14 A2985 RMK AO1,,39.96,1.54,29.0,2018-08-01 05:55:00,1828.8,14.0,14.04,1.0,,KCIC,236,-121.85795,39.79879
11,101083.65,N,,,27.83,0.0,101045.36,604.0,Overcast,10.0,100224.89,KCIC 010615Z AUTO 00000KT 10SM OVC060 28/14 A2985 RMK AO1,,42.34,0.0,28.0,2018-08-01 06:15:00,1828.8,14.0,14.02,1.0,,KCIC,236,-121.85795,39.79879
12,101083.65,ENE,,,27.83,70.0,101045.36,604.0,Overcast,10.0,100224.89,KCIC 010635Z AUTO 07003KT 10SM OVC060 28/14 A2985 RMK AO1,,42.34,1.54,28.0,2018-08-01 06:35:00,1828.8,14.0,14.02,1.0,,KCIC,236,-121.85795,39.79879
13,101117.52,N,,,27.83,0.0,101079.22,604.0,Overcast,10.0,100258.48,KCIC 010655Z AUTO 00000KT 10SM OVC060 28/14 A2986 RMK AO1,,42.34,0.0,28.0,2018-08-01 06:55:00,1828.8,14.0,14.02,1.0,,KCIC,236,-121.85795,39.79879
14,101117.52,N,,,27.12,0.0,101081.96,604.0,Overcast,10.0,100258.48,KCIC 010715Z AUTO 00000KT 10SM OVC060 27/14 A2986 RMK AO1,,44.89,0.0,27.0,2018-08-01 07:15:00,1828.8,14.0,14.01,1.0,,KCIC,236,-121.85795,39.79879
15,101117.52,N,,,26.97,10.0,101081.97,604.0,Overcast,10.0,100258.48,KCIC 010735Z AUTO 01003KT 10SM OVC060 27/13 A2986 RMK AO1,,42.06,1.54,27.0,2018-08-01 07:35:00,1828.8,13.0,13.01,1.0,,KCIC,236,-121.85795,39.79879
16,101151.38,N,,,26.97,0.0,101115.81,604.0,Overcast,10.0,100292.05,KCIC 010755Z AUTO 00000KT 10SM OVC060 27/13 A2987 RMK AO1,,42.06,0.0,27.0,2018-08-01 07:55:00,1828.8,13.0,13.01,1.0,,KCIC,236,-121.85795,39.79879
17,101117.52,N,,,26.97,0.0,101081.97,604.0,Overcast,10.0,100258.48,KCIC 010815Z AUTO 00000KT 10SM OVC060 27/13 A2986 RMK AO1,,42.06,0.0,27.0,2018-08-01 08:15:00,1828.8,13.0,13.01,1.0,,KCIC,236,-121.85795,39.79879
18,101117.52,N,,,,0.0,101084.73,604.0,Overcast,10.0,100258.48,KCIC 010835Z AUTO 00000KT 10SM OVC060 26/14 A2986 RMK AO1,,47.61,0.0,26.0,2018-08-01 08:35:00,1828.8,14.0,14.0,1.0,,KCIC,236,-121.85795,39.79879
19,101083.65,N,,,26.83,0.0,101048.11,604.0,Overcast,10.0,100224.89,KCIC 010855Z AUTO 00000KT 10SM OVC060 27/12 A2985 RMK AO1,,39.39,0.0,27.0,2018-08-01 08:55:00,1828.8,12.0,12.02,1.0,,KCIC,236,-121.85795,39.79879
20,101117.52,WNW,,654.0,,300.0,101090.31,376.0,Overcast,10.0,100258.48,KCIC 010915Z AUTO 30003KT 10SM FEW037 BKN060 OVC065 24/13 A2986 RMK AO1,603.0,50.25,1.54,24.0,2018-08-01 09:15:00,1828.8,13.0,12.99,1.0,,KCIC,236,-121.85795,39.79879
21,101117.52,N,,604.0,,0.0,101090.31,376.0,Overcast,10.0,100258.48,KCIC 010935Z AUTO 00000KT 10SM FEW037 SCT045 OVC060 24/14 A2986 RMK AO1,452.0,53.62,0.0,24.0,2018-08-01 09:35:00,1828.8,14.0,13.99,1.0,,KCIC,236,-121.85795,39.79879
22,101151.38,N,,,,0.0,101121.36,603.0,Overcast,10.0,100292.05,KCIC 010955Z AUTO 00000KT 10SM BKN060 OVC070 25/13 A2987 RMK AO1,704.0,47.33,0.0,25.0,2018-08-01 09:55:00,1828.8,13.0,12.99,1.0,,KCIC,236,-121.85795,39.79879
