,date_time,volt_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,12.81,0.04,ARCC1,13,-124.05972,40.90972
1,2018-08-01 00:15:00,,0.41,ARCC1,13,-124.05972,40.90972
2,2018-08-01 00:30:00,,0.41,ARCC1,13,-124.05972,40.90972
3,2018-08-01 00:45:00,,0.47,ARCC1,13,-124.05972,40.90972
4,2018-08-01 01:00:00,12.81,0.49,ARCC1,13,-124.05972,40.90972
5,2018-08-01 01:15:00,,0.44,ARCC1,13,-124.05972,40.90972
6,2018-08-01 01:30:00,,0.64,ARCC1,13,-124.05972,40.90972
7,2018-08-01 01:45:00,,0.97,ARCC1,13,-124.05972,40.90972
8,2018-08-01 02:00:00,12.81,0.92,ARCC1,13,-124.05972,40.90972
9,2018-08-01 02:15:00,,0.72,ARCC1,13,-124.05972,40.90972
10,2018-08-01 02:30:00,,0.77,ARCC1,13,-124.05972,40.90972
11,2018-08-01 02:45:00,,0.84,ARCC1,13,-124.05972,40.90972
12,2018-08-01 03:00:00,12.81,0.99,ARCC1,13,-124.05972,40.90972
13,2018-08-01 03:15:00,,1.35,ARCC1,13,-124.05972,40.90972
14,2018-08-01 03:30:00,,1.59,ARCC1,13,-124.05972,40.90972
15,2018-08-01 03:45:00,,1.96,ARCC1,13,-124.05972,40.90972
16,2018-08-01 04:00:00,12.81,2.21,ARCC1,13,-124.05972,40.90972
17,2018-08-01 04:15:00,,2.39,ARCC1,13,-124.05972,40.90972
18,2018-08-01 04:30:00,,2.41,ARCC1,13,-124.05972,40.90972
19,2018-08-01 04:45:00,,2.31,ARCC1,13,-124.05972,40.90972
20,2018-08-01 05:00:00,12.81,2.45,ARCC1,13,-124.05972,40.90972
21,2018-08-01 05:15:00,,2.54,ARCC1,13,-124.05972,40.90972
22,2018-08-01 05:30:00,,2.6,ARCC1,13,-124.05972,40.90972
23,2018-08-01 05:45:00,,2.64,ARCC1,13,-124.05972,40.90972
24,2018-08-01 06:00:00,12.81,2.61,ARCC1,13,-124.05972,40.90972
25,2018-08-01 06:15:00,,2.55,ARCC1,13,-124.05972,40.90972
26,2018-08-01 06:30:00,,2.56,ARCC1,13,-124.05972,40.90972
27,2018-08-01 06:45:00,,2.59,ARCC1,13,-124.05972,40.90972
28,2018-08-01 07:00:00,12.81,2.65,ARCC1,13,-124.05972,40.90972
29,2018-08-01 07:15:00,,2.74,ARCC1,13,-124.05972,40.90972
30,2018-08-01 07:30:00,,2.73,ARCC1,13,-124.05972,40.90972
