,date_time,wind_speed_set_1,wind_cardinal_direction_set_1d,wind_direction_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,2.6,WSW,240.9,AN843,3633,-120.94780,39.93690
1,2018-08-01 01:00:00,2.9,SW,225.3,AN843,3633,-120.94780,39.93690
2,2018-08-01 02:00:00,2.3,WSW,258.5,AN843,3633,-120.94780,39.93690
3,2018-08-01 03:00:00,2.0,SW,227.0,AN843,3633,-120.94780,39.93690
4,2018-08-01 04:00:00,0.8,SSW,201.1,AN843,3633,-120.94780,39.93690
5,2018-08-01 05:00:00,0.8,SW,233.8,AN843,3633,-120.94780,39.93690
6,2018-08-01 06:00:00,0.5,SSW,201.1,AN843,3633,-120.94780,39.93690
7,2018-08-01 07:00:00,0.5,SSW,201.1,AN843,3633,-120.94780,39.93690
8,2018-08-01 08:00:00,0.7,SW,232.3,AN843,3633,-120.94780,39.93690
9,2018-08-01 09:00:00,0.6,WSW,254.5,AN843,3633,-120.94780,39.93690
10,2018-08-02 09:00:00,0.4,ESE,120.0,AN843,3633,-120.94780,39.93690
11,2018-08-02 10:00:00,0.5,ENE,77.4,AN843,3633,-120.94780,39.93690
12,2018-08-02 11:00:00,0.4,ENE,74.1,AN843,3633,-120.94780,39.93690
13,2018-08-02 12:00:00,0.7,ENE,56.5,AN843,3633,-120.94780,39.93690
14,2018-08-02 13:00:00,0.6,ESE,110.8,AN843,3633,-120.94780,39.93690
15,2018-08-02 14:00:00,0.5,E,80.7,AN843,3633,-120.94780,39.93690
16,2018-08-02 15:00:00,0.4,N,9.0,AN843,3633,-120.94780,39.93690
17,2018-08-02 16:00:00,0.6,NE,46.6,AN843,3633,-120.94780,39.93690
18,2018-08-02 17:00:00,0.7,NNE,25.7,AN843,3633,-120.94780,39.93690
19,2018-08-02 20:00:00,1.2,E,80.4,AN843,3633,-120.94780,39.93690
20,2018-08-02 21:00:00,1.3,ENE,62.2,AN843,3633,-120.94780,39.93690
21,2018-08-02 22:00:00,1.4,NE,53.8,AN843,3633,-120.94780,39.93690
22,2018-08-02 23:00:00,2.2,WSW,245.9,AN843,3633,-120.94780,39.93690
23,2018-08-03 02:00:00,2.4,W,278.9,AN843,3633,-120.94780,39.93690
24,2018-08-03 04:00:00,0.8,ESE,118.0,AN843,3633,-120.94780,39.93690
25,2018-08-03 05:00:00,0.8,ESE,118.0,AN843,3633,-120.94780,39.93690
26,2018-08-03 06:00:00,0.7,SW,235.4,AN843,3633,-120.94780,39.93690
27,2018-08-03 08:00:00,0.5,ESE,109.9,AN843,3633,-120.94780,39.93690
28,2018-08-03 09:00:00,0.4,ESE,123.3,AN843,3633,-120.94780,39.93690
29,2018-08-03 11:00:00,0.5,E,88.4,AN843,3633,-120.94780,39.93690
30,2018-08-03 12:00:00,0.5,SE,144.2,AN843,3633,-120.94780,39.93690
31,2018-08-03 13:00:00,0.4,NNW,334.1,AN843,3633,-120.94780,39.93690
32,2018-08-03 14:00:00,0.5,ENE,68.1,AN843,3633,-120.94780,39.93690
33,2018-08-03 15:00:00,0.5,E,98.2,AN843,3633,-120.94780,39.93690
34,2018-08-03 16:00:00,0.5,ENE,65.9,AN843,3633,-120.94780,39.93690
35,2018-08-03 17:00:00,0.6,NNW,348.6,AN843,3633,-120.94780,39.93690
36,2018-08-03 18:00:00,0.8,NE,45.5,AN843,3633,-120.94780,39.93690
37,2018-08-03 19:00:00,1.0,ENE,59.6,AN843,3633,-120.94780,39.93690
38,2018-08-03 20:00:00,1.2,ENE,67.3,AN843,3633,-120.94780,39.93690
39,2018-08-03 21:00:00,1.4,ENE,66.2,AN843,3633,-120.94780,39.93690
40,2018-08-03 22:00:00,2.1,SSW,208.8,AN843,3633,-120.94780,39.93690
41,2018-08-03 23:00:00,2.6,WSW,246.2,AN843,3633,-120.94780,39.93690
42,2018-08-04 00:00:00,3.3,WSW,236.9,AN843,3633,-120.94780,39.93690
43,2018-08-04 02:00:00,2.8,WSW,237.6,AN843,3633,-120.94780,39.93690
