,altimeter_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,cloud_layer_3_code_set_1,sea_level_pressure_set_1,ceiling_set_1,sea_level_pressure_set_1d,cloud_layer_1_code_set_1,weather_condition_set_1d,air_temp_low_6_hour_set_1,air_temp_high_24_hour_set_1,precip_accum_one_hour_set_1,pressure_set_1d,pressure_tendency_set_1,metar_set_1,cloud_layer_2_code_set_1,relative_humidity_set_1,wind_speed_set_1,precip_accum_24_hour_set_1,precip_accum_three_hour_set_1,air_temp_set_1,air_temp_high_6_hour_set_1,date_time,dew_point_temperature_set_1d,visibility_set_1,dew_point_temperature_set_1,air_temp_low_24_hour_set_1,precip_accum_six_hour_set_1,metar_origin_set_1,weather_cond_code_set_1,wind_direction_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
23,101760.93,NW,,,,,101749.5,1.0,Clear,,,,100084.23,,METAR KBOK 010210Z AUTO 31007KT 10SM CLR 16/13 A3005,,82.4,3.6,,,16.0,,2018-08-01 02:10:00,12.98,10.0,,,,,,310.0,KBOK,459,-124.29000,42.07444
24,101760.93,WNW,,,,,101749.5,1.0,Clear,,,,100084.23,,METAR KBOK 010215Z AUTO 30006KT 10SM CLR 16/13 A3005,,82.4,3.09,,,16.0,,2018-08-01 02:15:00,12.98,10.0,,,,,,300.0,KBOK,459,-124.29000,42.07444
25,101760.93,WNW,,,,,101749.5,1.0,Clear,,,,100084.23,,METAR KBOK 010220Z AUTO 29005KT 10SM CLR 16/13 A3005,,82.4,2.57,,,16.0,,2018-08-01 02:20:00,12.98,10.0,,,,,,290.0,KBOK,459,-124.29000,42.07444
26,101760.93,W,,,,,101749.5,1.0,Clear,,,,100084.23,,METAR KBOK 010225Z AUTO 28004KT 10SM CLR 16/13 A3005,,82.4,2.06,,,16.0,,2018-08-01 02:25:00,12.98,10.0,,,,,,280.0,KBOK,459,-124.29000,42.07444
27,101760.93,NW,,,,,101749.5,1.0,Clear,,,,100084.23,,METAR KBOK 010230Z AUTO 31003KT 10SM CLR 16/13 A3005,,82.4,1.54,,,16.0,,2018-08-01 02:30:00,12.98,10.0,,,,,,310.0,KBOK,459,-124.29000,42.07444
28,101760.93,SW,,,,,101749.5,1.0,Clear,,,,100084.23,,METAR KBOK 010235Z AUTO 23003KT 10SM CLR 16/13 A3005,,82.4,1.54,,,16.0,,2018-08-01 02:35:00,12.98,10.0,,,,,,230.0,KBOK,459,-124.29000,42.07444
29,101760.93,N,,,,,101749.5,142.0,Partly Cloudy,,,,100084.23,,METAR KBOK 010240Z AUTO 00000KT 10SM SCT014 16/13 A3005,,82.4,0.0,,,16.0,,2018-08-01 02:40:00,12.98,10.0,,,,,,0.0,KBOK,459,-124.29000,42.07444
30,101760.93,SSE,,,,304.8,101749.5,103.0,Mostly Cloudy,,,,100084.23,,METAR KBOK 010250Z AUTO 16006KT 10SM BKN010 BKN014 16/13 A3005,143.0,82.4,3.09,,,16.0,,2018-08-01 02:50:00,12.98,10.0,,,,,,160.0,KBOK,459,-124.29000,42.07444
31,101760.93,SSE,,,,304.8,101749.5,103.0,Mostly Cloudy,,,,100084.23,,METAR KBOK 010255Z AUTO 15006KT 10SM BKN010 BKN014 16/13 A3005,143.0,82.4,3.09,,,16.0,,2018-08-01 02:55:00,12.98,10.0,,,,,,150.0,KBOK,459,-124.29000,42.07444
32,101760.93,SSE,,,101890.0,304.8,101751.82,103.0,Mostly Cloudy,,,,100084.23,5003.0,KBOK 010256Z AUTO 15006KT 10SM BKN010 BKN014 16/13 A3005 RMK AO2  SLP189 T01560128 55003,143.0,83.43,3.09,,,15.6,,2018-08-01 02:56:00,12.78,10.0,12.8,,,1.0,,150.0,KBOK,459,-124.29000,42.07444
33,101760.93,SSE,,,,304.8,101749.5,103.0,Overcast,,,,100084.23,,METAR KBOK 010300Z AUTO 15006KT 10SM BKN010 OVC014 16/13 A3005,144.0,82.4,3.09,,,16.0,,2018-08-01 03:00:00,12.98,10.0,,,,,,150.0,KBOK,459,-124.29000,42.07444
34,101760.93,SE,,,,304.8,101755.31,104.0,Overcast,,,,100084.23,,METAR KBOK 010310Z AUTO 14006KT 10SM OVC010 15/13 A3005,,87.85,3.09,,,15.0,,2018-08-01 03:10:00,12.98,10.0,,,,,,140.0,KBOK,459,-124.29000,42.07444
35,101760.93,SE,,,,304.8,101761.17,104.0,Overcast,,,,100084.23,,METAR KBOK 010315Z AUTO 13004KT 10SM OVC010 14/13 A3005,,93.7,2.06,,,14.0,,2018-08-01 03:15:00,12.99,10.0,,,,,,130.0,KBOK,459,-124.29000,42.07444
36,101760.93,SE,,,,304.8,101761.17,104.0,Overcast,,,,100084.23,,METAR KBOK 010320Z AUTO 14004KT 10SM OVC010 14/13 A3005,,93.7,2.06,,,14.0,,2018-08-01 03:20:00,12.99,10.0,,,,,,140.0,KBOK,459,-124.29000,42.07444
