,date_time,altimeter_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,pressure_set_1d,dew_point_temperature_set_1d,precip_accum_one_hour_set_1,precip_accum_set_1,heat_index_set_1d,wind_direction_set_1,wind_speed_set_1,relative_humidity_set_1,solar_radiation_set_1,sea_level_pressure_set_1d,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,101760.93,SW,5.3,83132.72,-2.0,0.0,0.0,29.48,224.0,2.54,11.0,582.0,99922.04,31.94,TVYC1,5486,-120.47889,39.97889
1,2018-08-01 01:00:00,101693.2,WSW,4.76,83077.39,-1.44,0.0,0.0,28.96,246.0,2.67,12.0,429.0,99901.18,31.17,TVYC1,5486,-120.47889,39.97889
2,2018-08-01 02:00:00,101760.93,W,3.9,83132.72,0.52,,0.0,28.01,276.0,1.85,15.0,240.0,100047.75,29.83,TVYC1,5486,-120.47889,39.97889
3,2018-08-01 03:00:00,101760.93,SW,2.82,83132.72,-0.59,,0.0,26.6,229.0,0.86,16.0,56.0,100195.67,27.39,TVYC1,5486,-120.47889,39.97889
4,2018-08-01 04:00:00,101794.79,WNW,0.79,83160.38,0.52,,0.0,,299.0,0.32,25.0,3.0,100602.62,21.41,TVYC1,5486,-120.47889,39.97889
5,2018-08-01 05:00:00,101862.52,NNW,1.08,83215.72,1.08,0.0,0.0,,331.0,0.39,30.0,0.0,100815.78,19.14,TVYC1,5486,-120.47889,39.97889
6,2018-08-01 06:00:00,101896.38,NW,1.39,83243.38,2.18,,0.0,,316.0,0.49,34.0,0.0,100897.45,18.4,TVYC1,5486,-120.47889,39.97889
7,2018-08-01 07:00:00,101862.52,NW,1.45,83215.72,2.8,0.0,0.0,,323.0,0.29,41.0,0.0,101012.75,16.14,TVYC1,5486,-120.47889,39.97889
8,2018-08-01 08:00:00,101862.52,NW,0.9,83215.72,2.34,,0.0,,316.0,0.32,46.0,0.0,101166.2,13.85,TVYC1,5486,-120.47889,39.97889
9,2018-08-01 09:00:00,101862.52,NW,1.13,83215.72,1.7,0.0,0.0,,314.0,0.27,54.0,0.0,101380.25,10.72,TVYC1,5486,-120.47889,39.97889
