,date_time,wind_cardinal_direction_set_1d,dew_point_temperature_set_1d,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,SW,13.55,33.87,215.38,27.81,1.7,34.73,CQ030,1289,-121.61722,39.70861
1,2018-08-01 01:00:00,SW,14.0,33.86,225.44,28.9,1.48,34.57,CQ030,1289,-121.61722,39.70861
2,2018-08-01 02:00:00,SW,15.66,33.65,217.37,33.69,1.13,33.77,CQ030,1289,-121.61722,39.70861
3,2018-08-01 03:00:00,SSW,16.56,31.7,193.15,40.59,1.5,31.52,CQ030,1289,-121.61722,39.70861
4,2018-08-01 04:00:00,SE,15.22,30.43,142.74,38.99,1.52,30.73,CQ030,1289,-121.61722,39.70861
5,2018-08-01 05:00:00,ENE,15.59,30.05,70.63,41.24,1.18,30.18,CQ030,1289,-121.61722,39.70861
6,2018-08-01 06:00:00,E,15.53,29.62,85.47,42.19,0.91,29.72,CQ030,1289,-121.61722,39.70861
7,2018-08-01 07:00:00,ESE,14.59,29.23,120.71,40.01,1.13,29.59,CQ030,1289,-121.61722,39.70861
8,2018-08-01 08:00:00,NNE,13.28,28.1,27.37,39.02,2.37,28.56,CQ030,1289,-121.61722,39.70861
9,2018-08-01 09:00:00,NNE,10.01,27.92,21.27,30.59,2.56,29.02,CQ030,1289,-121.61722,39.70861
10,2018-08-01 10:00:00,ENE,8.36,27.61,72.9,27.66,1.03,28.83,CQ030,1289,-121.61722,39.70861
11,2018-08-01 11:00:00,NW,8.27,26.98,325.08,29.05,0.13,27.9,CQ030,1289,-121.61722,39.70861
12,2018-08-01 12:00:00,W,10.47,,259.83,38.11,0.22,25.84,CQ030,1289,-121.61722,39.70861
13,2018-08-01 13:00:00,W,11.84,,272.18,47.68,0.94,23.62,CQ030,1289,-121.61722,39.70861
14,2018-08-01 14:00:00,SW,12.41,,233.39,49.36,0.25,23.67,CQ030,1289,-121.61722,39.70861
15,2018-08-01 15:00:00,WSW,12.7,,242.96,48.54,0.15,24.26,CQ030,1289,-121.61722,39.70861
16,2018-08-01 16:00:00,SSW,12.86,,213.52,46.4,0.57,25.19,CQ030,1289,-121.61722,39.70861
