,road_subsurface_tmp_set_1,date_time,wind_cardinal_direction_set_1d,road_temp_set_1,wind_gust_set_1,dew_point_temperature_set_1d,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,32.0,2018-08-01 00:11:00,NW,41.6,6.94,5.42,31.43,323.0,17.0,6.39,33.7,CTHRN,2280,-122.5678,41.9103
1,32.0,2018-08-01 00:26:00,NW,41.8,7.5,4.4,31.18,323.0,16.0,5.0,33.5,CTHRN,2280,-122.5678,41.9103
2,32.1,2018-08-01 00:41:00,NW,40.6,6.94,4.23,31.0,323.0,16.0,4.17,33.3,CTHRN,2280,-122.5678,41.9103
3,32.1,2018-08-01 00:56:00,NW,39.9,6.94,5.01,30.95,309.0,17.0,4.44,33.2,CTHRN,2280,-122.5678,41.9103
4,32.3,2018-08-01 01:26:00,NNW,37.5,5.83,4.6,30.48,327.0,17.0,3.61,32.7,CTHRN,2280,-122.5678,41.9103
5,32.3,2018-08-01 01:41:00,N,38.1,5.0,3.91,30.63,350.0,16.0,4.17,32.9,CTHRN,2280,-122.5678,41.9103
6,32.4,2018-08-01 01:56:00,NNW,37.0,4.72,3.83,30.53,341.0,16.0,4.72,32.8,CTHRN,2280,-122.5678,41.9103
7,32.5,2018-08-01 02:11:00,NNW,35.9,6.39,4.44,30.3,331.0,17.0,3.33,32.5,CTHRN,2280,-122.5678,41.9103
8,32.5,2018-08-01 02:26:00,NW,35.1,6.67,4.03,29.85,318.0,17.0,2.5,32.0,CTHRN,2280,-122.5678,41.9103
9,32.6,2018-08-01 02:41:00,NW,34.3,4.17,3.62,29.41,315.0,17.0,2.78,31.5,CTHRN,2280,-122.5678,41.9103
10,32.6,2018-08-01 02:56:00,NW,33.4,4.17,3.29,29.07,320.0,17.0,2.78,31.1,CTHRN,2280,-122.5678,41.9103
11,32.7,2018-08-01 03:11:00,NW,32.7,3.89,3.76,28.76,311.0,18.0,2.5,30.7,CTHRN,2280,-122.5678,41.9103
12,32.8,2018-08-01 03:26:00,W,31.9,2.78,4.11,28.37,276.0,19.0,1.94,30.2,CTHRN,2280,-122.5678,41.9103
13,32.8,2018-08-01 03:42:00,NW,31.3,3.06,4.42,28.0,319.0,20.0,1.94,29.7,CTHRN,2280,-122.5678,41.9103
14,32.9,2018-08-01 03:56:00,NW,30.7,3.33,4.78,27.72,312.0,21.0,3.33,29.3,CTHRN,2280,-122.5678,41.9103
15,32.9,2018-08-01 04:11:00,NW,30.0,4.17,4.85,27.22,305.0,22.0,2.5,28.6,CTHRN,2280,-122.5678,41.9103
16,33.0,2018-08-01 04:26:00,NW,29.7,3.33,5.23,27.04,324.0,23.0,1.94,28.3,CTHRN,2280,-122.5678,41.9103
17,33.0,2018-08-01 04:41:00,WNW,29.4,3.06,5.06,26.89,283.0,23.0,2.78,28.1,CTHRN,2280,-122.5678,41.9103
18,33.0,2018-08-01 04:56:00,WNW,29.3,3.61,5.5,26.79,301.0,24.0,1.67,27.9,CTHRN,2280,-122.5678,41.9103
19,33.1,2018-08-01 05:11:00,W,29.1,3.06,5.33,26.65,276.0,24.0,1.94,27.7,CTHRN,2280,-122.5678,41.9103
20,33.1,2018-08-01 05:26:00,WNW,28.5,3.89,5.41,26.72,299.0,24.0,3.06,27.8,CTHRN,2280,-122.5678,41.9103
21,33.2,2018-08-01 05:42:00,NW,27.5,3.89,5.45,,324.0,26.0,1.94,26.5,CTHRN,2280,-122.5678,41.9103
22,33.2,2018-08-01 06:11:00,NNW,27.3,3.06,5.65,,346.0,28.0,2.22,25.5,CTHRN,2280,-122.5678,41.9103
