,date_time,precip_accum_set_1,air_temp_set_1,snow_depth_set_1,snow_water_equiv_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,746.76,26.2,3581.4,,CDRC1,7030,-120.30250,41.58233
1,2018-08-01 01:00:00,749.3,25.4,3581.4,,CDRC1,7030,-120.30250,41.58233
2,2018-08-01 02:00:00,749.3,23.8,3581.4,,CDRC1,7030,-120.30250,41.58233
3,2018-08-01 03:00:00,751.84,21.2,3581.4,,CDRC1,7030,-120.30250,41.58233
4,2018-08-01 04:00:00,751.84,19.1,3581.4,,CDRC1,7030,-120.30250,41.58233
5,2018-08-01 05:00:00,754.38,18.3,,,CDRC1,7030,-120.30250,41.58233
6,2018-08-01 06:00:00,754.38,18.3,,,CDRC1,7030,-120.30250,41.58233
7,2018-08-01 07:00:00,754.38,17.3,,,CDRC1,7030,-120.30250,41.58233
8,2018-08-01 08:00:00,754.38,17.3,,,CDRC1,7030,-120.30250,41.58233
9,2018-08-01 09:00:00,754.38,15.6,,,CDRC1,7030,-120.30250,41.58233
10,2018-08-01 10:00:00,754.38,16.2,,,CDRC1,7030,-120.30250,41.58233
11,2018-08-01 11:00:00,754.38,16.1,,,CDRC1,7030,-120.30250,41.58233
12,2018-08-01 12:00:00,754.38,16.1,3530.6,,CDRC1,7030,-120.30250,41.58233
13,2018-08-01 13:00:00,756.92,16.0,,,CDRC1,7030,-120.30250,41.58233
14,2018-08-01 14:00:00,754.38,15.8,,,CDRC1,7030,-120.30250,41.58233
15,2018-08-01 15:00:00,754.38,17.0,3556.0,,CDRC1,7030,-120.30250,41.58233
16,2018-08-01 16:00:00,754.38,19.5,3581.4,,CDRC1,7030,-120.30250,41.58233
17,2018-08-01 17:00:00,754.38,21.3,3581.4,,CDRC1,7030,-120.30250,41.58233
18,2018-08-01 18:00:00,751.84,22.5,,,CDRC1,7030,-120.30250,41.58233
19,2018-08-01 19:00:00,749.3,24.4,3606.8,,CDRC1,7030,-120.30250,41.58233
20,2018-08-01 20:00:00,746.76,24.6,3581.4,,CDRC1,7030,-120.30250,41.58233
21,2018-08-01 21:00:00,746.76,25.8,3581.4,,CDRC1,7030,-120.30250,41.58233
22,2018-08-01 22:00:00,746.76,27.0,3581.4,,CDRC1,7030,-120.30250,41.58233
23,2018-08-01 23:00:00,746.76,26.5,3581.4,,CDRC1,7030,-120.30250,41.58233
24,2018-08-02 00:00:00,746.76,25.2,3581.4,,CDRC1,7030,-120.30250,41.58233
