,date_time,T_water_temp_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,13.11,34.0,RDBC1,229,-122.20167,40.15333
1,2018-08-01 01:00:00,13.06,32.33,RDBC1,229,-122.20167,40.15333
2,2018-08-01 02:00:00,12.94,30.0,RDBC1,229,-122.20167,40.15333
3,2018-08-01 03:00:00,12.89,28.28,RDBC1,229,-122.20167,40.15333
4,2018-08-01 04:00:00,12.89,26.06,RDBC1,229,-122.20167,40.15333
5,2018-08-01 05:00:00,12.89,23.78,RDBC1,229,-122.20167,40.15333
6,2018-08-01 06:00:00,12.94,23.17,RDBC1,229,-122.20167,40.15333
7,2018-08-01 07:00:00,13.0,22.61,RDBC1,229,-122.20167,40.15333
8,2018-08-01 08:00:00,13.06,21.61,RDBC1,229,-122.20167,40.15333
9,2018-08-01 09:00:00,13.11,21.56,RDBC1,229,-122.20167,40.15333
10,2018-08-01 10:00:00,13.11,21.56,RDBC1,229,-122.20167,40.15333
11,2018-08-01 11:00:00,13.06,20.83,RDBC1,229,-122.20167,40.15333
12,2018-08-01 12:00:00,12.94,20.5,RDBC1,229,-122.20167,40.15333
13,2018-08-01 13:00:00,12.83,19.39,RDBC1,229,-122.20167,40.15333
14,2018-08-01 14:00:00,12.72,19.61,RDBC1,229,-122.20167,40.15333
15,2018-08-01 15:00:00,12.61,22.17,RDBC1,229,-122.20167,40.15333
16,2018-08-01 16:00:00,12.61,25.56,RDBC1,229,-122.20167,40.15333
17,2018-08-01 17:00:00,12.61,28.39,RDBC1,229,-122.20167,40.15333
18,2018-08-01 18:00:00,12.72,29.89,RDBC1,229,-122.20167,40.15333
19,2018-08-01 19:00:00,12.78,31.61,RDBC1,229,-122.20167,40.15333
20,2018-08-01 20:00:00,12.89,32.33,RDBC1,229,-122.20167,40.15333
21,2018-08-01 21:00:00,13.06,33.56,RDBC1,229,-122.20167,40.15333
22,2018-08-01 22:00:00,13.22,33.61,RDBC1,229,-122.20167,40.15333
23,2018-08-01 23:00:00,13.28,34.5,RDBC1,229,-122.20167,40.15333
24,2018-08-02 00:00:00,13.33,33.5,RDBC1,229,-122.20167,40.15333
25,2018-08-02 01:00:00,13.33,31.94,RDBC1,229,-122.20167,40.15333
26,2018-08-02 02:00:00,13.28,30.39,RDBC1,229,-122.20167,40.15333
27,2018-08-02 03:00:00,13.17,28.22,RDBC1,229,-122.20167,40.15333
28,2018-08-02 04:00:00,13.17,26.67,RDBC1,229,-122.20167,40.15333
29,2018-08-02 05:00:00,13.17,24.72,RDBC1,229,-122.20167,40.15333
30,2018-08-02 06:00:00,13.22,22.78,RDBC1,229,-122.20167,40.15333
31,2018-08-02 07:00:00,13.39,21.72,RDBC1,229,-122.20167,40.15333
32,2018-08-02 08:00:00,13.56,20.94,RDBC1,229,-122.20167,40.15333
