,date_time,T_water_temp_set_1,wave_height_set_1,primary_swell_wave_period_set_1,wave_period_set_1,primary_swell_wave_height_set_1,primary_swell_true_direction_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 02:00:00,11.71,1.7,12.0,6.0,0.5,240.0,46263,,-123.90000,39.40000
1,2018-08-01 02:30:00,11.71,1.6,17.0,6.0,0.5,250.0,46263,,-123.90000,39.40000
2,2018-08-01 05:00:00,11.91,1.8,13.0,6.0,0.5,260.0,46263,,-123.90000,39.40000
3,2018-08-01 05:30:00,11.81,1.8,,7.0,,,46263,,-123.90000,39.40000
4,2018-08-01 06:00:00,11.71,1.8,15.0,7.0,0.5,270.0,46263,,-123.90000,39.40000
5,2018-08-01 06:30:00,11.71,1.8,11.0,7.0,0.5,290.0,46263,,-123.90000,39.40000
6,2018-08-01 09:00:00,11.41,1.5,,6.0,,,46263,,-123.90000,39.40000
7,2018-08-01 09:30:00,11.41,1.5,,6.0,,,46263,,-123.90000,39.40000
8,2018-08-01 10:00:00,11.51,1.4,17.0,6.0,0.5,210.0,46263,,-123.90000,39.40000
9,2018-08-01 10:30:00,11.51,1.4,,6.0,,,46263,,-123.90000,39.40000
10,2018-08-01 13:00:00,11.11,1.6,11.0,6.0,0.5,280.0,46263,,-123.90000,39.40000
11,2018-08-01 13:30:00,11.11,1.5,17.0,6.0,0.5,220.0,46263,,-123.90000,39.40000
12,2018-08-01 14:00:00,11.01,1.4,11.0,6.0,0.5,280.0,46263,,-123.90000,39.40000
13,2018-08-01 14:30:00,11.21,1.4,,6.0,,,46263,,-123.90000,39.40000
14,2018-08-01 17:00:00,11.91,1.4,,6.0,,,46263,,-123.90000,39.40000
15,2018-08-01 17:30:00,12.11,1.4,,6.0,,,46263,,-123.90000,39.40000
16,2018-08-01 18:00:00,12.41,1.3,,6.0,,,46263,,-123.90000,39.40000
17,2018-08-01 18:30:00,12.41,1.3,,6.0,,,46263,,-123.90000,39.40000
18,2018-08-01 21:00:00,11.71,1.4,,6.0,,,46263,,-123.90000,39.40000
19,2018-08-01 21:30:00,11.41,1.4,12.0,6.0,0.5,240.0,46263,,-123.90000,39.40000
20,2018-08-01 22:00:00,11.11,1.4,,6.0,,,46263,,-123.90000,39.40000
21,2018-08-01 22:30:00,11.01,1.4,,6.0,,,46263,,-123.90000,39.40000
22,2018-08-02 01:00:00,10.91,1.4,,6.0,,,46263,,-123.90000,39.40000
23,2018-08-02 01:30:00,11.21,1.4,,5.0,,,46263,,-123.90000,39.40000
24,2018-08-02 02:00:00,11.11,1.4,,6.0,,,46263,,-123.90000,39.40000
25,2018-08-02 02:30:00,11.21,1.5,,6.0,,,46263,,-123.90000,39.40000
26,2018-08-02 05:00:00,11.71,1.7,,7.0,,,46263,,-123.90000,39.40000
27,2018-08-02 05:30:00,11.71,1.8,11.0,6.0,0.5,290.0,46263,,-123.90000,39.40000
28,2018-08-02 06:00:00,11.71,1.8,11.0,7.0,0.5,290.0,46263,,-123.90000,39.40000
29,2018-08-02 06:30:00,11.71,1.7,15.0,7.0,0.5,190.0,46263,,-123.90000,39.40000
30,2018-08-02 09:00:00,11.61,1.4,15.0,6.0,0.5,200.0,46263,,-123.90000,39.40000
31,2018-08-02 09:30:00,11.51,1.4,,6.0,,,46263,,-123.90000,39.40000
32,2018-08-02 10:00:00,11.51,1.4,11.0,6.0,0.5,300.0,46263,,-123.90000,39.40000
33,2018-08-02 10:30:00,11.41,1.4,11.0,6.0,0.5,300.0,46263,,-123.90000,39.40000
34,2018-08-02 13:00:00,11.31,1.4,11.0,7.0,0.5,300.0,46263,,-123.90000,39.40000
35,2018-08-02 13:30:00,11.41,1.4,11.0,6.0,0.5,310.0,46263,,-123.90000,39.40000
36,2018-08-02 14:00:00,11.31,1.4,11.0,6.0,0.5,290.0,46263,,-123.90000,39.40000
37,2018-08-02 14:30:00,11.41,1.4,15.0,6.0,0.5,190.0,46263,,-123.90000,39.40000
38,2018-08-02 17:00:00,11.71,1.4,11.0,7.0,0.5,310.0,46263,,-123.90000,39.40000
39,2018-08-02 17:30:00,11.91,1.4,11.0,7.0,0.5,310.0,46263,,-123.90000,39.40000
40,2018-08-02 18:00:00,11.81,1.6,11.0,6.0,0.5,300.0,46263,,-123.90000,39.40000
41,2018-08-02 18:30:00,11.81,1.5,11.0,7.0,0.5,280.0,46263,,-123.90000,39.40000
42,2018-08-02 21:00:00,11.51,1.7,13.0,7.0,0.5,300.0,46263,,-123.90000,39.40000
43,2018-08-02 21:30:00,11.61,1.7,15.0,7.0,0.5,220.0,46263,,-123.90000,39.40000
44,2018-08-02 22:00:00,11.61,1.9,15.0,6.0,0.5,230.0,46263,,-123.90000,39.40000
45,2018-08-02 22:30:00,11.61,1.7,11.0,6.0,0.5,260.0,46263,,-123.90000,39.40000
46,2018-08-03 01:00:00,11.31,2.1,11.0,7.0,0.5,300.0,46263,,-123.90000,39.40000
47,2018-08-03 01:30:00,11.51,2.2,13.0,7.0,0.5,300.0,46263,,-123.90000,39.40000
48,2018-08-03 02:00:00,11.51,2.1,13.0,7.0,0.5,300.0,46263,,-123.90000,39.40000
49,2018-08-03 02:30:00,11.51,2.3,13.0,8.0,0.5,300.0,46263,,-123.90000,39.40000
50,2018-08-03 05:00:00,11.51,2.2,13.0,7.0,0.5,310.0,46263,,-123.90000,39.40000
51,2018-08-03 05:30:00,11.41,2.2,12.0,7.0,0.5,290.0,46263,,-123.90000,39.40000
52,2018-08-03 06:00:00,11.41,2.3,13.0,7.0,0.5,310.0,46263,,-123.90000,39.40000
53,2018-08-03 06:30:00,11.31,2.2,13.0,7.0,0.5,320.0,46263,,-123.90000,39.40000
54,2018-08-03 09:00:00,11.21,2.2,13.0,7.0,0.5,310.0,46263,,-123.90000,39.40000
55,2018-08-03 09:30:00,11.21,2.1,13.0,7.0,0.5,310.0,46263,,-123.90000,39.40000
56,2018-08-03 10:00:00,11.21,2.1,13.0,8.0,0.5,300.0,46263,,-123.90000,39.40000
57,2018-08-03 10:30:00,11.11,2.2,12.0,7.0,0.5,310.0,46263,,-123.90000,39.40000
58,2018-08-03 13:00:00,10.81,2.1,11.0,7.0,0.5,310.0,46263,,-123.90000,39.40000
59,2018-08-03 13:30:00,10.81,2.1,13.0,7.0,0.5,310.0,46263,,-123.90000,39.40000
