,date_time,wind_speed_set_1,wind_cardinal_direction_set_1d,wind_direction_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,4.5,W,278.2,AN845,5984,-120.17030,39.33860
1,2018-08-01 01:00:00,4.79,W,270.1,AN845,5984,-120.17030,39.33860
2,2018-08-01 02:00:00,4.6,W,260.0,AN845,5984,-120.17030,39.33860
3,2018-08-01 03:00:00,4.2,W,268.8,AN845,5984,-120.17030,39.33860
4,2018-08-01 04:00:00,3.3,W,280.7,AN845,5984,-120.17030,39.33860
5,2018-08-01 05:00:00,1.7,W,272.3,AN845,5984,-120.17030,39.33860
6,2018-08-01 06:00:00,2.7,WSW,254.7,AN845,5984,-120.17030,39.33860
7,2018-08-01 07:00:00,2.7,WSW,254.7,AN845,5984,-120.17030,39.33860
8,2018-08-01 08:00:00,2.8,WSW,256.5,AN845,5984,-120.17030,39.33860
9,2018-08-01 09:00:00,3.1,WSW,256.0,AN845,5984,-120.17030,39.33860
10,2018-08-02 09:00:00,2.8,W,270.3,AN845,5984,-120.17030,39.33860
11,2018-08-02 10:00:00,2.2,W,274.5,AN845,5984,-120.17030,39.33860
12,2018-08-02 11:00:00,2.0,W,273.6,AN845,5984,-120.17030,39.33860
13,2018-08-02 12:00:00,1.5,W,273.0,AN845,5984,-120.17030,39.33860
14,2018-08-02 13:00:00,1.0,NW,313.2,AN845,5984,-120.17030,39.33860
15,2018-08-02 14:00:00,0.5,NW,313.0,AN845,5984,-120.17030,39.33860
16,2018-08-02 15:00:00,0.8,WSW,257.1,AN845,5984,-120.17030,39.33860
17,2018-08-02 16:00:00,0.8,SW,235.8,AN845,5984,-120.17030,39.33860
18,2018-08-02 17:00:00,1.2,E,100.0,AN845,5984,-120.17030,39.33860
19,2018-08-02 20:00:00,5.2,WNW,284.2,AN845,5984,-120.17030,39.33860
20,2018-08-02 21:00:00,5.2,W,262.2,AN845,5984,-120.17030,39.33860
21,2018-08-02 22:00:00,5.2,W,268.8,AN845,5984,-120.17030,39.33860
22,2018-08-02 23:00:00,6.1,WNW,281.3,AN845,5984,-120.17030,39.33860
23,2018-08-03 02:00:00,5.9,W,264.0,AN845,5984,-120.17030,39.33860
24,2018-08-03 03:00:00,5.49,W,273.8,AN845,5984,-120.17030,39.33860
25,2018-08-03 04:00:00,2.5,WSW,247.7,AN845,5984,-120.17030,39.33860
26,2018-08-03 05:00:00,2.5,WSW,247.7,AN845,5984,-120.17030,39.33860
27,2018-08-03 06:00:00,2.6,W,261.5,AN845,5984,-120.17030,39.33860
28,2018-08-03 07:00:00,2.9,WSW,258.5,AN845,5984,-120.17030,39.33860
29,2018-08-03 08:00:00,2.8,W,266.2,AN845,5984,-120.17030,39.33860
30,2018-08-03 09:00:00,3.2,W,265.3,AN845,5984,-120.17030,39.33860
31,2018-08-03 11:00:00,2.3,W,267.0,AN845,5984,-120.17030,39.33860
32,2018-08-03 12:00:00,2.2,W,267.5,AN845,5984,-120.17030,39.33860
33,2018-08-03 13:00:00,1.1,NW,314.9,AN845,5984,-120.17030,39.33860
34,2018-08-03 14:00:00,0.8,WNW,287.0,AN845,5984,-120.17030,39.33860
35,2018-08-03 15:00:00,0.7,NE,56.0,AN845,5984,-120.17030,39.33860
36,2018-08-03 16:00:00,1.5,SSW,211.2,AN845,5984,-120.17030,39.33860
37,2018-08-03 17:00:00,1.4,ESE,102.6,AN845,5984,-120.17030,39.33860
38,2018-08-03 18:00:00,1.5,E,97.4,AN845,5984,-120.17030,39.33860
39,2018-08-03 19:00:00,2.8,SW,213.8,AN845,5984,-120.17030,39.33860
40,2018-08-03 20:00:00,5.6,W,279.3,AN845,5984,-120.17030,39.33860
41,2018-08-03 21:00:00,7.09,W,272.3,AN845,5984,-120.17030,39.33860
42,2018-08-03 22:00:00,5.69,WSW,240.4,AN845,5984,-120.17030,39.33860
