,date_time,air_temp_low_24_hour_set_1,air_temp_high_24_hour_set_1,snow_depth_set_1,snow_accume_24_hour_set_1,precip_accum_24_hour_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 18:00:00,10.0,30.0,0.0,0.0,0.0,23.89,COOPMNZC1,5750,-121.58,40.54
1,2018-08-02 18:00:00,8.33,28.33,0.0,0.0,0.0,26.11,COOPMNZC1,5750,-121.58,40.54
2,2018-08-03 15:00:00,7.78,28.33,0.0,0.0,0.0,10.56,COOPMNZC1,5750,-121.58,40.54
3,2018-08-04 17:00:00,6.11,27.22,0.0,0.0,0.0,18.33,COOPMNZC1,5750,-121.58,40.54
4,2018-08-05 15:00:00,9.44,23.89,0.0,0.0,0.0,10.56,COOPMNZC1,5750,-121.58,40.54
5,2018-08-06 16:00:00,6.11,22.78,0.0,0.0,0.0,12.78,COOPMNZC1,5750,-121.58,40.54
6,2018-08-07 16:00:00,12.78,28.33,0.0,0.0,0.0,17.78,COOPMNZC1,5750,-121.58,40.54
7,2018-08-08 16:00:00,10.56,30.56,0.0,0.0,0.0,19.44,COOPMNZC1,5750,-121.58,40.54
8,2018-08-10 16:00:00,9.44,30.0,0.0,0.0,0.0,16.11,COOPMNZC1,5750,-121.58,40.54
9,2018-08-11 15:00:00,10.0,30.56,0.0,0.0,0.0,12.78,COOPMNZC1,5750,-121.58,40.54
10,2018-08-12 15:00:00,8.33,27.78,0.0,0.0,0.0,11.11,COOPMNZC1,5750,-121.58,40.54
11,2018-08-16 18:00:00,8.89,28.33,0.0,0.0,0.0,23.89,COOPMNZC1,5750,-121.58,40.54
12,2018-08-17 14:00:00,7.22,26.67,0.0,0.0,0.0,10.56,COOPMNZC1,5750,-121.58,40.54
13,2018-08-17 15:00:00,7.22,26.67,0.0,0.0,0.0,10.56,COOPMNZC1,5750,-121.58,40.54
14,2018-08-18 15:00:00,5.56,27.78,0.0,0.0,0.0,12.78,COOPMNZC1,5750,-121.58,40.54
