,altimeter_set_1,wind_cardinal_direction_set_1d,cloud_layer_3_code_set_1,heat_index_set_1d,sea_level_pressure_set_1,sea_level_pressure_set_1d,cloud_layer_1_code_set_1,weather_condition_set_1d,air_temp_low_6_hour_set_1,air_temp_high_24_hour_set_1,precip_accum_one_hour_set_1,visibility_set_1,pressure_set_1d,pressure_tendency_set_1,metar_set_1,cloud_layer_2_code_set_1,relative_humidity_set_1,wind_speed_set_1,air_temp_set_1,air_temp_high_6_hour_set_1,date_time,dew_point_temperature_set_1d,ceiling_set_1,dew_point_temperature_set_1,air_temp_low_24_hour_set_1,precip_accum_six_hour_set_1,metar_origin_set_1,weather_cond_code_set_1,wind_direction_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
16,101896.38,N,,,,101718.23,394.0,Haze,,,,1.25,89513.13,,KMHS 011343Z AUTO 00000KT 1 1/4SM HZ OVC039 12/08 A3009 RMK AO2  T01170083,,79.65,0.0,11.7,,2018-08-01 13:43:00,8.26,1188.72,8.3,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
17,101896.38,N,,,101780.0,101718.23,404.0,Haze,,,,1.0,89513.13,,KMHS 011356Z AUTO 00000KT 1SM HZ OVC040 12/08 A3009 RMK AO2 SLP178  T01170083,,79.65,0.0,11.7,,2018-08-01 13:56:00,8.26,1219.2,8.3,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
18,101896.38,N,,,101760.0,101544.76,384.0,Haze,,,,1.5,89513.13,3005.0,KMHS 011456Z AUTO 00000KT 1 1/2SM HZ OVC038 16/11 A3009 RMK AO2  SLP176 T01560106 53005,,72.16,0.0,15.6,,2018-08-01 14:56:00,10.56,1158.24,10.6,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
19,101930.25,N,,,,101461.21,384.0,Haze,,,,2.0,89542.88,,KMHS 011524Z AUTO 00000KT 2SM HZ OVC038 18/12 A3010 RMK AO2  T01830122,,67.61,0.0,18.3,,2018-08-01 15:24:00,12.17,1158.24,12.2,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
20,101930.25,NNW,,,101740.0,101342.13,346.0,Haze,,,,2.5,89542.88,,KMHS 011556Z AUTO 34003KT 2 1/2SM HZ FEW034 OVC042 21/11 A3010 RMK AO2 SLP174 T02110111,424.0,52.86,1.54,21.1,,2018-08-01 15:56:00,11.07,1280.16,11.1,,,1.0,6.0,340.0,KMHS,3540,-122.31702,41.31494
21,101930.25,,,,,101316.97,404.0,Haze,,,,3.0,89542.88,,KMHS 011605Z AUTO VRB03KT 3SM HZ OVC040 22/10 A3010 RMK AO2  T02170100,,47.36,1.54,21.7,,2018-08-01 16:05:00,9.97,1219.2,10.0,,,1.0,6.0,,KMHS,3540,-122.31702,41.31494
22,101862.52,,,,101680.0,101137.54,413.0,Haze,,,,3.0,89483.38,,KMHS 011656Z AUTO VRB03KT 3SM HZ BKN041 24/10 A3008 RMK AO2 SLP168  T02440100,,40.23,1.54,24.4,,2018-08-01 16:56:00,9.99,1249.68,10.0,,,1.0,6.0,,KMHS,3540,-122.31702,41.31494
23,101862.52,,,26.28,101690.0,101043.76,402.0,Haze,11.7,,,4.0,89483.38,8003.0,KMHS 011756Z AUTO VRB03KT 4SM HZ SCT040 27/09 A3008 RMK AO2 SLP169  T02670089 10272 20117 58003,,32.61,1.54,26.7,27.2,2018-08-01 17:56:00,8.92,,8.9,,,1.0,6.0,,KMHS,3540,-122.31702,41.31494
24,101828.66,N,,28.55,101640.0,100901.78,422.0,Haze,,,,3.0,89453.64,,KMHS 011856Z AUTO 00000KT 3SM HZ SCT042 29/12 A3007 RMK AO2 SLP164  T02940122,,34.72,0.0,29.4,,2018-08-01 18:56:00,12.25,,12.2,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
25,101828.66,,,29.98,101620.0,100834.68,393.0,Haze,,,,3.0,89453.64,,KMHS 011956Z AUTO 3SM HZ BKN039 31/12 A3007 RMK AO2 SLP162  T03110122,,31.51,,31.1,,2018-08-01 19:56:00,12.28,1188.72,12.2,,,1.0,6.0,,KMHS,3540,-122.31702,41.31494
