,date_time,wind_speed_set_1,wind_cardinal_direction_set_1d,dew_point_temperature_set_1d,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,solar_radiation_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,2.4,WSW,12.1,29.09,249.0,33.0,534.0,30.1,CQ158,5876,-121.5764,40.5352
1,2018-08-01 01:00:00,2.3,WSW,11.4,27.95,244.0,34.0,394.0,28.8,CQ158,5876,-121.5764,40.5352
2,2018-08-01 02:00:00,1.6,WSW,11.6,26.44,238.0,39.0,191.0,26.7,CQ158,5876,-121.5764,40.5352
3,2018-08-01 03:00:00,0.7,WSW,12.4,,242.0,52.0,42.0,22.8,CQ158,5876,-121.5764,40.5352
4,2018-08-01 04:00:00,0.6,WNW,11.38,,293.0,63.0,6.0,18.6,CQ158,5876,-121.5764,40.5352
5,2018-08-01 05:00:00,0.6,WNW,8.43,,300.0,61.0,1.0,16.0,CQ158,5876,-121.5764,40.5352
6,2018-08-01 06:00:00,0.6,WNW,2.38,,297.0,46.0,1.0,13.9,CQ158,5876,-121.5764,40.5352
7,2018-08-01 07:00:00,0.6,SE,1.86,,126.0,47.0,1.0,13.0,CQ158,5876,-121.5764,40.5352
8,2018-08-01 08:00:00,0.7,ESE,1.8,,119.0,49.0,1.0,12.3,CQ158,5876,-121.5764,40.5352
9,2018-08-01 09:00:00,0.7,ESE,1.81,,119.0,50.0,1.0,12.0,CQ158,5876,-121.5764,40.5352
10,2018-08-01 10:00:00,0.8,ESE,2.18,,109.0,52.0,1.0,11.8,CQ158,5876,-121.5764,40.5352
11,2018-08-01 11:00:00,0.7,ESE,2.32,,108.0,55.0,1.0,11.1,CQ158,5876,-121.5764,40.5352
12,2018-08-01 12:00:00,0.7,E,2.04,,91.0,55.0,1.0,10.8,CQ158,5876,-121.5764,40.5352
13,2018-08-01 13:00:00,0.7,E,1.88,,86.0,57.0,1.0,10.1,CQ158,5876,-121.5764,40.5352
14,2018-08-01 14:00:00,0.7,ESE,2.61,,113.0,60.0,14.0,10.1,CQ158,5876,-121.5764,40.5352
15,2018-08-01 15:00:00,0.6,ESE,5.4,,116.0,70.0,35.0,10.7,CQ158,5876,-121.5764,40.5352
16,2018-08-01 16:00:00,0.5,E,9.85,,92.0,65.0,350.0,16.5,CQ158,5876,-121.5764,40.5352
17,2018-08-01 17:00:00,1.5,W,11.35,,268.0,43.0,567.0,24.8,CQ158,5876,-121.5764,40.5352
18,2018-08-01 18:00:00,2.2,W,13.17,27.12,261.0,42.0,715.0,27.2,CQ158,5876,-121.5764,40.5352
19,2018-08-01 19:00:00,2.6,WSW,14.05,28.61,242.0,40.0,810.0,29.0,CQ158,5876,-121.5764,40.5352
20,2018-08-01 20:00:00,2.8,WSW,13.54,28.73,247.0,38.0,864.0,29.3,CQ158,5876,-121.5764,40.5352
21,2018-08-01 21:00:00,3.1,WSW,13.42,29.37,251.0,36.0,887.0,30.1,CQ158,5876,-121.5764,40.5352
22,2018-08-01 22:00:00,3.1,WSW,13.84,29.47,248.0,37.0,831.0,30.1,CQ158,5876,-121.5764,40.5352
23,2018-08-01 23:00:00,3.0,WSW,13.25,29.16,246.0,36.0,740.0,29.9,CQ158,5876,-121.5764,40.5352
24,2018-08-02 00:00:00,2.8,WSW,12.46,28.67,237.0,35.0,602.0,29.5,CQ158,5876,-121.5764,40.5352
25,2018-08-02 01:00:00,2.4,WSW,10.25,27.24,243.0,33.0,423.0,28.0,CQ158,5876,-121.5764,40.5352
26,2018-08-02 02:00:00,1.8,WSW,10.0,,241.0,37.0,240.0,25.8,CQ158,5876,-121.5764,40.5352
27,2018-08-02 03:00:00,0.8,WSW,11.59,,237.0,49.0,74.0,22.9,CQ158,5876,-121.5764,40.5352
28,2018-08-02 04:00:00,0.6,SE,10.18,,134.0,62.0,4.0,17.6,CQ158,5876,-121.5764,40.5352
29,2018-08-02 05:00:00,0.6,ESE,8.52,,106.0,68.0,1.0,14.4,CQ158,5876,-121.5764,40.5352
30,2018-08-02 06:00:00,0.7,ESE,4.54,,102.0,59.0,1.0,12.4,CQ158,5876,-121.5764,40.5352
31,2018-08-02 07:00:00,0.7,E,1.35,,89.0,51.0,1.0,11.2,CQ158,5876,-121.5764,40.5352
32,2018-08-02 08:00:00,0.6,E,0.97,,87.0,52.0,1.0,10.5,CQ158,5876,-121.5764,40.5352
33,2018-08-02 09:00:00,0.6,E,0.94,,87.0,57.0,1.0,9.1,CQ158,5876,-121.5764,40.5352
