,date_time,T_water_temp_set_1,precip_accum_set_1,volt_set_1,precip_accum_one_hour_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,22.11,1081.024,13.12,0.0,HOOC1,333,-123.67250,41.05000
1,2018-08-01 00:15:00,22.22,1081.024,,,HOOC1,333,-123.67250,41.05000
2,2018-08-01 00:30:00,22.22,1081.024,,,HOOC1,333,-123.67250,41.05000
3,2018-08-01 00:45:00,22.22,1081.024,,,HOOC1,333,-123.67250,41.05000
4,2018-08-01 01:00:00,22.22,1081.024,13.12,0.0,HOOC1,333,-123.67250,41.05000
5,2018-08-01 01:15:00,22.22,1081.024,,,HOOC1,333,-123.67250,41.05000
6,2018-08-01 01:30:00,22.22,1081.024,,,HOOC1,333,-123.67250,41.05000
7,2018-08-01 01:45:00,22.22,1081.024,,,HOOC1,333,-123.67250,41.05000
8,2018-08-01 02:00:00,22.22,1081.024,13.12,0.0,HOOC1,333,-123.67250,41.05000
9,2018-08-01 02:15:00,22.22,1081.024,,,HOOC1,333,-123.67250,41.05000
10,2018-08-01 02:30:00,22.22,1081.024,,,HOOC1,333,-123.67250,41.05000
11,2018-08-01 02:45:00,22.11,1081.024,,,HOOC1,333,-123.67250,41.05000
12,2018-08-01 03:00:00,22.11,1081.024,13.12,0.0,HOOC1,333,-123.67250,41.05000
13,2018-08-01 03:15:00,22.11,1081.024,,,HOOC1,333,-123.67250,41.05000
14,2018-08-01 03:30:00,22.11,1081.024,,,HOOC1,333,-123.67250,41.05000
15,2018-08-01 03:45:00,22.0,1081.024,,,HOOC1,333,-123.67250,41.05000
16,2018-08-01 04:00:00,22.0,1081.024,12.81,0.0,HOOC1,333,-123.67250,41.05000
17,2018-08-01 04:15:00,22.0,1081.024,,,HOOC1,333,-123.67250,41.05000
18,2018-08-01 04:30:00,22.0,1081.024,,,HOOC1,333,-123.67250,41.05000
19,2018-08-01 04:45:00,21.89,1081.024,,,HOOC1,333,-123.67250,41.05000
20,2018-08-01 05:00:00,21.89,1081.024,12.81,0.0,HOOC1,333,-123.67250,41.05000
21,2018-08-01 05:15:00,21.89,1081.024,,,HOOC1,333,-123.67250,41.05000
22,2018-08-01 05:30:00,21.89,1081.024,,,HOOC1,333,-123.67250,41.05000
23,2018-08-01 05:45:00,21.89,1081.024,,,HOOC1,333,-123.67250,41.05000
24,2018-08-01 06:00:00,21.78,1081.024,12.81,0.0,HOOC1,333,-123.67250,41.05000
25,2018-08-01 06:15:00,21.78,1081.024,,,HOOC1,333,-123.67250,41.05000
26,2018-08-01 06:30:00,21.78,1081.024,,,HOOC1,333,-123.67250,41.05000
27,2018-08-01 06:45:00,21.78,1081.024,,,HOOC1,333,-123.67250,41.05000
28,2018-08-01 07:00:00,21.78,1081.024,12.49,0.0,HOOC1,333,-123.67250,41.05000
29,2018-08-01 07:15:00,21.78,1081.024,,,HOOC1,333,-123.67250,41.05000
30,2018-08-01 07:30:00,21.78,1081.024,,,HOOC1,333,-123.67250,41.05000
31,2018-08-01 07:45:00,21.78,1081.024,,,HOOC1,333,-123.67250,41.05000
32,2018-08-01 08:00:00,21.78,1081.024,12.49,0.0,HOOC1,333,-123.67250,41.05000
33,2018-08-01 08:15:00,21.78,1081.024,,,HOOC1,333,-123.67250,41.05000
34,2018-08-01 08:30:00,21.78,1081.024,,,HOOC1,333,-123.67250,41.05000
35,2018-08-01 08:45:00,21.78,1081.024,,,HOOC1,333,-123.67250,41.05000
36,2018-08-01 09:00:00,21.78,1081.024,12.49,0.0,HOOC1,333,-123.67250,41.05000
37,2018-08-01 09:15:00,21.78,1081.024,,,HOOC1,333,-123.67250,41.05000
38,2018-08-01 09:30:00,21.72,1081.024,,,HOOC1,333,-123.67250,41.05000
39,2018-08-01 09:45:00,21.72,1081.024,,,HOOC1,333,-123.67250,41.05000
40,2018-08-01 10:00:00,21.72,1081.024,12.49,,HOOC1,333,-123.67250,41.05000
41,2018-08-01 10:15:00,21.72,1081.024,,,HOOC1,333,-123.67250,41.05000
42,2018-08-01 10:30:00,21.72,1081.024,,,HOOC1,333,-123.67250,41.05000
43,2018-08-01 10:45:00,21.72,1081.024,,,HOOC1,333,-123.67250,41.05000
