,date_time,wind_speed_set_1,wind_cardinal_direction_set_1d,dew_point_temperature_set_1d,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,solar_radiation_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,3.47,SSW,15.72,36.76,211.69,28.84,342.6,36.58,OVECA,184,-121.63000,39.51000
1,2018-08-01 01:00:00,2.67,SW,14.45,35.09,217.16,28.12,206.1,35.57,OVECA,184,-121.63000,39.51000
2,2018-08-01 02:00:00,2.57,SSW,16.57,35.14,199.04,33.76,112.1,34.76,OVECA,184,-121.63000,39.51000
3,2018-08-01 03:00:00,1.91,SE,18.23,33.38,143.82,43.05,30.2,32.34,OVECA,184,-121.63000,39.51000
4,2018-08-01 04:00:00,0.75,SE,17.64,31.41,130.89,45.46,0.8,30.75,OVECA,184,-121.63000,39.51000
5,2018-08-01 05:00:00,1.8,E,17.37,29.53,99.13,49.67,0.0,28.93,OVECA,184,-121.63000,39.51000
6,2018-08-01 06:00:00,2.24,E,15.95,29.02,100.45,45.49,0.0,28.89,OVECA,184,-121.63000,39.51000
7,2018-08-01 07:00:00,2.18,ESE,15.79,27.72,103.88,49.23,0.0,27.37,OVECA,184,-121.63000,39.51000
8,2018-08-01 08:00:00,0.57,ESE,15.7,,104.48,53.13,0.0,25.99,OVECA,184,-121.63000,39.51000
9,2018-08-01 09:00:00,0.0,,16.06,,,53.21,0.0,26.35,OVECA,184,-121.63000,39.51000
10,2018-08-01 10:00:00,1.08,WNW,15.6,,285.66,62.58,0.0,23.16,OVECA,184,-121.63000,39.51000
11,2018-08-01 11:00:00,1.89,E,15.51,,96.46,62.01,0.0,23.22,OVECA,184,-121.63000,39.51000
12,2018-08-01 12:00:00,2.05,SE,13.64,,133.23,55.87,0.0,22.95,OVECA,184,-121.63000,39.51000
13,2018-08-01 13:00:00,1.77,SSE,13.21,,148.62,57.19,0.0,22.11,OVECA,184,-121.63000,39.51000
14,2018-08-01 14:00:00,1.09,SE,12.51,,129.32,54.14,14.6,22.26,OVECA,184,-121.63000,39.51000
15,2018-08-01 15:00:00,1.53,S,10.98,,181.14,46.84,93.4,22.98,OVECA,184,-121.63000,39.51000
16,2018-08-01 16:00:00,1.75,S,11.34,,183.37,44.63,216.6,24.17,OVECA,184,-121.63000,39.51000
17,2018-08-01 17:00:00,1.87,SSW,12.19,,199.87,41.85,343.5,26.18,OVECA,184,-121.63000,39.51000
18,2018-08-01 18:00:00,0.86,W,12.46,27.69,264.51,37.75,459.5,28.21,OVECA,184,-121.63000,39.51000
19,2018-08-01 19:00:00,2.58,WSW,12.46,29.58,240.36,32.84,538.9,30.59,OVECA,184,-121.63000,39.51000
20,2018-08-01 20:00:00,2.9,WSW,13.91,30.83,252.63,34.1,597.8,31.58,OVECA,184,-121.63000,39.51000
21,2018-08-01 21:00:00,3.0,SW,14.91,32.77,234.02,33.12,610.1,33.22,OVECA,184,-121.63000,39.51000
22,2018-08-01 22:00:00,1.32,SSW,13.24,33.39,206.76,27.82,570.6,34.36,OVECA,184,-121.63000,39.51000
23,2018-08-01 23:00:00,1.99,S,13.31,34.07,185.34,26.97,511.1,34.99,OVECA,184,-121.63000,39.51000
24,2018-08-02 00:00:00,4.38,S,11.92,34.16,170.66,23.94,372.8,35.47,OVECA,184,-121.63000,39.51000
25,2018-08-02 01:00:00,4.72,S,14.29,32.45,180.65,31.98,205.0,33.12,OVECA,184,-121.63000,39.51000
26,2018-08-02 02:00:00,2.95,S,16.39,32.45,169.74,38.33,102.0,32.33,OVECA,184,-121.63000,39.51000
27,2018-08-02 03:00:00,2.42,SE,15.61,30.36,128.85,40.49,27.8,30.51,OVECA,184,-121.63000,39.51000
28,2018-08-02 04:00:00,2.34,ENE,16.15,28.67,73.35,47.38,0.7,28.41,OVECA,184,-121.63000,39.51000
