,date_time,wind_cardinal_direction_set_1d,dew_point_temperature_set_1d,precip_accum_one_hour_set_1,precip_accum_set_1,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,WNW,10.51,0.0,1211.326,30.81,298.0,26.0,0.95,32.38,MCUC1,2690,-122.07111,41.13000
1,2018-08-01 00:15:00,WNW,11.91,,1211.326,30.83,289.0,29.0,0.88,32.11,MCUC1,2690,-122.07111,41.13000
2,2018-08-01 00:30:00,NW,11.62,,1211.326,31.02,310.0,28.0,0.01,32.38,MCUC1,2690,-122.07111,41.13000
3,2018-08-01 00:45:00,,12.0,,1211.326,30.94,,29.0,0.0,32.21,MCUC1,2690,-122.07111,41.13000
4,2018-08-01 01:00:00,NW,11.68,0.0,1211.326,30.53,306.0,29.0,3.43,31.84,MCUC1,2690,-122.07111,41.13000
5,2018-08-01 01:15:00,NW,11.91,,1211.326,30.28,321.0,30.0,2.84,31.52,MCUC1,2690,-122.07111,41.13000
6,2018-08-01 01:30:00,NW,11.83,,1211.326,30.19,305.0,30.0,1.91,31.43,MCUC1,2690,-122.07111,41.13000
7,2018-08-01 01:45:00,NW,11.62,,1211.326,29.93,315.0,30.0,3.14,31.19,MCUC1,2690,-122.07111,41.13000
8,2018-08-01 02:00:00,NW,11.92,0.0,1211.326,29.8,316.0,31.0,3.19,30.97,MCUC1,2690,-122.07111,41.13000
9,2018-08-01 02:15:00,NW,11.22,,1211.326,29.46,311.0,30.0,2.77,30.73,MCUC1,2690,-122.07111,41.13000
10,2018-08-01 02:30:00,NW,11.04,,1211.326,29.26,310.0,30.0,2.94,30.53,MCUC1,2690,-122.07111,41.13000
11,2018-08-01 02:45:00,NW,11.09,,1211.326,28.85,311.0,31.0,1.33,30.02,MCUC1,2690,-122.07111,41.13000
12,2018-08-01 03:00:00,WNW,12.89,0.0,1211.326,28.04,291.0,38.0,1.4,28.58,MCUC1,2690,-122.07111,41.13000
13,2018-08-01 03:15:00,WNW,12.95,,1211.326,27.48,302.0,40.0,1.68,27.78,MCUC1,2690,-122.07111,41.13000
14,2018-08-01 03:30:00,,13.01,,1211.326,26.98,,42.0,0.0,27.02,MCUC1,2690,-122.07111,41.13000
15,2018-08-01 03:45:00,,13.34,,1211.326,,,45.0,0.0,26.22,MCUC1,2690,-122.07111,41.13000
16,2018-08-01 04:00:00,WSW,14.42,0.0,1211.326,,248.0,52.0,1.52,24.98,MCUC1,2690,-122.07111,41.13000
17,2018-08-01 04:15:00,WSW,14.04,,1211.326,,241.0,52.0,0.15,24.57,MCUC1,2690,-122.07111,41.13000
18,2018-08-01 04:30:00,,14.15,,1211.326,,,53.0,0.0,24.37,MCUC1,2690,-122.07111,41.13000
19,2018-08-01 04:45:00,WSW,14.74,,1211.326,,237.0,58.0,1.55,23.51,MCUC1,2690,-122.07111,41.13000
20,2018-08-01 05:00:00,WSW,14.32,0.0,1211.326,,239.0,57.0,0.22,23.35,MCUC1,2690,-122.07111,41.13000
21,2018-08-01 05:15:00,WSW,14.81,,1211.326,,237.0,62.0,1.35,22.48,MCUC1,2690,-122.07111,41.13000
22,2018-08-01 05:30:00,N,14.36,,1211.326,,355.0,61.0,1.33,22.27,MCUC1,2690,-122.07111,41.13000
23,2018-08-01 05:45:00,WSW,14.45,,1211.326,,246.0,63.0,2.28,21.84,MCUC1,2690,-122.07111,41.13000
24,2018-08-01 06:00:00,WSW,14.47,0.0,1211.326,,249.0,63.0,0.82,21.86,MCUC1,2690,-122.07111,41.13000
25,2018-08-01 06:15:00,WSW,14.89,,1211.326,,257.0,67.0,0.96,21.29,MCUC1,2690,-122.07111,41.13000
26,2018-08-01 06:30:00,WSW,14.81,,1211.326,,255.0,68.0,2.54,20.97,MCUC1,2690,-122.07111,41.13000
27,2018-08-01 06:45:00,W,14.53,,1211.326,,270.0,68.0,1.67,20.68,MCUC1,2690,-122.07111,41.13000
28,2018-08-01 07:00:00,W,14.81,0.0,1211.326,,273.0,70.0,1.39,20.5,MCUC1,2690,-122.07111,41.13000
29,2018-08-01 07:15:00,W,14.86,,1211.326,,264.0,72.0,0.6,20.09,MCUC1,2690,-122.07111,41.13000
30,2018-08-01 07:30:00,WSW,14.65,,1211.326,,254.0,73.0,0.78,19.65,MCUC1,2690,-122.07111,41.13000
31,2018-08-01 07:45:00,W,14.9,,1211.326,,265.0,75.0,1.89,19.48,MCUC1,2690,-122.07111,41.13000
32,2018-08-01 08:00:00,NNW,14.99,0.0,1211.326,,348.0,77.0,0.11,19.14,MCUC1,2690,-122.07111,41.13000
33,2018-08-01 08:15:00,WSW,14.67,,1211.326,,253.0,76.0,2.15,19.02,MCUC1,2690,-122.07111,41.13000
34,2018-08-01 08:30:00,WSW,14.96,,1211.326,,253.0,79.0,0.66,18.7,MCUC1,2690,-122.07111,41.13000
35,2018-08-01 08:45:00,WSW,14.79,,1211.326,,241.0,79.0,1.41,18.53,MCUC1,2690,-122.07111,41.13000
36,2018-08-01 09:00:00,WSW,14.94,0.0,1211.326,,254.0,81.0,0.79,18.28,MCUC1,2690,-122.07111,41.13000
37,2018-08-01 09:15:00,WSW,14.87,,1211.326,,249.0,82.0,2.35,18.01,MCUC1,2690,-122.07111,41.13000
38,2018-08-01 09:30:00,W,14.59,,1211.326,,265.0,82.0,1.78,17.73,MCUC1,2690,-122.07111,41.13000
