,date_time,volt_set_1,dew_point_temperature_set_1d,pressure_set_1,altimeter_set_1d,heat_index_set_1d,relative_humidity_set_1,sea_level_pressure_set_1d,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,13.8,13.46,97833.0,102550.94,32.97,29.0,102213.11,33.89,RBW,1297,-122.6050,39.3710
1,2018-08-01 01:00:00,13.4,12.49,97799.0,102515.3,31.6,29.0,102193.78,32.78,RBW,1297,-122.6050,39.3710
2,2018-08-01 02:00:00,13.0,13.02,97765.0,102479.66,30.67,32.0,102174.52,31.67,RBW,1297,-122.6050,39.3710
3,2018-08-01 03:00:00,12.9,13.06,97765.0,102479.66,27.89,39.0,102224.25,28.33,RBW,1297,-122.6050,39.3710
4,2018-08-01 04:00:00,12.9,12.04,97799.0,102515.3,,46.0,102319.21,24.44,RBW,1297,-122.6050,39.3710
5,2018-08-01 05:00:00,12.9,12.38,97901.0,102622.21,,52.0,102451.76,22.78,RBW,1297,-122.6050,39.3710
6,2018-08-01 06:00:00,12.9,10.36,97901.0,102622.21,,44.0,102443.21,23.33,RBW,1297,-122.6050,39.3710
7,2018-08-01 07:00:00,12.8,8.09,97901.0,102622.21,,33.0,102408.72,25.56,RBW,1297,-122.6050,39.3710
8,2018-08-01 08:00:00,12.8,7.88,97934.0,102656.81,,36.0,102469.06,23.89,RBW,1297,-122.6050,39.3710
9,2018-08-01 09:00:00,12.8,7.79,97934.0,102656.81,,37.0,102477.79,23.33,RBW,1297,-122.6050,39.3710
10,2018-08-01 10:00:00,12.8,7.94,97901.0,102622.21,,40.0,102460.64,22.22,RBW,1297,-122.6050,39.3710
11,2018-08-01 11:00:00,12.8,8.5,97934.0,102656.81,,43.0,102503.83,21.67,RBW,1297,-122.6050,39.3710
12,2018-08-01 12:00:00,12.7,8.48,97968.0,102692.45,,51.0,102583.75,18.89,RBW,1297,-122.6050,39.3710
13,2018-08-01 13:00:00,12.7,8.49,97968.0,102692.45,,46.0,102557.02,20.56,RBW,1297,-122.6050,39.3710
14,2018-08-01 14:00:00,12.7,8.99,98002.0,102728.09,,46.0,102583.86,21.11,RBW,1297,-122.6050,39.3710
15,2018-08-01 15:00:00,13.2,9.56,98002.0,102728.09,,39.0,102531.64,24.44,RBW,1297,-122.6050,39.3710
16,2018-08-01 16:00:00,13.5,11.82,98036.0,102763.73,,41.0,102541.42,26.11,RBW,1297,-122.6050,39.3710
17,2018-08-01 17:00:00,14.3,10.57,98036.0,102763.73,27.9,32.0,102499.23,28.89,RBW,1297,-122.6050,39.3710
18,2018-08-01 18:00:00,14.3,11.05,98036.0,102763.73,28.38,32.0,102490.96,29.44,RBW,1297,-122.6050,39.3710
19,2018-08-01 19:00:00,14.2,13.02,98002.0,102728.09,30.67,32.0,102422.21,31.67,RBW,1297,-122.6050,39.3710
20,2018-08-01 20:00:00,14.2,11.89,97968.0,102692.45,31.99,27.0,102362.34,33.33,RBW,1297,-122.6050,39.3710
21,2018-08-01 21:00:00,14.2,12.85,97901.0,102622.21,33.36,27.0,102276.19,34.44,RBW,1297,-122.6050,39.3710
