,date_time,altimeter_set_1,wind_gust_set_1,pressure_set_1d,wind_chill_set_1d,dew_point_temperature_set_1d,heat_index_set_1d,relative_humidity_set_1,wind_speed_set_1,sea_level_pressure_set_1d,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,102336.62,3.9,79520.74,,-0.47,27.09,15.0,1.97,100075.4,28.61,JDPC1,6812,-120.28889,40.03611
1,2018-08-01 01:00:00,102302.75,4.38,79494.42,,-0.97,26.65,15.0,2.0,100087.88,28.0,JDPC1,6812,-120.28889,40.03611
2,2018-08-01 02:00:00,102336.62,3.4,79520.74,,0.43,25.86,18.0,2.0,100221.04,26.67,JDPC1,6812,-120.28889,40.03611
3,2018-08-01 03:00:00,102336.62,3.2,79520.74,,0.74,,21.0,1.48,100386.44,24.5,JDPC1,6812,-120.28889,40.03611
4,2018-08-01 04:00:00,102370.48,1.95,79547.05,,0.32,,25.0,1.04,100678.81,21.17,JDPC1,6812,-120.28889,40.03611
5,2018-08-01 05:00:00,102438.21,3.3,79599.68,,1.38,,27.0,1.31,100745.35,21.17,JDPC1,6812,-120.28889,40.03611
6,2018-08-01 06:00:00,102438.21,2.27,79599.68,,0.51,,26.0,1.01,100777.78,20.76,JDPC1,6812,-120.28889,40.03611
7,2018-08-01 07:00:00,102438.21,1.36,79599.68,,-3.09,,21.0,0.51,100843.03,19.94,JDPC1,6812,-120.28889,40.03611
8,2018-08-01 08:00:00,102404.34,1.28,79573.36,,-6.71,,16.0,0.75,100814.63,19.88,JDPC1,6812,-120.28889,40.03611
9,2018-08-01 09:00:00,102438.21,38.35,79599.68,-7.81,13.93,,,8.51,102648.96,-0.99,JDPC1,6812,-120.28889,40.03611
10,2018-08-01 10:00:00,102404.34,0.66,79573.36,,-11.49,,11.0,0.31,100820.36,19.81,JDPC1,6812,-120.28889,40.03611
11,2018-08-01 11:00:00,102370.48,0.9,79547.05,,-12.89,,10.0,0.38,100810.17,19.52,JDPC1,6812,-120.28889,40.03611
12,2018-08-01 12:00:00,102336.62,0.24,79520.74,,-11.71,,11.0,0.04,100775.2,19.54,JDPC1,6812,-120.28889,40.03611
13,2018-08-01 13:00:00,102336.62,0.27,79520.74,,-9.51,,14.0,0.04,100855.95,18.53,JDPC1,6812,-120.28889,40.03611
14,2018-08-01 14:00:00,102370.48,0.29,79547.05,,-7.48,,17.0,0.04,100932.72,17.99,JDPC1,6812,-120.28889,40.03611
15,2018-08-01 15:00:00,102370.48,0.97,79547.05,,-3.7,,21.0,0.16,100833.78,19.22,JDPC1,6812,-120.28889,40.03611
16,2018-08-01 16:00:00,102404.34,1.96,79573.36,,-1.36,,21.0,0.42,100647.01,22.0,JDPC1,6812,-120.28889,40.03611
17,2018-08-01 17:00:00,102404.34,3.11,79573.36,,-6.25,,13.0,1.24,100508.75,23.78,JDPC1,6812,-120.28889,40.03611
18,2018-08-01 18:00:00,102404.34,2.97,79573.36,,-4.31,,14.0,1.37,100414.78,25.0,JDPC1,6812,-120.28889,40.03611
19,2018-08-01 19:00:00,102404.34,3.34,79573.36,,-2.85,,15.0,1.8,100363.5,25.67,JDPC1,6812,-120.28889,40.03611
20,2018-08-01 20:00:00,102370.48,3.38,79547.05,,-3.77,25.97,13.0,1.93,100237.8,26.89,JDPC1,6812,-120.28889,40.03611
21,2018-08-01 21:00:00,102370.48,4.39,79547.05,,-2.21,26.36,14.0,2.12,100183.48,27.61,JDPC1,6812,-120.28889,40.03611
22,2018-08-01 22:00:00,102336.62,4.14,79520.74,,-1.1,26.53,15.0,2.4,100133.77,27.83,JDPC1,6812,-120.28889,40.03611
23,2018-08-01 23:00:00,102302.75,4.87,79494.42,,-0.09,26.66,16.0,2.28,100087.82,28.0,JDPC1,6812,-120.28889,40.03611
24,2018-08-02 00:00:00,102268.89,3.83,79468.11,,-0.41,26.39,16.0,2.39,100083.95,27.61,JDPC1,6812,-120.28889,40.03611
25,2018-08-02 01:00:00,102268.89,4.02,79468.11,,0.65,26.16,18.0,2.17,100134.3,26.94,JDPC1,6812,-120.28889,40.03611
26,2018-08-02 02:00:00,102268.89,3.48,79468.11,,0.2,,19.0,2.44,100243.53,25.5,JDPC1,6812,-120.28889,40.03611
27,2018-08-02 03:00:00,102268.89,2.97,79468.11,,-0.58,,20.0,1.52,100380.15,23.72,JDPC1,6812,-120.28889,40.03611
28,2018-08-02 04:00:00,102268.89,2.43,79468.11,,-1.77,,22.0,1.38,100611.34,20.76,JDPC1,6812,-120.28889,40.03611
29,2018-08-02 05:00:00,102302.75,2.5,79494.42,,-1.97,,23.0,1.18,100719.15,19.82,JDPC1,6812,-120.28889,40.03611
30,2018-08-02 06:00:00,102302.75,2.04,79494.42,,-4.27,,20.0,0.61,100759.91,19.31,JDPC1,6812,-120.28889,40.03611
31,2018-08-02 07:00:00,102302.75,1.93,79494.42,,-6.8,,17.0,0.74,100799.21,18.82,JDPC1,6812,-120.28889,40.03611
32,2018-08-02 08:00:00,102268.89,2.35,79468.11,,-11.91,,11.0,0.96,100729.24,19.28,JDPC1,6812,-120.28889,40.03611
33,2018-08-02 09:00:00,102336.62,37.46,79520.74,-7.26,15.67,,,7.13,102548.1,-1.0,JDPC1,6812,-120.28889,40.03611
34,2018-08-02 10:00:00,102268.89,1.85,79468.11,,-16.24,,8.0,0.73,100782.16,18.62,JDPC1,6812,-120.28889,40.03611
35,2018-08-02 11:00:00,102235.02,1.43,79441.79,,-15.2,,9.0,0.43,100785.71,18.16,JDPC1,6812,-120.28889,40.03611
36,2018-08-02 12:00:00,102235.02,0.5,79441.79,,-16.14,,9.0,0.09,100885.16,16.93,JDPC1,6812,-120.28889,40.03611
37,2018-08-02 13:00:00,102235.02,0.82,79441.79,,-15.37,,10.0,0.1,100934.8,16.32,JDPC1,6812,-120.28889,40.03611
38,2018-08-02 14:00:00,102235.02,0.43,79441.79,,-14.23,,11.0,0.08,100935.59,16.31,JDPC1,6812,-120.28889,40.03611
39,2018-08-02 15:00:00,102268.89,0.8,79468.11,,-9.34,,16.0,0.09,100940.35,16.66,JDPC1,6812,-120.28889,40.03611
40,2018-08-02 16:00:00,102268.89,2.36,79468.11,,-8.32,,15.0,1.12,100757.9,18.92,JDPC1,6812,-120.28889,40.03611
41,2018-08-02 17:00:00,102268.89,3.15,79468.11,,-6.87,,13.0,0.99,100436.22,23.0,JDPC1,6812,-120.28889,40.03611
42,2018-08-02 18:00:00,102268.89,2.88,79468.11,,-5.94,,13.0,1.52,100345.73,24.17,JDPC1,6812,-120.28889,40.03611
43,2018-08-02 19:00:00,102268.89,3.29,79468.11,,-4.44,,14.0,1.72,100294.98,24.83,JDPC1,6812,-120.28889,40.03611
44,2018-08-02 20:00:00,102302.75,3.85,79494.42,,-4.88,,13.0,2.55,100276.99,25.5,JDPC1,6812,-120.28889,40.03611
45,2018-08-02 21:00:00,102268.89,4.16,79468.11,,-4.3,,13.0,2.17,100189.03,26.22,JDPC1,6812,-120.28889,40.03611
46,2018-08-02 22:00:00,102268.89,4.66,79468.11,,-5.39,,12.0,2.56,100192.88,26.17,JDPC1,6812,-120.28889,40.03611
47,2018-08-02 23:00:00,102235.02,4.8,79441.79,,-6.3,,11.0,2.34,100139.28,26.44,JDPC1,6812,-120.28889,40.03611
48,2018-08-03 00:00:00,102201.16,3.97,79415.48,,-5.18,,12.0,2.27,100106.06,26.44,JDPC1,6812,-120.28889,40.03611
49,2018-08-03 01:00:00,102167.3,4.14,79389.16,,-3.86,,14.0,2.2,100139.6,25.56,JDPC1,6812,-120.28889,40.03611
50,2018-08-03 02:00:00,102167.3,3.66,79389.16,,-3.08,,16.0,1.75,100233.61,24.33,JDPC1,6812,-120.28889,40.03611
51,2018-08-03 03:00:00,102167.3,2.29,79389.16,,-3.07,,19.0,1.39,100448.55,21.56,JDPC1,6812,-120.28889,40.03611
52,2018-08-03 04:00:00,102201.16,1.72,79415.48,,-3.4,,22.0,0.66,100698.15,18.83,JDPC1,6812,-120.28889,40.03611
53,2018-08-03 05:00:00,102235.02,1.71,79441.79,,-3.3,,24.0,0.56,100832.05,17.58,JDPC1,6812,-120.28889,40.03611
54,2018-08-03 06:00:00,102235.02,2.66,79441.79,,-3.36,,24.0,1.16,100837.72,17.51,JDPC1,6812,-120.28889,40.03611
55,2018-08-03 07:00:00,102235.02,3.05,79441.79,,-4.8,,21.0,1.63,100805.49,17.91,JDPC1,6812,-120.28889,40.03611
56,2018-08-03 08:00:00,102235.02,2.25,79441.79,,-4.59,,22.0,1.21,100844.25,17.43,JDPC1,6812,-120.28889,40.03611
57,2018-08-03 09:00:00,102235.02,36.12,79441.79,-7.01,15.44,,,6.53,102448.15,-1.02,JDPC1,6812,-120.28889,40.03611
58,2018-08-03 10:00:00,102201.16,2.42,79415.48,,-4.38,,23.0,1.52,100847.3,16.98,JDPC1,6812,-120.28889,40.03611
59,2018-08-03 11:00:00,102167.3,1.29,79389.16,,-4.43,,24.0,0.26,100872.45,16.26,JDPC1,6812,-120.28889,40.03611
