,date_time,precip_accum_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,333.756,BLB,426,-122.3290,39.8080
1,2018-08-01 01:00:00,333.756,BLB,426,-122.3290,39.8080
2,2018-08-01 02:00:00,333.756,BLB,426,-122.3290,39.8080
3,2018-08-01 03:00:00,333.756,BLB,426,-122.3290,39.8080
4,2018-08-01 04:00:00,333.756,BLB,426,-122.3290,39.8080
5,2018-08-01 05:00:00,333.756,BLB,426,-122.3290,39.8080
6,2018-08-01 06:00:00,333.756,BLB,426,-122.3290,39.8080
7,2018-08-01 07:00:00,333.756,BLB,426,-122.3290,39.8080
8,2018-08-01 08:00:00,333.756,BLB,426,-122.3290,39.8080
9,2018-08-01 09:00:00,333.756,BLB,426,-122.3290,39.8080
10,2018-08-01 10:00:00,333.756,BLB,426,-122.3290,39.8080
11,2018-08-01 11:00:00,333.756,BLB,426,-122.3290,39.8080
12,2018-08-01 12:00:00,333.756,BLB,426,-122.3290,39.8080
13,2018-08-01 13:00:00,333.756,BLB,426,-122.3290,39.8080
14,2018-08-01 14:00:00,333.756,BLB,426,-122.3290,39.8080
15,2018-08-01 15:00:00,333.756,BLB,426,-122.3290,39.8080
16,2018-08-01 16:00:00,333.756,BLB,426,-122.3290,39.8080
17,2018-08-01 17:00:00,333.756,BLB,426,-122.3290,39.8080
18,2018-08-01 18:00:00,333.756,BLB,426,-122.3290,39.8080
19,2018-08-01 19:00:00,333.756,BLB,426,-122.3290,39.8080
20,2018-08-01 20:00:00,333.756,BLB,426,-122.3290,39.8080
21,2018-08-01 21:00:00,333.756,BLB,426,-122.3290,39.8080
22,2018-08-01 22:00:00,333.756,BLB,426,-122.3290,39.8080
23,2018-08-01 23:00:00,333.756,BLB,426,-122.3290,39.8080
24,2018-08-02 00:00:00,333.756,BLB,426,-122.3290,39.8080
25,2018-08-02 01:00:00,333.756,BLB,426,-122.3290,39.8080
26,2018-08-02 02:00:00,333.756,BLB,426,-122.3290,39.8080
27,2018-08-02 03:00:00,333.756,BLB,426,-122.3290,39.8080
