,date_time,precip_accum_set_1,volt_set_1,precip_accum_one_hour_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
69,2018-08-02 10:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
70,2018-08-02 11:00:00,1757.68,12.45,0.0,ELKC1,1705,-123.71833,41.98806
71,2018-08-02 11:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
72,2018-08-02 12:00:00,1757.68,12.47,0.0,ELKC1,1705,-123.71833,41.98806
73,2018-08-02 12:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
74,2018-08-02 13:00:00,1757.68,12.47,0.0,ELKC1,1705,-123.71833,41.98806
75,2018-08-02 13:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
76,2018-08-02 14:00:00,1757.68,12.5,0.0,ELKC1,1705,-123.71833,41.98806
77,2018-08-02 14:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
78,2018-08-02 15:00:00,1757.68,12.51,0.0,ELKC1,1705,-123.71833,41.98806
79,2018-08-02 15:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
80,2018-08-02 16:00:00,1757.68,12.51,0.0,ELKC1,1705,-123.71833,41.98806
81,2018-08-02 16:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
82,2018-08-02 17:00:00,1757.68,12.51,0.0,ELKC1,1705,-123.71833,41.98806
83,2018-08-02 17:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
84,2018-08-02 18:00:00,1757.68,12.51,0.0,ELKC1,1705,-123.71833,41.98806
85,2018-08-02 18:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
86,2018-08-02 19:00:00,1757.68,12.51,0.0,ELKC1,1705,-123.71833,41.98806
87,2018-08-02 19:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
88,2018-08-02 20:00:00,1757.68,12.47,0.0,ELKC1,1705,-123.71833,41.98806
89,2018-08-02 20:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
90,2018-08-02 21:00:00,1757.68,12.45,0.0,ELKC1,1705,-123.71833,41.98806
91,2018-08-02 21:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
92,2018-08-02 22:00:00,1757.68,12.43,0.0,ELKC1,1705,-123.71833,41.98806
93,2018-08-02 22:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
94,2018-08-02 23:00:00,1757.68,12.41,0.0,ELKC1,1705,-123.71833,41.98806
95,2018-08-02 23:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
96,2018-08-03 00:00:00,1757.68,12.39,0.0,ELKC1,1705,-123.71833,41.98806
97,2018-08-03 00:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
98,2018-08-03 01:00:00,1757.68,12.39,0.0,ELKC1,1705,-123.71833,41.98806
99,2018-08-03 01:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
100,2018-08-03 02:00:00,1757.68,12.37,0.0,ELKC1,1705,-123.71833,41.98806
101,2018-08-03 02:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
102,2018-08-03 03:00:00,1757.68,12.39,0.0,ELKC1,1705,-123.71833,41.98806
103,2018-08-03 03:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
104,2018-08-03 04:00:00,1757.68,12.39,0.0,ELKC1,1705,-123.71833,41.98806
105,2018-08-03 04:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
106,2018-08-03 05:00:00,1757.68,12.39,0.0,ELKC1,1705,-123.71833,41.98806
107,2018-08-03 05:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
108,2018-08-03 06:00:00,1757.68,12.39,0.0,ELKC1,1705,-123.71833,41.98806
109,2018-08-03 06:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
110,2018-08-03 07:00:00,1757.68,12.43,0.0,ELKC1,1705,-123.71833,41.98806
111,2018-08-03 07:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
112,2018-08-03 08:00:00,1757.68,12.43,0.0,ELKC1,1705,-123.71833,41.98806
113,2018-08-03 08:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
114,2018-08-03 09:00:00,1757.68,12.45,0.0,ELKC1,1705,-123.71833,41.98806
115,2018-08-03 09:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
116,2018-08-03 10:00:00,1757.68,12.47,0.0,ELKC1,1705,-123.71833,41.98806
117,2018-08-03 10:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
118,2018-08-03 11:00:00,1757.68,12.47,0.0,ELKC1,1705,-123.71833,41.98806
119,2018-08-03 11:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
120,2018-08-03 12:00:00,1757.68,12.5,0.0,ELKC1,1705,-123.71833,41.98806
121,2018-08-03 12:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
122,2018-08-03 13:00:00,1757.68,12.51,0.0,ELKC1,1705,-123.71833,41.98806
123,2018-08-03 13:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
124,2018-08-03 14:00:00,1757.68,12.51,0.0,ELKC1,1705,-123.71833,41.98806
125,2018-08-03 14:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
126,2018-08-03 15:00:00,1757.68,12.51,0.0,ELKC1,1705,-123.71833,41.98806
127,2018-08-03 15:30:00,1757.68,,,ELKC1,1705,-123.71833,41.98806
