,date_time,air_temp_low_24_hour_set_1,air_temp_high_24_hour_set_1,precip_accum_one_hour_set_1,precip_accum_six_hour_set_1,precip_accum_12_hour_set_1,precip_accum_24_hour_set_1,precip_accum_three_hour_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
73,2018-08-04 01:00:00,,,0.0,0.0,0.0,0.0,0.0,COOPRDD,502,-122.30,40.52
74,2018-08-04 02:00:00,,,0.0,0.0,0.0,0.0,0.0,COOPRDD,502,-122.30,40.52
75,2018-08-04 03:00:00,,,0.0,0.0,0.0,0.0,0.0,COOPRDD,502,-122.30,40.52
76,2018-08-04 04:00:00,,,0.0,0.0,0.0,0.0,0.0,COOPRDD,502,-122.30,40.52
77,2018-08-04 05:00:00,,,0.0,0.0,0.0,0.0,0.0,COOPRDD,502,-122.30,40.52
78,2018-08-04 06:00:00,,,0.0,0.0,0.0,0.0,0.0,COOPRDD,502,-122.30,40.52
79,2018-08-04 07:00:00,,,0.0,0.0,0.0,0.0,0.0,COOPRDD,502,-122.30,40.52
80,2018-08-04 08:00:00,,,0.0,0.0,0.0,0.0,0.0,COOPRDD,502,-122.30,40.52
81,2018-08-04 09:00:00,,,0.0,0.0,0.0,0.0,0.0,COOPRDD,502,-122.30,40.52
82,2018-08-04 10:00:00,,,0.0,0.0,0.0,0.0,0.0,COOPRDD,502,-122.30,40.52
83,2018-08-04 11:00:00,,,0.0,0.0,0.0,0.0,0.0,COOPRDD,502,-122.30,40.52
84,2018-08-04 12:00:00,,,0.0,0.0,0.0,0.0,0.0,COOPRDD,502,-122.30,40.52
85,2018-08-04 13:00:00,,,0.0,0.0,0.0,0.0,0.0,COOPRDD,502,-122.30,40.52
86,2018-08-04 14:00:00,,,0.0,0.0,0.0,0.0,0.0,COOPRDD,502,-122.30,40.52
87,2018-08-04 15:00:00,,,0.0,0.0,0.0,0.0,0.0,COOPRDD,502,-122.30,40.52
88,2018-08-04 16:00:00,,,0.0,0.0,0.0,0.0,0.0,COOPRDD,502,-122.30,40.52
89,2018-08-04 17:00:00,,,0.0,0.0,0.0,0.0,0.0,COOPRDD,502,-122.30,40.52
90,2018-08-04 18:00:00,,,0.0,0.0,0.0,0.0,0.0,COOPRDD,502,-122.30,40.52
91,2018-08-04 19:00:00,,,0.0,0.0,0.0,0.0,0.0,COOPRDD,502,-122.30,40.52
92,2018-08-04 20:00:00,,,0.0,0.0,0.0,0.0,0.0,COOPRDD,502,-122.30,40.52
93,2018-08-04 21:00:00,,,0.0,0.0,0.0,0.0,0.0,COOPRDD,502,-122.30,40.52
94,2018-08-04 22:00:00,,,0.0,0.0,0.0,0.0,0.0,COOPRDD,502,-122.30,40.52
