,date_time,wind_cardinal_direction_set_1d,dew_point_temperature_set_1d,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,SW,-4.98,30.4,227.7,8.0,1.18,33.5,CQ236,4895,-120.47069,39.81336
1,2018-08-01 01:00:00,WSW,-5.36,30.0,247.0,8.0,1.13,33.0,CQ236,4895,-120.47069,39.81336
2,2018-08-01 02:00:00,WSW,-6.19,29.15,243.1,8.0,1.03,31.9,CQ236,4895,-120.47069,39.81336
3,2018-08-01 03:00:00,WSW,-7.48,27.85,245.9,8.0,0.93,30.2,CQ236,4895,-120.47069,39.81336
4,2018-08-01 04:00:00,WSW,-7.58,26.39,246.4,9.0,0.67,28.1,CQ236,4895,-120.47069,39.81336
5,2018-08-01 05:00:00,NW,-7.74,,309.5,11.0,0.36,24.6,CQ236,4895,-120.47069,39.81336
6,2018-08-01 06:00:00,NNE,-7.19,,14.1,13.0,0.31,22.6,CQ236,4895,-120.47069,39.81336
7,2018-08-01 07:00:00,N,-6.8,,7.5,14.0,0.26,21.9,CQ236,4895,-120.47069,39.81336
8,2018-08-01 08:00:00,N,-6.21,,352.7,16.0,0.21,20.5,CQ236,4895,-120.47069,39.81336
9,2018-08-01 09:00:00,NNE,-8.13,,25.1,17.0,0.21,17.2,CQ236,4895,-120.47069,39.81336
10,2018-08-01 10:00:00,NNE,-9.54,,26.4,18.0,0.15,14.6,CQ236,4895,-120.47069,39.81336
11,2018-08-01 11:00:00,NNE,-10.27,,16.5,19.0,0.21,12.9,CQ236,4895,-120.47069,39.81336
12,2018-08-01 12:00:00,ENE,-10.88,,75.4,20.0,0.26,11.4,CQ236,4895,-120.47069,39.81336
13,2018-08-01 13:00:00,E,-10.61,,82.6,22.0,0.21,10.3,CQ236,4895,-120.47069,39.81336
14,2018-08-01 14:00:00,ESE,-11.24,,101.3,23.0,0.15,8.9,CQ236,4895,-120.47069,39.81336
15,2018-08-01 15:00:00,E,-10.11,,80.0,25.0,0.15,9.0,CQ236,4895,-120.47069,39.81336
16,2018-08-01 16:00:00,SE,-7.71,,145.3,25.0,0.21,11.8,CQ236,4895,-120.47069,39.81336
17,2018-08-01 17:00:00,ESE,-2.24,,107.0,23.0,0.51,19.5,CQ236,4895,-120.47069,39.81336
18,2018-08-01 18:00:00,E,-1.39,,98.2,17.0,0.51,25.4,CQ236,4895,-120.47069,39.81336
19,2018-08-01 19:00:00,WSW,-4.45,28.17,240.7,10.0,0.72,30.4,CQ236,4895,-120.47069,39.81336
20,2018-08-01 20:00:00,SW,-5.51,29.85,236.0,8.0,1.08,32.8,CQ236,4895,-120.47069,39.81336
21,2018-08-01 21:00:00,SW,-5.81,31.23,227.0,7.0,1.18,34.7,CQ236,4895,-120.47069,39.81336
22,2018-08-01 22:00:00,W,-5.28,31.82,263.1,7.0,1.34,35.4,CQ236,4895,-120.47069,39.81336
23,2018-08-01 23:00:00,W,-4.53,30.88,262.6,8.0,1.29,34.1,CQ236,4895,-120.47069,39.81336
24,2018-08-02 00:00:00,WSW,-7.74,29.21,251.9,7.0,1.44,32.1,CQ236,4895,-120.47069,39.81336
25,2018-08-02 01:00:00,WSW,-6.5,28.84,244.8,8.0,1.44,31.5,CQ236,4895,-120.47069,39.81336
26,2018-08-02 02:00:00,WSW,-5.9,28.01,253.2,9.0,1.34,30.3,CQ236,4895,-120.47069,39.81336
27,2018-08-02 03:00:00,WSW,-5.85,26.82,255.4,10.0,1.29,28.6,CQ236,4895,-120.47069,39.81336
28,2018-08-02 04:00:00,W,-5.86,26.04,260.7,11.0,0.87,27.0,CQ236,4895,-120.47069,39.81336
29,2018-08-02 05:00:00,NE,-6.15,,49.0,13.0,0.31,23.9,CQ236,4895,-120.47069,39.81336
