,date_time,solar_radiation_set_1,wind_cardinal_direction_set_1d,volt_set_1,dew_point_temperature_set_1d,pressure_set_1,altimeter_set_1d,precip_accum_set_1,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,sea_level_pressure_set_1d,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,619.31,SW,12.9,6.63,98442.0,100860.71,571.754,32.91,236.0,17.0,1.79,100689.85,35.17,CDW,670,-123.1853,39.2031
1,2018-08-01 00:15:00,581.45,SSW,,5.72,98476.0,100895.54,571.754,31.78,206.0,17.0,2.23,100732.83,34.06,CDW,670,-123.1853,39.2031
2,2018-08-01 00:30:00,541.32,SW,,6.26,98442.0,100860.71,571.754,31.52,232.0,18.0,2.68,100700.57,33.72,CDW,670,-123.1853,39.2031
3,2018-08-01 00:45:00,482.21,SW,,6.54,98442.0,100860.71,571.754,31.86,214.0,18.0,1.79,100698.05,34.06,CDW,670,-123.1853,39.2031
4,2018-08-01 01:00:00,433.87,WSW,12.9,6.35,98442.0,100860.71,571.754,30.77,242.0,19.0,2.68,100706.75,32.89,CDW,670,-123.1853,39.2031
5,2018-08-01 01:15:00,383.12,WSW,,6.81,98442.0,100860.71,571.754,30.51,255.0,20.0,2.23,100709.21,32.56,CDW,670,-123.1853,39.2031
6,2018-08-01 01:30:00,329.68,SW,,6.62,98442.0,100860.71,571.754,30.29,219.0,20.0,3.13,100710.94,32.33,CDW,670,-123.1853,39.2031
7,2018-08-01 01:45:00,273.33,SW,,7.71,98442.0,100860.71,571.754,29.42,223.0,23.0,2.23,100719.28,31.22,CDW,670,-123.1853,39.2031
8,2018-08-01 02:00:00,214.75,SSW,13.0,9.27,98442.0,100860.71,571.754,29.35,207.0,26.0,1.34,100721.38,30.94,CDW,670,-123.1853,39.2031
9,2018-08-01 02:15:00,159.65,SW,,9.99,98442.0,100860.71,571.754,29.08,235.0,28.0,1.79,100724.71,30.5,CDW,670,-123.1853,39.2031
10,2018-08-01 02:30:00,116.31,SW,,10.43,98442.0,100860.71,571.754,28.6,221.0,30.0,1.34,100729.8,29.83,CDW,670,-123.1853,39.2031
11,2018-08-01 02:45:00,29.5,WSW,,10.94,98442.0,100860.71,571.754,27.52,239.0,34.0,1.79,100741.67,28.28,CDW,670,-123.1853,39.2031
12,2018-08-01 03:00:00,17.33,NW,12.9,11.07,98476.0,100895.54,571.754,27.31,314.0,35.0,0.9,100779.08,27.94,CDW,670,-123.1853,39.2031
13,2018-08-01 03:15:00,6.51,SW,,11.07,98476.0,100895.54,571.754,26.72,218.0,37.0,1.34,100786.36,27.0,CDW,670,-123.1853,39.2031
14,2018-08-01 03:30:00,,WSW,,11.22,98476.0,100895.54,571.754,,238.0,39.0,1.79,100791.97,26.28,CDW,670,-123.1853,39.2031
15,2018-08-01 03:45:00,,,,10.99,98476.0,100895.54,571.754,,,40.0,,100797.21,25.61,CDW,670,-123.1853,39.2031
16,2018-08-01 04:00:00,,WSW,13.0,10.97,98476.0,100895.54,571.754,,257.0,41.0,0.9,100800.67,25.17,CDW,670,-123.1853,39.2031
17,2018-08-01 04:15:00,,SW,,10.72,98510.0,100930.38,571.754,,232.0,42.0,0.45,100840.76,24.5,CDW,670,-123.1853,39.2031
18,2018-08-01 04:30:00,,S,,10.62,98510.0,100930.38,571.754,,185.0,43.0,0.45,100844.72,24.0,CDW,670,-123.1853,39.2031
19,2018-08-01 04:45:00,,NE,,11.98,98544.0,100965.21,571.5,,53.0,44.0,0.9,100870.74,25.11,CDW,670,-123.1853,39.2031
20,2018-08-01 05:00:00,,N,13.0,10.5,98544.0,100965.21,571.5,,5.0,40.0,0.9,100871.15,25.06,CDW,670,-123.1853,39.2031
21,2018-08-01 05:15:00,,ESE,,13.27,98544.0,100965.21,571.5,,102.0,49.0,0.9,100873.8,24.72,CDW,670,-123.1853,39.2031
22,2018-08-01 05:30:00,,NNE,,13.51,98544.0,100965.21,571.5,,22.0,52.0,0.9,100879.49,24.0,CDW,670,-123.1853,39.2031
23,2018-08-01 05:45:00,,SW,,13.08,98544.0,100965.21,571.5,,219.0,53.0,0.9,100885.7,23.22,CDW,670,-123.1853,39.2031
24,2018-08-01 06:00:00,,WNW,13.0,10.43,98544.0,100965.21,571.5,,302.0,47.0,1.34,100892.85,22.33,CDW,670,-123.1853,39.2031
25,2018-08-01 06:15:00,,WNW,,10.7,98544.0,100965.21,571.246,,296.0,49.0,0.45,100895.98,21.94,CDW,670,-123.1853,39.2031
26,2018-08-01 06:30:00,,NE,,13.27,98544.0,100965.21,571.246,,50.0,58.0,0.9,100895.95,21.94,CDW,670,-123.1853,39.2031
27,2018-08-01 06:45:00,,NNE,,13.03,98544.0,100965.21,571.246,,13.0,55.0,0.45,100890.98,22.56,CDW,670,-123.1853,39.2031
28,2018-08-01 07:00:00,,ENE,13.0,13.32,98578.0,101000.05,571.246,,72.0,57.0,0.9,100928.03,22.28,CDW,670,-123.1853,39.2031
29,2018-08-01 07:15:00,,WNW,,12.43,98578.0,101000.05,571.246,,294.0,57.0,0.9,100935.7,21.33,CDW,670,-123.1853,39.2031
30,2018-08-01 07:30:00,,NW,,9.89,98578.0,101000.05,570.992,,308.0,49.0,0.45,100937.91,21.06,CDW,670,-123.1853,39.2031
31,2018-08-01 07:45:00,,N,,9.25,98578.0,101000.05,570.992,,351.0,46.0,0.45,100935.24,21.39,CDW,670,-123.1853,39.2031
32,2018-08-01 08:00:00,,NNE,13.0,9.84,98578.0,101000.05,570.992,,19.0,54.0,0.45,100951.1,19.44,CDW,670,-123.1853,39.2031
33,2018-08-01 08:15:00,,NNE,,9.68,98578.0,101000.05,570.992,,19.0,48.0,1.34,100937.02,21.17,CDW,670,-123.1853,39.2031
34,2018-08-01 08:30:00,,NNE,,10.9,98578.0,101000.05,570.992,,27.0,51.0,1.34,100934.34,21.5,CDW,670,-123.1853,39.2031
35,2018-08-01 08:45:00,,NNE,,9.08,98578.0,101000.05,570.992,,17.0,45.0,1.34,100933.87,21.56,CDW,670,-123.1853,39.2031
36,2018-08-01 09:00:00,,NNE,13.0,9.93,98578.0,101000.05,570.992,,16.0,49.0,1.79,100937.5,21.11,CDW,670,-123.1853,39.2031
37,2018-08-01 09:15:00,,NNE,,10.47,98578.0,101000.05,570.992,,26.0,52.0,0.9,100940.66,20.72,CDW,670,-123.1853,39.2031
38,2018-08-01 09:30:00,,NNW,,9.81,98578.0,101000.05,570.992,,347.0,56.0,0.9,100956.11,18.83,CDW,670,-123.1853,39.2031
39,2018-08-01 09:45:00,,NE,,9.88,98578.0,101000.05,570.992,,42.0,53.0,1.34,100948.32,19.78,CDW,670,-123.1853,39.2031
40,2018-08-01 10:00:00,,NE,13.0,10.65,98578.0,101000.05,570.992,,42.0,56.0,1.79,100948.8,19.72,CDW,670,-123.1853,39.2031
41,2018-08-01 10:15:00,,NW,,9.24,98578.0,101000.05,570.992,,313.0,57.0,0.9,100963.45,17.94,CDW,670,-123.1853,39.2031
42,2018-08-01 10:30:00,,NNW,,9.93,98578.0,101000.05,570.738,,343.0,58.0,0.9,100959.73,18.39,CDW,670,-123.1853,39.2031
43,2018-08-01 10:45:00,,WNW,,9.23,98578.0,101000.05,570.738,,302.0,60.0,1.34,100970.34,17.11,CDW,670,-123.1853,39.2031
44,2018-08-01 11:00:00,,NNW,13.0,9.04,98578.0,101000.05,570.738,,336.0,59.0,0.9,100969.84,17.17,CDW,670,-123.1853,39.2031
45,2018-08-01 11:15:00,,NNE,,8.84,98578.0,101000.05,570.738,,15.0,53.0,2.68,100957.43,18.67,CDW,670,-123.1853,39.2031
46,2018-08-01 11:30:00,,NNE,,8.79,98578.0,101000.05,570.738,,33.0,53.0,0.9,100957.93,18.61,CDW,670,-123.1853,39.2031
47,2018-08-01 11:45:00,,WSW,,8.84,98578.0,101000.05,570.738,,257.0,65.0,1.34,100984.32,15.44,CDW,670,-123.1853,39.2031
48,2018-08-01 12:00:00,,WSW,13.0,8.86,98578.0,101000.05,570.738,,250.0,66.0,1.34,100986.18,15.22,CDW,670,-123.1853,39.2031
49,2018-08-01 12:15:00,,WSW,,8.99,98578.0,101000.05,570.738,,241.0,68.0,0.9,100988.96,14.89,CDW,670,-123.1853,39.2031
