,altimeter_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,cloud_layer_3_code_set_1,heat_index_set_1d,sea_level_pressure_set_1,sea_level_pressure_set_1d,ceiling_set_1,weather_condition_set_1d,air_temp_low_6_hour_set_1,air_temp_high_24_hour_set_1,cloud_layer_1_code_set_1,pressure_set_1d,pressure_tendency_set_1,metar_set_1,cloud_layer_2_code_set_1,relative_humidity_set_1,wind_speed_set_1,air_temp_set_1,air_temp_high_6_hour_set_1,date_time,dew_point_temperature_set_1d,visibility_set_1,dew_point_temperature_set_1,air_temp_low_24_hour_set_1,metar_origin_set_1,weather_cond_code_set_1,wind_direction_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
17,100914.33,SE,,,37.68,,100773.75,914.4,"Haze,Smoke",,,304.0,99107.67,,METAR KRDD 010115Z AUTO 14009KT 4SM HZ FU OVC030 38/14 A2980,,24.18,4.63,38.0,,2018-08-01 01:15:00,14.23,4.0,,,,566.0,140.0,KRDD,499,-122.29770,40.51461
18,100880.47,SE,,,36.56,,100745.33,914.4,"Haze,Smoke",,,304.0,99074.41,,METAR KRDD 010120Z AUTO 13009KT 4SM HZ FU OVC030 37/14 A2979,,25.53,4.63,37.0,,2018-08-01 01:20:00,14.2,4.0,,,,566.0,130.0,KRDD,499,-122.29770,40.51461
19,100880.47,SE,,,36.56,,100745.33,914.4,"Haze,Smoke",,,304.0,99074.41,,METAR KRDD 010125Z AUTO 13008KT 4SM HZ FU OVC030 37/14 A2979,,25.53,4.12,37.0,,2018-08-01 01:25:00,14.2,4.0,,,,566.0,130.0,KRDD,499,-122.29770,40.51461
20,100880.47,SE,,,36.56,,100745.33,914.4,"Haze,Smoke",,,304.0,99074.41,,METAR KRDD 010130Z AUTO 14009KT 4SM HZ FU OVC030 37/14 A2979,,25.53,4.63,37.0,,2018-08-01 01:30:00,14.2,4.0,,,,566.0,140.0,KRDD,499,-122.29770,40.51461
21,100880.47,SSE,,,36.99,,100745.32,914.4,"Haze,Smoke",,,303.0,99074.41,,METAR KRDD 010135Z AUTO 15010KT 4SM HZ FU BKN030 OVC036 37/15 A2979,364.0,27.23,5.14,37.0,,2018-08-01 01:35:00,15.19,4.0,,,,566.0,150.0,KRDD,499,-122.29770,40.51461
22,100880.47,SSE,,,36.99,,100745.32,914.4,"Haze,Smoke",,,304.0,99074.41,,METAR KRDD 010140Z AUTO 15010KT 4SM HZ FU OVC030 37/15 A2979,,27.23,5.14,37.0,,2018-08-01 01:40:00,15.19,4.0,,,,566.0,150.0,KRDD,499,-122.29770,40.51461
23,100880.47,SSE,,,36.99,,100745.32,914.4,"Haze,Smoke",,,304.0,99074.41,,METAR KRDD 010145Z AUTO 15010KT 4SM HZ FU OVC030 37/15 A2979,,27.23,5.14,37.0,,2018-08-01 01:45:00,15.19,4.0,,,,566.0,150.0,KRDD,499,-122.29770,40.51461
24,100880.47,SSE,,,36.99,,100745.32,914.4,"Haze,Smoke",,,304.0,99074.41,,METAR KRDD 010150Z AUTO 16009KT 4SM HZ FU OVC030 37/15 A2979,,27.23,4.63,37.0,,2018-08-01 01:50:00,15.19,4.0,,,,566.0,160.0,KRDD,499,-122.29770,40.51461
25,100880.47,SSE,,,36.65,100820.0,100746.95,914.4,"Haze,Smoke",,,303.0,99074.41,,KRDD 010153Z 15008KT 4SM HZ FU BKN030 OVC037 37/15 A2979 RMK AO2  SLP082 T03670150,374.0,27.68,4.12,36.7,,2018-08-01 01:53:00,15.19,4.0,15.0,,1.0,566.0,150.0,KRDD,499,-122.29770,40.51461
26,100880.47,SSE,,,35.86,,100750.77,914.4,"Haze,Smoke",,,303.0,99074.41,,METAR KRDD 010155Z AUTO 15008KT 4SM HZ FU BKN030 OVC037 36/15 A2979,374.0,28.75,4.12,36.0,,2018-08-01 01:55:00,15.17,4.0,,,,566.0,150.0,KRDD,499,-122.29770,40.51461
27,100880.47,SSE,,,35.86,,100750.77,914.4,"Haze,Smoke",,,303.0,99074.41,,METAR KRDD 010200Z AUTO 15009KT 4SM HZ FU BKN030 OVC037 36/15 A2979,374.0,28.75,4.63,36.0,,2018-08-01 02:00:00,15.17,4.0,,,,566.0,150.0,KRDD,499,-122.29770,40.51461
28,100914.33,SSE,,,35.86,,100784.59,914.4,"Haze,Smoke",,,304.0,99107.67,,METAR KRDD 010205Z AUTO 15008KT 4SM HZ FU OVC030 36/15 A2980,,28.75,4.12,36.0,,2018-08-01 02:05:00,15.17,4.0,,,,566.0,150.0,KRDD,499,-122.29770,40.51461
29,100914.33,SSE,,,35.86,,100784.59,914.4,"Haze,Smoke",,,304.0,99107.67,,METAR KRDD 010210Z AUTO 15009KT 4SM HZ FU OVC030 36/15 A2980,,28.75,4.63,36.0,,2018-08-01 02:10:00,15.17,4.0,,,,566.0,150.0,KRDD,499,-122.29770,40.51461
30,100914.33,SE,,,35.86,,100784.59,914.4,"Haze,Smoke",,,304.0,99107.67,,METAR KRDD 010215Z AUTO 14007KT 4SM HZ FU OVC030 36/15 A2980,,28.75,3.6,36.0,,2018-08-01 02:15:00,15.17,4.0,,,,566.0,140.0,KRDD,499,-122.29770,40.51461
31,100914.33,SE,,,34.75,,100790.07,914.4,"Haze,Smoke",,,303.0,99107.67,,METAR KRDD 010220Z AUTO 14006KT 4SM HZ FU BKN030 OVC065 35/15 A2980,654.0,30.38,3.09,35.0,,2018-08-01 02:20:00,15.14,4.0,,,,566.0,140.0,KRDD,499,-122.29770,40.51461
32,100914.33,SSE,,,34.37,,100790.08,914.4,"Haze,Smoke",,,304.0,99107.67,,METAR KRDD 010225Z AUTO 15007KT 4SM HZ FU OVC030 35/14 A2980,,28.48,3.6,35.0,,2018-08-01 02:25:00,14.15,4.0,,,,566.0,150.0,KRDD,499,-122.29770,40.51461
