,date_time,wind_speed_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,dew_point_temperature_set_1d,pressure_set_1,precip_accum_one_hour_set_1,altimeter_set_1d,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,solar_radiation_set_1,sea_level_pressure_set_1d,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,2.57,SW,4.42,-2.17,102482.0,0.0,126278.83,29.3,216.0,11.0,644.0,123911.72,31.72,DLCC1,5662,-120.48306,40.11917
1,2018-08-01 01:00:00,1.76,W,3.16,-2.69,102481.0,0.0,126277.59,28.77,261.0,11.0,471.0,123960.66,31.06,DLCC1,5662,-120.48306,40.11917
2,2018-08-01 02:00:00,2.11,SW,3.67,-3.65,102482.0,0.0,126278.83,27.82,224.0,11.0,284.0,124055.97,29.83,DLCC1,5662,-120.48306,40.11917
3,2018-08-01 03:00:00,1.9,SSW,3.28,-4.12,102483.0,0.0,126280.06,26.39,199.0,12.0,33.0,124215.79,27.78,DLCC1,5662,-120.48306,40.11917
4,2018-08-01 04:00:00,0.57,WNW,1.65,-2.59,102483.0,0.0,126280.06,,294.0,16.0,2.0,124439.31,24.94,DLCC1,5662,-120.48306,40.11917
5,2018-08-01 05:00:00,0.35,WSW,0.98,-0.81,102485.0,0.0,126282.52,,238.0,20.0,0.0,124561.61,23.44,DLCC1,5662,-120.48306,40.11917
6,2018-08-01 06:00:00,0.17,NW,0.93,-0.59,102486.0,0.0,126283.75,,306.0,23.0,0.0,124724.81,21.44,DLCC1,5662,-120.48306,40.11917
7,2018-08-01 07:00:00,0.12,NW,0.77,-0.7,102486.0,0.0,126283.75,,311.0,25.0,0.0,124844.58,19.98,DLCC1,5662,-120.48306,40.11917
8,2018-08-01 08:00:00,0.06,N,0.73,0.01,102486.0,0.0,126283.75,,10.0,30.0,0.0,125016.55,17.91,DLCC1,5662,-120.48306,40.11917
9,2018-08-01 09:00:00,0.32,NNW,1.09,1.69,102486.0,0.0,126283.75,,335.0,38.0,0.0,125169.04,16.1,DLCC1,5662,-120.48306,40.11917
10,2018-08-01 10:00:00,0.19,NNE,0.85,1.38,102486.0,0.0,126283.75,,14.0,42.0,0.0,125331.47,14.2,DLCC1,5662,-120.48306,40.11917
11,2018-08-01 11:00:00,0.32,N,1.17,0.52,102485.0,0.0,126282.52,,11.0,44.0,0.0,125474.1,12.54,DLCC1,5662,-120.48306,40.11917
12,2018-08-01 12:00:00,0.11,NE,0.75,0.47,102485.0,0.0,126282.52,,42.0,49.0,0.0,125621.49,10.86,DLCC1,5662,-120.48306,40.11917
13,2018-08-01 13:00:00,0.33,NNE,0.87,-0.36,102485.0,0.0,126282.52,,19.0,51.0,0.0,125754.73,9.36,DLCC1,5662,-120.48306,40.11917
