,date_time,air_temp_set_1,snow_depth_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,26.11,17.78,MDCC1,6725,-121.61306,41.58694
1,2018-08-01 01:00:00,23.33,0.0,MDCC1,6725,-121.61306,41.58694
2,2018-08-01 02:00:00,22.78,2.54,MDCC1,6725,-121.61306,41.58694
3,2018-08-01 03:00:00,18.89,25.4,MDCC1,6725,-121.61306,41.58694
4,2018-08-01 04:00:00,15.0,27.94,MDCC1,6725,-121.61306,41.58694
5,2018-08-01 05:00:00,13.33,38.1,MDCC1,6725,-121.61306,41.58694
6,2018-08-01 06:00:00,12.22,40.64,MDCC1,6725,-121.61306,41.58694
7,2018-08-01 07:00:00,10.56,43.18,MDCC1,6725,-121.61306,41.58694
8,2018-08-01 08:00:00,8.33,55.88,MDCC1,6725,-121.61306,41.58694
9,2018-08-01 09:00:00,8.33,63.5,MDCC1,6725,-121.61306,41.58694
10,2018-08-01 10:00:00,6.67,55.88,MDCC1,6725,-121.61306,41.58694
11,2018-08-01 11:00:00,6.11,63.5,MDCC1,6725,-121.61306,41.58694
12,2018-08-01 12:00:00,5.56,58.42,MDCC1,6725,-121.61306,41.58694
13,2018-08-01 13:00:00,5.0,60.96,MDCC1,6725,-121.61306,41.58694
14,2018-08-01 14:00:00,6.11,58.42,MDCC1,6725,-121.61306,41.58694
15,2018-08-01 15:00:00,8.89,55.88,MDCC1,6725,-121.61306,41.58694
16,2018-08-01 16:00:00,19.44,55.88,MDCC1,6725,-121.61306,41.58694
17,2018-08-01 17:00:00,22.22,35.56,MDCC1,6725,-121.61306,41.58694
18,2018-08-01 18:00:00,23.89,25.4,MDCC1,6725,-121.61306,41.58694
19,2018-08-01 19:00:00,23.89,20.32,MDCC1,6725,-121.61306,41.58694
20,2018-08-01 20:00:00,24.44,10.16,MDCC1,6725,-121.61306,41.58694
21,2018-08-01 21:00:00,26.11,22.86,MDCC1,6725,-121.61306,41.58694
22,2018-08-01 22:00:00,27.22,25.4,MDCC1,6725,-121.61306,41.58694
23,2018-08-01 23:00:00,25.0,30.48,MDCC1,6725,-121.61306,41.58694
24,2018-08-02 00:00:00,24.44,20.32,MDCC1,6725,-121.61306,41.58694
25,2018-08-02 01:00:00,23.89,,MDCC1,6725,-121.61306,41.58694
26,2018-08-02 02:00:00,21.67,10.16,MDCC1,6725,-121.61306,41.58694
27,2018-08-02 03:00:00,17.78,35.56,MDCC1,6725,-121.61306,41.58694
28,2018-08-02 04:00:00,17.22,30.48,MDCC1,6725,-121.61306,41.58694
29,2018-08-02 05:00:00,14.44,45.72,MDCC1,6725,-121.61306,41.58694
30,2018-08-02 06:00:00,11.11,48.26,MDCC1,6725,-121.61306,41.58694
31,2018-08-02 07:00:00,9.44,58.42,MDCC1,6725,-121.61306,41.58694
32,2018-08-02 08:00:00,8.89,55.88,MDCC1,6725,-121.61306,41.58694
33,2018-08-02 09:00:00,7.78,53.34,MDCC1,6725,-121.61306,41.58694
34,2018-08-02 10:00:00,6.11,66.04,MDCC1,6725,-121.61306,41.58694
35,2018-08-02 11:00:00,6.67,71.12,MDCC1,6725,-121.61306,41.58694
36,2018-08-02 12:00:00,6.11,71.12,MDCC1,6725,-121.61306,41.58694
37,2018-08-02 13:00:00,5.56,68.58,MDCC1,6725,-121.61306,41.58694
38,2018-08-02 14:00:00,5.0,68.58,MDCC1,6725,-121.61306,41.58694
39,2018-08-02 15:00:00,7.78,71.12,MDCC1,6725,-121.61306,41.58694
40,2018-08-02 16:00:00,17.78,66.04,MDCC1,6725,-121.61306,41.58694
41,2018-08-02 17:00:00,20.0,35.56,MDCC1,6725,-121.61306,41.58694
42,2018-08-02 18:00:00,22.22,20.32,MDCC1,6725,-121.61306,41.58694
43,2018-08-02 19:00:00,23.33,35.56,MDCC1,6725,-121.61306,41.58694
44,2018-08-02 20:00:00,24.44,15.24,MDCC1,6725,-121.61306,41.58694
45,2018-08-02 21:00:00,26.11,43.18,MDCC1,6725,-121.61306,41.58694
46,2018-08-02 22:00:00,25.56,17.78,MDCC1,6725,-121.61306,41.58694
47,2018-08-02 23:00:00,26.67,0.0,MDCC1,6725,-121.61306,41.58694
48,2018-08-03 00:00:00,25.56,,MDCC1,6725,-121.61306,41.58694
49,2018-08-03 01:00:00,23.89,5.08,MDCC1,6725,-121.61306,41.58694
50,2018-08-03 02:00:00,21.67,12.7,MDCC1,6725,-121.61306,41.58694
51,2018-08-03 03:00:00,17.22,33.02,MDCC1,6725,-121.61306,41.58694
52,2018-08-03 04:00:00,15.56,40.64,MDCC1,6725,-121.61306,41.58694
53,2018-08-03 05:00:00,12.22,48.26,MDCC1,6725,-121.61306,41.58694
54,2018-08-03 06:00:00,10.56,45.72,MDCC1,6725,-121.61306,41.58694
55,2018-08-03 07:00:00,10.0,58.42,MDCC1,6725,-121.61306,41.58694
56,2018-08-03 08:00:00,8.89,53.34,MDCC1,6725,-121.61306,41.58694
57,2018-08-03 09:00:00,5.56,60.96,MDCC1,6725,-121.61306,41.58694
58,2018-08-03 10:00:00,5.0,63.5,MDCC1,6725,-121.61306,41.58694
59,2018-08-03 11:00:00,3.89,73.66,MDCC1,6725,-121.61306,41.58694
60,2018-08-03 12:00:00,3.89,68.58,MDCC1,6725,-121.61306,41.58694
61,2018-08-03 13:00:00,2.22,66.04,MDCC1,6725,-121.61306,41.58694
62,2018-08-03 14:00:00,2.78,68.58,MDCC1,6725,-121.61306,41.58694
63,2018-08-03 15:00:00,6.11,76.2,MDCC1,6725,-121.61306,41.58694
64,2018-08-03 16:00:00,16.67,58.42,MDCC1,6725,-121.61306,41.58694
65,2018-08-03 17:00:00,20.0,38.1,MDCC1,6725,-121.61306,41.58694
66,2018-08-03 18:00:00,20.0,25.4,MDCC1,6725,-121.61306,41.58694
67,2018-08-03 19:00:00,21.11,38.1,MDCC1,6725,-121.61306,41.58694
68,2018-08-03 20:00:00,22.78,22.86,MDCC1,6725,-121.61306,41.58694
69,2018-08-03 21:00:00,22.78,33.02,MDCC1,6725,-121.61306,41.58694
70,2018-08-03 22:00:00,23.33,20.32,MDCC1,6725,-121.61306,41.58694
71,2018-08-03 23:00:00,24.44,12.7,MDCC1,6725,-121.61306,41.58694
72,2018-08-04 00:00:00,22.78,12.7,MDCC1,6725,-121.61306,41.58694
73,2018-08-04 01:00:00,20.56,5.08,MDCC1,6725,-121.61306,41.58694
74,2018-08-04 02:00:00,18.33,17.78,MDCC1,6725,-121.61306,41.58694
75,2018-08-04 03:00:00,15.0,35.56,MDCC1,6725,-121.61306,41.58694
