,date_time,T_water_temp_set_1,dew_point_temperature_set_1d,wind_cardinal_direction_set_1d,wind_gust_set_1,wave_period_set_1,primary_swell_wave_period_set_1,wave_height_set_1,pressure_set_1,sea_level_pressure_set_1d,altimeter_set_1d,visibility_set_1,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,primary_swell_wave_height_set_1,primary_swell_true_direction_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,10.91,12.71,NW,10.99,,,,101520.0,101520.0,101519.17,,320.0,100.0,8.99,,,12.71,46014,0,-124.00000,39.20000
1,2018-08-01 00:10:00,10.91,12.71,NW,10.99,,,,101510.0,101510.0,101509.17,,310.0,100.0,8.99,,,12.71,46014,0,-124.00000,39.20000
2,2018-08-01 00:20:00,,12.81,NW,10.99,,,,101500.0,101500.0,101499.17,,310.0,100.0,8.99,,,12.81,46014,0,-124.00000,39.20000
3,2018-08-01 00:30:00,10.91,12.81,NW,11.99,,,,101500.0,101500.0,101499.17,,310.0,100.0,8.99,,,12.81,46014,0,-124.00000,39.20000
4,2018-08-01 00:40:00,10.91,12.81,NW,10.99,,,,101490.0,101490.0,101489.17,,310.0,100.0,8.99,,,12.81,46014,0,-124.00000,39.20000
5,2018-08-01 00:50:00,10.81,12.71,NW,10.99,6.0,9.0,1.7,101470.0,101470.0,101469.17,,320.0,100.0,7.99,0.5,310.0,12.71,46014,0,-124.00000,39.20000
6,2018-08-01 01:00:00,10.81,12.71,NW,9.99,,,,101470.0,101470.0,101469.17,,320.0,100.0,7.99,,,12.71,46014,0,-124.00000,39.20000
7,2018-08-01 01:10:00,10.81,12.71,NW,8.99,,,,101460.0,101460.0,101459.17,,320.0,99.35,7.0,,,12.81,46014,0,-124.00000,39.20000
8,2018-08-01 01:20:00,10.81,12.71,NW,8.99,,,,101450.0,101450.0,101449.17,,320.0,99.35,7.0,,,12.81,46014,0,-124.00000,39.20000
9,2018-08-01 01:30:00,10.81,12.71,NW,8.99,,,,101460.0,101460.0,101459.17,,320.0,99.35,7.0,,,12.81,46014,0,-124.00000,39.20000
10,2018-08-01 01:40:00,10.81,12.71,NW,8.99,,,,101460.0,101460.0,101459.17,,320.0,99.35,7.0,,,12.81,46014,0,-124.00000,39.20000
