,date_time,wind_cardinal_direction_set_1d,wind_speed_set_1,soil_temp_set_1,air_temp_low_24_hour_set_1,air_temp_high_24_hour_set_1,dew_point_temperature_set_1d,precip_accum_one_hour_set_1,precip_accum_set_1,heat_index_set_1d,air_temp_set_1,soil_moisture_set_1,relative_humidity_set_1,solar_radiation_set_1,snow_depth_set_1,wind_direction_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,SSW,1.08,45.0,32.39,33.0,2.91,0.0,,30.48,32.78,1.7,15.0,0.2,0.0,204.0,EALC1,5134,-120.72472,40.61750
1,2018-08-01 01:00:00,SW,0.8,41.11,30.61,32.39,8.28,0.0,,30.06,31.89,1.6,23.0,0.2,25.4,218.0,EALC1,5134,-120.72472,40.61750
2,2018-08-01 02:00:00,SW,0.31,38.33,28.39,30.61,9.31,0.0,,28.37,29.72,1.4,28.0,4.71,50.8,231.0,EALC1,5134,-120.72472,40.61750
3,2018-08-01 03:00:00,WNW,0.31,35.56,26.39,28.39,7.04,0.0,,26.77,27.72,1.5,27.0,6.28,203.2,297.0,EALC1,5134,-120.72472,40.61750
4,2018-08-01 04:00:00,SE,0.05,32.22,23.0,26.39,8.36,0.0,,,24.89,1.5,35.0,0.66,228.6,138.0,EALC1,5134,-120.72472,40.61750
5,2018-08-01 05:00:00,ENE,0.13,30.0,21.11,23.0,7.18,0.0,,,22.22,1.3,38.0,0.15,203.2,64.0,EALC1,5134,-120.72472,40.61750
6,2018-08-01 06:00:00,ESE,0.13,27.78,19.5,21.11,8.49,0.0,,,20.22,1.3,47.0,0.1,152.4,120.0,EALC1,5134,-120.72472,40.61750
7,2018-08-01 07:00:00,ESE,0.05,26.67,18.22,19.5,7.16,0.0,,,19.11,1.1,46.0,0.09,76.2,111.0,EALC1,5134,-120.72472,40.61750
8,2018-08-01 08:00:00,SSW,0.05,25.0,16.89,18.22,9.24,0.0,360.934,,17.39,1.1,59.0,0.07,,194.0,EALC1,5134,-120.72472,40.61750
9,2018-08-01 09:00:00,ESE,0.09,23.89,15.28,17.89,9.59,0.0,,,16.72,1.3,63.0,0.05,,104.0,EALC1,5134,-120.72472,40.61750
10,2018-08-01 10:00:00,,0.0,22.78,14.78,15.28,9.52,0.0,,,15.22,1.1,69.0,0.02,,,EALC1,5134,-120.72472,40.61750
11,2018-08-01 11:00:00,E,0.05,21.67,13.72,14.78,8.29,0.0,,,14.39,1.1,67.0,0.03,,96.0,EALC1,5134,-120.72472,40.61750
12,2018-08-01 12:00:00,NE,0.05,20.56,12.78,13.72,8.24,0.0,,,13.22,1.1,72.0,0.03,,44.0,EALC1,5134,-120.72472,40.61750
13,2018-08-01 13:00:00,ENE,0.05,20.0,12.0,13.0,8.45,0.0,,,12.61,1.1,76.0,0.29,,63.0,EALC1,5134,-120.72472,40.61750
14,2018-08-01 14:00:00,NE,0.05,19.44,11.78,12.22,8.62,0.0,,,12.0,1.1,80.0,16.81,,52.0,EALC1,5134,-120.72472,40.61750
15,2018-08-01 15:00:00,,0.0,19.44,12.22,15.22,7.82,0.0,,,13.22,1.1,70.0,66.15,,,EALC1,5134,-120.72472,40.61750
16,2018-08-01 16:00:00,WSW,0.09,21.67,15.22,18.78,9.37,0.0,,,17.0,1.2,61.0,77.31,0.0,238.0,EALC1,5134,-120.72472,40.61750
17,2018-08-01 17:00:00,WSW,0.36,24.44,18.78,22.0,8.6,0.0,,,20.0,1.3,48.0,75.79,0.0,245.0,EALC1,5134,-120.72472,40.61750
18,2018-08-01 18:00:00,SW,0.54,26.67,22.0,26.5,2.93,0.0,,,24.22,1.5,25.0,18.01,203.2,222.0,EALC1,5134,-120.72472,40.61750
19,2018-08-01 19:00:00,SW,0.67,36.67,26.5,30.78,-1.58,0.0,,26.92,28.39,0.0,14.0,28.92,203.2,230.0,EALC1,5134,-120.72472,40.61750
20,2018-08-01 20:00:00,SW,0.85,44.44,30.78,32.22,0.74,0.0,,29.17,31.28,0.1,14.0,0.09,203.2,225.0,EALC1,5134,-120.72472,40.61750
21,2018-08-01 21:00:00,SW,0.94,49.44,32.22,33.0,0.79,0.0,,30.29,32.61,0.5,13.0,0.13,0.0,219.0,EALC1,5134,-120.72472,40.61750
22,2018-08-01 22:00:00,SSW,1.12,52.78,32.22,33.0,2.77,0.0,,30.33,32.61,0.8,15.0,0.12,,199.0,EALC1,5134,-120.72472,40.61750
23,2018-08-01 23:00:00,SSW,1.16,51.11,32.11,33.22,1.72,0.0,,30.21,32.5,0.0,14.0,0.14,203.2,208.0,EALC1,5134,-120.72472,40.61750
24,2018-08-02 00:00:00,SSW,1.03,45.0,31.61,32.39,1.32,0.0,,29.78,32.0,0.0,14.0,0.18,25.4,210.0,EALC1,5134,-120.72472,40.61750
25,2018-08-02 01:00:00,SSW,0.94,40.56,29.78,31.78,4.59,0.0,,28.85,30.78,1.5,19.0,0.21,25.4,205.0,EALC1,5134,-120.72472,40.61750
26,2018-08-02 02:00:00,SSW,0.85,37.22,27.5,29.78,5.28,0.0,,27.6,29.11,1.4,22.0,29.0,76.2,203.0,EALC1,5134,-120.72472,40.61750
27,2018-08-02 03:00:00,SSW,0.72,34.44,25.61,27.5,4.03,0.0,,26.24,26.89,1.5,23.0,11.39,25.4,206.0,EALC1,5134,-120.72472,40.61750
28,2018-08-02 04:00:00,SW,0.49,31.67,23.89,25.61,0.4,0.0,,,24.89,1.3,20.0,0.9,228.6,217.0,EALC1,5134,-120.72472,40.61750
29,2018-08-02 05:00:00,S,0.31,28.89,21.0,23.89,-0.12,0.0,,,22.72,1.1,22.0,0.15,50.8,170.0,EALC1,5134,-120.72472,40.61750
30,2018-08-02 06:00:00,SSW,0.22,26.67,20.11,22.0,-1.24,0.0,,,21.39,1.1,22.0,0.13,76.2,194.0,EALC1,5134,-120.72472,40.61750
31,2018-08-02 07:00:00,ESE,0.18,25.56,18.5,20.11,-3.02,0.0,,,19.28,1.1,22.0,0.08,228.6,123.0,EALC1,5134,-120.72472,40.61750
32,2018-08-02 08:00:00,E,0.22,23.89,16.11,18.5,1.48,0.0,360.934,,17.61,1.1,34.0,0.07,152.4,82.0,EALC1,5134,-120.72472,40.61750
33,2018-08-02 09:00:00,ENE,0.31,22.78,14.28,16.11,5.23,0.0,,,15.39,1.1,51.0,0.05,50.8,73.0,EALC1,5134,-120.72472,40.61750
34,2018-08-02 10:00:00,NE,0.05,21.67,12.78,14.28,7.93,0.0,,,13.78,0.9,68.0,0.05,50.8,51.0,EALC1,5134,-120.72472,40.61750
35,2018-08-02 11:00:00,E,0.05,20.56,12.0,12.78,6.91,0.0,,,12.5,1.1,69.0,0.02,76.2,95.0,EALC1,5134,-120.72472,40.61750
36,2018-08-02 12:00:00,E,0.05,19.44,10.72,12.0,5.95,0.0,,,11.5,1.0,69.0,0.03,127.0,80.0,EALC1,5134,-120.72472,40.61750
37,2018-08-02 13:00:00,E,0.05,18.33,10.28,10.72,4.13,0.0,,,10.5,1.0,65.0,0.26,127.0,98.0,EALC1,5134,-120.72472,40.61750
38,2018-08-02 14:00:00,NE,0.05,17.78,9.72,10.28,4.72,0.0,,,10.0,1.0,70.0,16.18,228.6,54.0,EALC1,5134,-120.72472,40.61750
39,2018-08-02 15:00:00,NE,0.09,17.78,10.28,13.61,3.72,0.0,,,11.28,1.1,60.0,63.99,127.0,53.0,EALC1,5134,-120.72472,40.61750
40,2018-08-02 16:00:00,NNW,0.13,20.0,13.61,16.39,6.84,0.0,,,15.11,1.1,58.0,112.1,228.6,327.0,EALC1,5134,-120.72472,40.61750
41,2018-08-02 17:00:00,SSW,0.27,22.22,16.39,18.5,7.09,0.0,,,17.39,1.3,51.0,149.7,127.0,213.0,EALC1,5134,-120.72472,40.61750
42,2018-08-02 18:00:00,SSW,0.27,25.0,18.5,23.72,1.56,0.0,,,20.22,1.5,29.0,100.5,203.2,204.0,EALC1,5134,-120.72472,40.61750
43,2018-08-02 19:00:00,SW,0.67,31.67,23.72,27.28,-1.9,0.0,,,24.78,1.7,17.0,23.59,50.8,222.0,EALC1,5134,-120.72472,40.61750
