,date_time,air_temp_low_24_hour_set_1,air_temp_high_24_hour_set_1,snow_depth_set_1,snow_accume_24_hour_set_1,precip_accum_24_hour_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 20:00:00,14.44,36.67,0.0,0.0,0.0,33.33,COOPCOPC1,2703,-122.34,41.98
1,2018-08-02 19:00:00,15.0,36.67,0.0,0.0,0.0,31.11,COOPCOPC1,2703,-122.34,41.98
2,2018-08-03 20:00:00,12.22,33.89,0.0,0.0,0.0,31.11,COOPCOPC1,2703,-122.34,41.98
3,2018-08-04 22:35:00,11.11,31.67,0.0,0.0,0.0,29.44,COOPCOPC1,2703,-122.34,41.98
4,2018-08-05 21:25:00,10.0,31.67,0.0,0.0,0.0,31.11,COOPCOPC1,2703,-122.34,41.98
5,2018-08-06 19:00:00,14.44,33.89,0.0,0.0,0.0,28.33,COOPCOPC1,2703,-122.34,41.98
6,2018-08-07 15:00:00,15.56,34.44,0.0,0.0,0.0,17.22,COOPCOPC1,2703,-122.34,41.98
7,2018-08-08 17:00:00,16.11,37.78,0.0,0.0,0.0,27.78,COOPCOPC1,2703,-122.34,41.98
8,2018-08-10 15:30:00,16.67,39.44,0.0,0.0,0.0,21.11,COOPCOPC1,2703,-122.34,41.98
9,2018-08-11 19:30:00,13.89,38.33,0.0,0.0,0.0,28.33,COOPCOPC1,2703,-122.34,41.98
10,2018-08-12 19:30:00,12.78,33.33,0.0,0.0,0.0,27.78,COOPCOPC1,2703,-122.34,41.98
11,2018-08-14 20:00:00,17.78,36.67,0.0,0.0,0.0,33.33,COOPCOPC1,2703,-122.34,41.98
12,2018-08-15 19:00:00,16.67,37.22,0.0,0.0,0.0,29.44,COOPCOPC1,2703,-122.34,41.98
13,2018-08-17 20:30:00,13.33,36.11,0.0,0.0,0.0,31.11,COOPCOPC1,2703,-122.34,41.98
