,date_time,wind_speed_set_1,wind_cardinal_direction_set_1d,wind_direction_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,1.52,W,266.54,31.24,CQ240,1391,-123.35264,39.41174
1,2018-08-01 01:00:00,1.61,W,273.1,30.35,CQ240,1391,-123.35264,39.41174
2,2018-08-01 02:00:00,0.9,W,271.63,28.92,CQ240,1391,-123.35264,39.41174
3,2018-08-01 03:00:00,0.8,W,270.86,26.33,CQ240,1391,-123.35264,39.41174
4,2018-08-01 04:00:00,0.9,W,268.44,23.28,CQ240,1391,-123.35264,39.41174
5,2018-08-01 05:00:00,0.45,WNW,283.74,20.33,CQ240,1391,-123.35264,39.41174
6,2018-08-01 06:00:00,0.49,W,278.8,18.12,CQ240,1391,-123.35264,39.41174
7,2018-08-01 07:00:00,0.27,,,16.32,CQ240,1391,-123.35264,39.41174
8,2018-08-01 08:00:00,0.09,WSW,243.5,14.58,CQ240,1391,-123.35264,39.41174
9,2018-08-01 09:00:00,0.22,WNW,287.06,13.16,CQ240,1391,-123.35264,39.41174
10,2018-08-01 10:00:00,0.31,,,12.02,CQ240,1391,-123.35264,39.41174
11,2018-08-01 11:00:00,0.13,SW,231.97,10.95,CQ240,1391,-123.35264,39.41174
12,2018-08-01 12:00:00,0.22,E,79.8,10.76,CQ240,1391,-123.35264,39.41174
13,2018-08-01 13:00:00,0.9,,,10.1,CQ240,1391,-123.35264,39.41174
14,2018-08-01 14:00:00,0.31,,,9.14,CQ240,1391,-123.35264,39.41174
15,2018-08-01 15:00:00,0.4,,,13.01,CQ240,1391,-123.35264,39.41174
16,2018-08-01 16:00:00,0.45,E,83.21,16.01,CQ240,1391,-123.35264,39.41174
17,2018-08-01 17:00:00,0.4,E,88.05,20.56,CQ240,1391,-123.35264,39.41174
18,2018-08-01 18:00:00,0.36,ESE,110.75,25.7,CQ240,1391,-123.35264,39.41174
19,2018-08-01 19:00:00,0.8,W,260.9,29.69,CQ240,1391,-123.35264,39.41174
20,2018-08-01 20:00:00,1.88,W,259.45,29.72,CQ240,1391,-123.35264,39.41174
21,2018-08-01 21:00:00,2.55,W,259.53,29.68,CQ240,1391,-123.35264,39.41174
22,2018-08-01 22:00:00,3.13,W,265.13,29.46,CQ240,1391,-123.35264,39.41174
23,2018-08-01 23:00:00,2.51,W,259.69,28.77,CQ240,1391,-123.35264,39.41174
24,2018-08-02 00:00:00,1.61,W,261.04,29.47,CQ240,1391,-123.35264,39.41174
25,2018-08-02 01:00:00,1.83,W,260.65,28.31,CQ240,1391,-123.35264,39.41174
26,2018-08-02 02:00:00,1.66,W,264.28,26.44,CQ240,1391,-123.35264,39.41174
27,2018-08-02 03:00:00,0.8,W,272.58,24.84,CQ240,1391,-123.35264,39.41174
28,2018-08-02 04:00:00,1.61,W,267.41,20.86,CQ240,1391,-123.35264,39.41174
29,2018-08-02 05:00:00,0.49,,,18.47,CQ240,1391,-123.35264,39.41174
30,2018-08-02 06:00:00,0.36,,,16.65,CQ240,1391,-123.35264,39.41174
31,2018-08-02 07:00:00,0.27,W,274.5,15.19,CQ240,1391,-123.35264,39.41174
32,2018-08-02 08:00:00,0.27,,,13.59,CQ240,1391,-123.35264,39.41174
33,2018-08-02 09:00:00,0.18,W,265.0,12.73,CQ240,1391,-123.35264,39.41174
34,2018-08-02 10:00:00,0.49,,,11.67,CQ240,1391,-123.35264,39.41174
35,2018-08-02 11:00:00,0.54,,,10.77,CQ240,1391,-123.35264,39.41174
36,2018-08-02 12:00:00,0.31,,,10.21,CQ240,1391,-123.35264,39.41174
37,2018-08-02 13:00:00,1.25,E,87.9,9.57,CQ240,1391,-123.35264,39.41174
38,2018-08-02 14:00:00,0.27,NE,50.61,9.22,CQ240,1391,-123.35264,39.41174
39,2018-08-02 15:00:00,0.27,ENE,74.28,12.46,CQ240,1391,-123.35264,39.41174
40,2018-08-02 16:00:00,0.22,ENE,72.91,15.63,CQ240,1391,-123.35264,39.41174
41,2018-08-02 17:00:00,0.31,,,20.49,CQ240,1391,-123.35264,39.41174
42,2018-08-02 18:00:00,0.4,SE,140.31,24.82,CQ240,1391,-123.35264,39.41174
43,2018-08-02 19:00:00,1.38,W,278.35,27.25,CQ240,1391,-123.35264,39.41174
44,2018-08-02 20:00:00,2.41,W,266.05,27.64,CQ240,1391,-123.35264,39.41174
45,2018-08-02 21:00:00,2.55,WSW,257.3,28.34,CQ240,1391,-123.35264,39.41174
46,2018-08-02 22:00:00,2.68,WSW,258.07,29.03,CQ240,1391,-123.35264,39.41174
47,2018-08-02 23:00:00,3.04,WSW,258.04,27.69,CQ240,1391,-123.35264,39.41174
48,2018-08-03 00:00:00,2.55,W,259.06,27.04,CQ240,1391,-123.35264,39.41174
49,2018-08-03 01:00:00,1.38,W,260.85,27.37,CQ240,1391,-123.35264,39.41174
50,2018-08-03 02:00:00,1.83,W,266.82,26.03,CQ240,1391,-123.35264,39.41174
51,2018-08-03 03:00:00,1.21,W,275.63,23.86,CQ240,1391,-123.35264,39.41174
52,2018-08-03 04:00:00,0.67,W,277.77,20.96,CQ240,1391,-123.35264,39.41174
53,2018-08-03 05:00:00,0.58,W,272.63,18.48,CQ240,1391,-123.35264,39.41174
54,2018-08-03 06:00:00,0.31,,,16.23,CQ240,1391,-123.35264,39.41174
55,2018-08-03 07:00:00,0.09,WNW,286.2,14.17,CQ240,1391,-123.35264,39.41174
56,2018-08-03 08:00:00,0.13,W,276.22,13.04,CQ240,1391,-123.35264,39.41174
57,2018-08-03 09:00:00,0.31,E,78.81,11.67,CQ240,1391,-123.35264,39.41174
58,2018-08-03 10:00:00,0.05,W,276.83,10.7,CQ240,1391,-123.35264,39.41174
59,2018-08-03 11:00:00,0.54,,,10.26,CQ240,1391,-123.35264,39.41174
60,2018-08-03 12:00:00,0.98,E,81.9,9.24,CQ240,1391,-123.35264,39.41174
61,2018-08-03 13:00:00,0.05,NE,52.3,8.64,CQ240,1391,-123.35264,39.41174
62,2018-08-03 14:00:00,0.22,ENE,71.06,8.49,CQ240,1391,-123.35264,39.41174
63,2018-08-03 15:00:00,0.72,E,85.52,12.04,CQ240,1391,-123.35264,39.41174
64,2018-08-03 16:00:00,0.4,E,79.66,15.89,CQ240,1391,-123.35264,39.41174
