,date_time,precip_accum_one_hour_set_1,precip_accum_six_hour_set_1,snow_accume_24_hour_set_1,precip_accum_12_hour_set_1,precip_accum_24_hour_set_1,precip_accum_three_hour_set_1,snow_depth_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COOPPRPC1,1458,-121.98,40.99
1,2018-08-01 01:00:00,0.0,0.0,,0.0,0.0,0.0,,COOPPRPC1,1458,-121.98,40.99
2,2018-08-01 02:00:00,0.0,0.0,,0.0,0.0,0.0,,COOPPRPC1,1458,-121.98,40.99
3,2018-08-01 03:00:00,0.0,0.0,,0.0,0.0,0.0,,COOPPRPC1,1458,-121.98,40.99
4,2018-08-01 04:00:00,0.0,0.0,,0.0,0.0,0.0,,COOPPRPC1,1458,-121.98,40.99
5,2018-08-01 05:00:00,0.0,0.0,,0.0,0.0,0.0,,COOPPRPC1,1458,-121.98,40.99
6,2018-08-01 06:00:00,0.0,0.0,,0.0,0.0,0.0,,COOPPRPC1,1458,-121.98,40.99
7,2018-08-01 07:00:00,0.0,0.0,,0.0,0.0,0.0,,COOPPRPC1,1458,-121.98,40.99
8,2018-08-01 08:00:00,0.0,0.0,,0.0,0.0,0.0,,COOPPRPC1,1458,-121.98,40.99
9,2018-08-01 09:00:00,0.0,0.0,,0.0,0.0,0.0,,COOPPRPC1,1458,-121.98,40.99
10,2018-08-01 10:00:00,0.0,0.0,,0.0,0.0,0.0,,COOPPRPC1,1458,-121.98,40.99
11,2018-08-01 11:00:00,0.0,0.0,,0.0,0.0,0.0,,COOPPRPC1,1458,-121.98,40.99
12,2018-08-01 12:00:00,0.0,0.0,,0.0,0.0,0.0,,COOPPRPC1,1458,-121.98,40.99
13,2018-08-01 13:00:00,0.0,0.0,,0.0,0.0,0.0,,COOPPRPC1,1458,-121.98,40.99
14,2018-08-01 14:00:00,0.0,0.0,,0.0,0.0,0.0,,COOPPRPC1,1458,-121.98,40.99
15,2018-08-01 15:00:00,0.0,0.0,,0.0,0.0,0.0,,COOPPRPC1,1458,-121.98,40.99
