,date_time,precip_accum_set_1,T_water_temp_set_1,precip_accum_one_hour_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,75.946,20.11,,FARC1,5188,-120.03306,39.42806
1,2018-08-01 00:15:00,75.946,20.17,,FARC1,5188,-120.03306,39.42806
2,2018-08-01 00:30:00,75.946,20.17,,FARC1,5188,-120.03306,39.42806
3,2018-08-01 00:45:00,75.946,20.17,,FARC1,5188,-120.03306,39.42806
4,2018-08-01 01:00:00,75.946,20.11,0.0,FARC1,5188,-120.03306,39.42806
5,2018-08-01 01:15:00,75.946,20.06,,FARC1,5188,-120.03306,39.42806
6,2018-08-01 01:30:00,75.946,19.94,,FARC1,5188,-120.03306,39.42806
7,2018-08-01 01:45:00,75.946,19.78,,FARC1,5188,-120.03306,39.42806
8,2018-08-01 02:00:00,75.946,19.67,0.0,FARC1,5188,-120.03306,39.42806
9,2018-08-01 02:15:00,75.946,19.56,,FARC1,5188,-120.03306,39.42806
10,2018-08-01 02:30:00,75.946,19.5,,FARC1,5188,-120.03306,39.42806
11,2018-08-01 02:45:00,75.946,19.5,,FARC1,5188,-120.03306,39.42806
12,2018-08-01 03:00:00,75.946,19.44,0.0,FARC1,5188,-120.03306,39.42806
13,2018-08-01 03:15:00,75.946,19.44,,FARC1,5188,-120.03306,39.42806
14,2018-08-01 03:30:00,75.946,19.39,,FARC1,5188,-120.03306,39.42806
15,2018-08-01 03:45:00,75.946,19.33,,FARC1,5188,-120.03306,39.42806
16,2018-08-01 04:00:00,75.946,19.22,0.0,FARC1,5188,-120.03306,39.42806
17,2018-08-01 04:15:00,75.946,19.17,,FARC1,5188,-120.03306,39.42806
18,2018-08-01 04:30:00,75.946,19.11,,FARC1,5188,-120.03306,39.42806
19,2018-08-01 04:45:00,75.946,19.06,,FARC1,5188,-120.03306,39.42806
20,2018-08-01 05:00:00,75.946,19.0,0.0,FARC1,5188,-120.03306,39.42806
21,2018-08-01 05:15:00,75.946,18.94,,FARC1,5188,-120.03306,39.42806
22,2018-08-01 05:30:00,75.946,18.83,,FARC1,5188,-120.03306,39.42806
23,2018-08-01 05:45:00,75.946,18.78,,FARC1,5188,-120.03306,39.42806
24,2018-08-01 06:00:00,75.946,18.72,0.0,FARC1,5188,-120.03306,39.42806
25,2018-08-01 06:15:00,75.946,18.67,,FARC1,5188,-120.03306,39.42806
26,2018-08-01 06:30:00,75.946,18.61,,FARC1,5188,-120.03306,39.42806
27,2018-08-01 06:45:00,75.946,18.56,,FARC1,5188,-120.03306,39.42806
28,2018-08-01 07:00:00,75.946,18.5,0.0,FARC1,5188,-120.03306,39.42806
29,2018-08-01 07:15:00,75.946,18.44,,FARC1,5188,-120.03306,39.42806
30,2018-08-01 07:30:00,75.946,18.33,,FARC1,5188,-120.03306,39.42806
31,2018-08-01 07:45:00,75.946,18.28,,FARC1,5188,-120.03306,39.42806
32,2018-08-01 08:00:00,75.946,18.22,0.0,FARC1,5188,-120.03306,39.42806
33,2018-08-01 08:15:00,75.946,18.17,,FARC1,5188,-120.03306,39.42806
34,2018-08-01 08:30:00,75.946,18.06,,FARC1,5188,-120.03306,39.42806
35,2018-08-01 08:45:00,75.946,18.0,,FARC1,5188,-120.03306,39.42806
36,2018-08-01 09:00:00,75.946,17.94,0.0,FARC1,5188,-120.03306,39.42806
37,2018-08-01 09:15:00,75.946,17.83,,FARC1,5188,-120.03306,39.42806
38,2018-08-01 09:30:00,75.946,17.78,,FARC1,5188,-120.03306,39.42806
39,2018-08-01 09:45:00,75.946,17.72,,FARC1,5188,-120.03306,39.42806
40,2018-08-01 10:00:00,75.946,17.61,0.0,FARC1,5188,-120.03306,39.42806
41,2018-08-01 10:15:00,75.946,17.56,,FARC1,5188,-120.03306,39.42806
42,2018-08-01 10:30:00,75.946,17.5,,FARC1,5188,-120.03306,39.42806
43,2018-08-01 10:45:00,75.946,17.44,,FARC1,5188,-120.03306,39.42806
44,2018-08-01 11:00:00,75.946,17.39,0.0,FARC1,5188,-120.03306,39.42806
45,2018-08-01 11:15:00,75.946,17.33,,FARC1,5188,-120.03306,39.42806
46,2018-08-01 11:30:00,75.946,17.28,,FARC1,5188,-120.03306,39.42806
47,2018-08-01 11:45:00,75.946,17.17,,FARC1,5188,-120.03306,39.42806
