,date_time,wind_cardinal_direction_set_1d,wind_gust_set_1,precip_accum_since_local_midnight_set_1,dew_point_temperature_set_1d,heat_index_set_1d,precip_accum_fifteen_minute_set_1,snow_depth_set_1,relative_humidity_set_1,wind_speed_set_1,air_temp_set_1,wind_direction_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,W,5.58,0.0,4.14,,0.0,4196.08,28.49,2.4,23.48,266.8,BMTSV,8000,-120.263775,39.192188
1,2018-08-01 00:15:00,WSW,6.2,0.0,4.14,,0.0,4170.68,29.0,3.45,23.19,256.0,BMTSV,8000,-120.263775,39.192188
2,2018-08-01 00:30:00,W,6.39,0.0,4.29,,0.0,4137.66,30.56,3.14,22.51,260.9,BMTSV,8000,-120.263775,39.192188
3,2018-08-01 00:45:00,WSW,6.39,0.0,4.79,,0.0,4107.18,31.5,3.1,22.58,248.4,BMTSV,8000,-120.263775,39.192188
4,2018-08-01 01:00:00,WSW,6.02,0.0,5.04,,0.0,4074.16,33.09,3.93,22.07,238.5,BMTSV,8000,-120.263775,39.192188
5,2018-08-01 01:15:00,WSW,6.04,0.0,5.34,,0.0,4028.44,34.52,2.94,21.72,246.9,BMTSV,8000,-120.263775,39.192188
6,2018-08-01 01:30:00,WSW,6.08,0.0,5.68,,0.0,3990.34,35.97,2.97,21.43,254.8,BMTSV,8000,-120.263775,39.192188
7,2018-08-01 01:45:00,W,7.71,0.0,5.63,,0.0,3957.32,37.01,3.25,20.92,262.5,BMTSV,8000,-120.263775,39.192188
8,2018-08-01 02:00:00,WNW,6.86,0.0,6.15,,0.0,3929.38,38.79,2.92,20.74,283.0,BMTSV,8000,-120.263775,39.192188
9,2018-08-01 02:15:00,WNW,5.55,0.0,6.54,,0.0,3903.98,39.77,2.96,20.77,291.9,BMTSV,8000,-120.263775,39.192188
10,2018-08-01 02:30:00,WNW,7.52,0.0,6.47,,0.0,3881.12,40.63,2.4,20.34,288.4,BMTSV,8000,-120.263775,39.192188
