,date_time,wind_speed_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,dew_point_temperature_set_1d,precip_accum_set_1,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,solar_radiation_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,3.62,NNW,5.0,13.24,139.192,,333.6,43.88,369.23,26.54,WRDO,4080,-121.78694,42.01694
1,2018-08-01 00:15:00,3.17,NNW,4.41,13.74,138.938,27.08,338.9,44.09,277.18,27.0,WRDO,4080,-121.78694,42.01694
2,2018-08-01 00:30:00,3.05,N,4.31,14.41,138.938,27.19,351.0,46.05,263.94,27.0,WRDO,4080,-121.78694,42.01694
3,2018-08-01 00:45:00,3.37,N,4.7,14.22,138.938,,352.2,46.8,204.78,26.52,WRDO,4080,-121.78694,42.01694
4,2018-08-01 01:00:00,3.26,N,4.41,14.5,138.938,,350.9,49.09,163.87,26.02,WRDO,4080,-121.78694,42.01694
5,2018-08-01 01:15:00,3.05,N,4.02,15.11,138.938,,351.8,51.07,242.67,26.02,WRDO,4080,-121.78694,42.01694
6,2018-08-01 01:30:00,2.86,NNW,4.51,15.06,138.938,,341.1,50.9,203.04,26.02,WRDO,4080,-121.78694,42.01694
7,2018-08-01 01:45:00,3.04,NNW,5.1,14.66,138.938,,342.9,51.04,226.75,25.55,WRDO,4080,-121.78694,42.01694
8,2018-08-01 02:00:00,3.28,NNW,5.1,14.15,138.938,,328.7,48.01,232.44,26.02,WRDO,4080,-121.78694,42.01694
9,2018-08-01 02:15:00,2.6,N,4.31,14.69,138.938,,353.8,51.74,165.96,25.35,WRDO,4080,-121.78694,42.01694
10,2018-08-01 02:30:00,2.88,N,5.49,13.64,138.938,,353.0,49.02,93.56,25.12,WRDO,4080,-121.78694,42.01694
11,2018-08-01 02:45:00,3.2,NNW,4.9,12.33,138.684,,347.3,48.32,62.53,23.94,WRDO,4080,-121.78694,42.01694
12,2018-08-01 03:00:00,3.28,N,4.6,12.4,138.684,,351.9,50.66,37.42,23.23,WRDO,4080,-121.78694,42.01694
13,2018-08-01 03:15:00,3.34,N,5.29,12.19,138.684,,350.9,49.68,10.34,23.33,WRDO,4080,-121.78694,42.01694
14,2018-08-01 03:30:00,3.74,NNW,5.49,11.63,138.684,,346.7,49.52,5.23,22.77,WRDO,4080,-121.78694,42.01694
15,2018-08-01 03:45:00,3.33,NNW,4.51,11.78,138.684,,341.7,52.13,1.98,22.09,WRDO,4080,-121.78694,42.01694
16,2018-08-01 04:00:00,4.09,NNW,6.08,11.91,138.684,,333.1,50.13,0.23,22.87,WRDO,4080,-121.78694,42.01694
17,2018-08-01 04:15:00,2.32,NW,5.0,10.97,138.684,,307.2,56.34,0.12,19.97,WRDO,4080,-121.78694,42.01694
18,2018-08-01 04:30:00,2.27,NW,4.31,12.02,138.684,,312.8,57.39,0.0,20.78,WRDO,4080,-121.78694,42.01694
19,2018-08-01 04:45:00,1.92,NW,3.63,12.24,138.684,,308.3,55.4,0.0,21.59,WRDO,4080,-121.78694,42.01694
20,2018-08-01 05:00:00,1.93,NNW,4.12,11.04,138.684,,334.6,53.7,0.0,20.82,WRDO,4080,-121.78694,42.01694
21,2018-08-01 05:15:00,1.74,NNW,2.35,12.4,138.684,,327.9,60.01,0.0,20.46,WRDO,4080,-121.78694,42.01694
22,2018-08-01 05:30:00,1.62,NW,2.64,12.23,138.684,,307.2,63.15,0.0,19.46,WRDO,4080,-121.78694,42.01694
23,2018-08-01 05:45:00,0.82,NW,1.67,12.12,138.684,,323.1,63.27,0.0,19.32,WRDO,4080,-121.78694,42.01694
24,2018-08-01 06:00:00,1.27,NNW,2.35,10.35,138.684,,337.4,60.71,0.0,18.11,WRDO,4080,-121.78694,42.01694
25,2018-08-01 06:15:00,2.05,NNW,2.84,11.21,138.684,,335.1,55.36,0.0,20.5,WRDO,4080,-121.78694,42.01694
26,2018-08-01 06:30:00,1.55,WNW,2.45,10.42,138.684,,301.9,58.84,0.0,18.68,WRDO,4080,-121.78694,42.01694
27,2018-08-01 06:45:00,1.52,W,2.45,9.05,138.684,,269.3,59.04,0.0,17.17,WRDO,4080,-121.78694,42.01694
28,2018-08-01 07:00:00,1.12,W,2.35,10.0,138.684,,278.9,55.66,0.0,19.13,WRDO,4080,-121.78694,42.01694
29,2018-08-01 07:15:00,1.02,WNW,2.16,9.29,138.684,,281.8,59.87,0.0,17.21,WRDO,4080,-121.78694,42.01694
30,2018-08-01 07:30:00,1.09,WNW,2.06,8.4,138.684,,291.3,60.51,0.0,16.1,WRDO,4080,-121.78694,42.01694
31,2018-08-01 07:45:00,0.85,N,1.67,8.51,138.684,,9.4,68.6,0.0,14.25,WRDO,4080,-121.78694,42.01694
32,2018-08-01 08:00:00,0.56,NE,1.28,9.98,138.684,,36.54,71.88,0.0,15.06,WRDO,4080,-121.78694,42.01694
33,2018-08-01 08:15:00,0.32,NW,1.57,11.08,138.684,,323.0,74.84,0.0,15.56,WRDO,4080,-121.78694,42.01694
34,2018-08-01 08:30:00,0.75,SSW,1.37,8.65,138.684,,209.5,78.97,0.12,12.23,WRDO,4080,-121.78694,42.01694
35,2018-08-01 08:45:00,0.56,SSE,1.37,8.43,138.684,,163.6,82.6,0.12,11.32,WRDO,4080,-121.78694,42.01694
36,2018-08-01 09:00:00,0.83,SSE,1.86,8.98,138.684,,162.4,80.9,0.12,12.2,WRDO,4080,-121.78694,42.01694
37,2018-08-01 09:15:00,0.57,SW,1.08,8.92,138.684,,233.2,73.77,0.12,13.55,WRDO,4080,-121.78694,42.01694
38,2018-08-01 09:30:00,0.51,ESE,2.16,8.04,138.684,,119.5,77.4,0.12,11.91,WRDO,4080,-121.78694,42.01694
39,2018-08-01 09:45:00,1.37,ESE,1.96,8.34,138.684,,112.6,85.7,0.12,10.66,WRDO,4080,-121.78694,42.01694
40,2018-08-01 10:00:00,1.33,SE,1.86,8.73,138.684,,130.4,88.4,0.12,10.59,WRDO,4080,-121.78694,42.01694
41,2018-08-01 10:15:00,0.82,SSW,1.18,8.74,138.684,,193.0,90.4,0.12,10.26,WRDO,4080,-121.78694,42.01694
42,2018-08-01 10:30:00,0.53,WSW,1.08,9.49,138.938,,237.3,89.7,0.12,11.14,WRDO,4080,-121.78694,42.01694
43,2018-08-01 10:45:00,0.53,NW,0.98,10.66,138.938,,311.6,87.6,0.12,12.69,WRDO,4080,-121.78694,42.01694
44,2018-08-01 11:00:00,1.09,E,1.96,7.57,138.938,,96.4,89.8,0.0,9.18,WRDO,4080,-121.78694,42.01694
45,2018-08-01 11:15:00,1.85,SE,2.25,7.63,138.938,,131.3,93.0,0.0,8.71,WRDO,4080,-121.78694,42.01694
46,2018-08-01 11:30:00,0.77,SSW,1.76,9.03,138.938,,200.8,93.6,0.0,10.03,WRDO,4080,-121.78694,42.01694
47,2018-08-01 11:45:00,1.04,WSW,1.67,9.23,138.938,,251.8,91.5,0.0,10.57,WRDO,4080,-121.78694,42.01694
48,2018-08-01 12:00:00,0.98,WSW,1.28,8.37,138.938,,247.7,87.7,0.0,10.34,WRDO,4080,-121.78694,42.01694
49,2018-08-01 12:15:00,0.74,S,1.47,6.71,138.938,,187.1,88.1,0.0,8.59,WRDO,4080,-121.78694,42.01694
50,2018-08-01 12:30:00,1.14,SE,1.47,5.91,138.938,,136.8,91.2,0.0,7.27,WRDO,4080,-121.78694,42.01694
51,2018-08-01 12:45:00,1.01,SE,1.47,7.06,138.938,,138.7,95.0,0.12,7.82,WRDO,4080,-121.78694,42.01694
52,2018-08-01 13:00:00,0.38,SSE,0.78,7.99,138.938,,162.4,98.0,1.39,8.29,WRDO,4080,-121.78694,42.01694
53,2018-08-01 13:15:00,0.1,SE,0.68,8.83,138.938,,144.8,98.4,5.11,9.07,WRDO,4080,-121.78694,42.01694
54,2018-08-01 13:30:00,0.17,SE,0.88,8.95,138.938,,132.9,96.6,15.11,9.47,WRDO,4080,-121.78694,42.01694
55,2018-08-01 13:45:00,0.33,ESE,0.68,8.39,138.938,,105.9,90.9,31.15,9.82,WRDO,4080,-121.78694,42.01694
56,2018-08-01 14:00:00,0.26,NE,0.78,8.44,138.938,,35.43,92.7,54.39,9.58,WRDO,4080,-121.78694,42.01694
57,2018-08-01 14:15:00,0.2,ENE,0.59,8.94,138.938,,78.37,93.9,80.54,9.89,WRDO,4080,-121.78694,42.01694
58,2018-08-01 14:30:00,0.48,N,0.88,10.81,138.938,,355.0,90.2,109.13,12.39,WRDO,4080,-121.78694,42.01694
59,2018-08-01 14:45:00,0.42,NNE,0.78,8.89,138.938,,27.45,83.4,143.76,11.64,WRDO,4080,-121.78694,42.01694
60,2018-08-01 15:00:00,0.48,NE,0.98,10.67,138.938,,49.85,87.8,167.12,12.66,WRDO,4080,-121.78694,42.01694
61,2018-08-01 15:15:00,0.47,N,1.28,10.39,138.938,,7.67,79.72,205.94,13.87,WRDO,4080,-121.78694,42.01694
62,2018-08-01 15:30:00,1.06,NNW,1.37,9.32,138.938,,335.4,71.08,244.06,14.55,WRDO,4080,-121.78694,42.01694
63,2018-08-01 15:45:00,0.93,NNW,1.28,9.68,138.938,,338.6,69.74,270.44,15.22,WRDO,4080,-121.78694,42.01694
64,2018-08-01 16:00:00,0.67,NNW,1.08,10.53,138.938,,331.0,70.08,306.24,16.03,WRDO,4080,-121.78694,42.01694
65,2018-08-01 16:15:00,0.14,WNW,0.78,11.38,138.938,,287.4,67.5,346.45,17.51,WRDO,4080,-121.78694,42.01694
66,2018-08-01 16:30:00,0.12,SE,0.78,10.89,138.938,,136.1,58.29,398.29,19.33,WRDO,4080,-121.78694,42.01694
67,2018-08-01 16:45:00,0.15,SE,0.88,11.23,138.938,,125.3,53.72,432.11,21.01,WRDO,4080,-121.78694,42.01694
68,2018-08-01 17:00:00,0.34,SE,1.28,11.81,138.938,,133.2,55.59,484.17,21.08,WRDO,4080,-121.78694,42.01694
69,2018-08-01 17:15:00,0.26,WSW,0.88,11.66,138.938,,247.2,55.29,555.42,21.01,WRDO,4080,-121.78694,42.01694
70,2018-08-01 17:30:00,0.45,NW,1.18,12.74,138.938,,308.7,59.48,561.11,20.97,WRDO,4080,-121.78694,42.01694
71,2018-08-01 17:45:00,0.48,NNW,1.28,12.94,138.938,,336.4,57.62,611.55,21.7,WRDO,4080,-121.78694,42.01694
72,2018-08-01 18:00:00,0.68,NW,1.28,12.87,138.938,,322.6,55.5,637.7,22.24,WRDO,4080,-121.78694,42.01694
73,2018-08-01 18:15:00,0.38,NNW,1.18,13.72,138.938,,342.1,54.92,657.22,23.32,WRDO,4080,-121.78694,42.01694
74,2018-08-01 18:30:00,0.44,NNE,1.57,12.47,138.938,,31.42,49.75,684.65,23.61,WRDO,4080,-121.78694,42.01694
75,2018-08-01 18:45:00,0.55,SSE,1.67,12.92,138.684,,150.9,48.2,724.86,24.62,WRDO,4080,-121.78694,42.01694
76,2018-08-01 19:00:00,0.52,ESE,1.67,12.8,138.684,,121.9,44.4,740.9,25.85,WRDO,4080,-121.78694,42.01694
77,2018-08-01 19:15:00,0.59,WNW,1.37,11.6,138.684,,281.3,43.26,769.14,24.97,WRDO,4080,-121.78694,42.01694
78,2018-08-01 19:30:00,0.82,NNW,1.67,11.83,138.684,,346.9,43.67,802.62,25.07,WRDO,4080,-121.78694,42.01694
79,2018-08-01 19:45:00,0.99,NNW,1.86,11.32,138.684,,343.9,40.22,832.6,25.88,WRDO,4080,-121.78694,42.01694
80,2018-08-01 20:00:00,1.15,NE,2.25,10.15,138.684,26.66,41.47,34.8,827.72,27.0,WRDO,4080,-121.78694,42.01694
81,2018-08-01 20:15:00,1.09,NNE,2.45,10.04,138.684,,22.25,35.43,828.07,26.57,WRDO,4080,-121.78694,42.01694
82,2018-08-01 20:30:00,1.29,NNW,2.35,10.64,138.684,26.77,334.4,35.59,820.05,27.17,WRDO,4080,-121.78694,42.01694
83,2018-08-01 20:45:00,1.5,N,2.55,10.3,138.684,26.86,351.6,34.33,805.75,27.39,WRDO,4080,-121.78694,42.01694
84,2018-08-01 21:00:00,2.07,N,3.04,11.05,138.684,27.13,351.0,35.51,806.22,27.67,WRDO,4080,-121.78694,42.01694
85,2018-08-01 21:15:00,2.34,N,3.92,12.18,138.684,27.66,353.8,37.05,797.73,28.22,WRDO,4080,-121.78694,42.01694
86,2018-08-01 21:30:00,2.15,N,4.02,10.82,138.684,27.78,360.0,32.96,782.39,28.67,WRDO,4080,-121.78694,42.01694
87,2018-08-01 21:45:00,2.34,NNE,3.72,10.83,138.684,28.18,15.51,31.94,758.68,29.22,WRDO,4080,-121.78694,42.01694
88,2018-08-01 22:00:00,1.92,N,3.82,10.32,138.684,28.16,9.5,30.75,742.88,29.28,WRDO,4080,-121.78694,42.01694
89,2018-08-01 22:15:00,2.13,N,3.33,10.29,138.684,28.24,355.6,30.49,703.36,29.39,WRDO,4080,-121.78694,42.01694
90,2018-08-01 22:30:00,1.74,NNE,3.33,10.93,138.938,28.5,27.63,31.43,658.04,29.61,WRDO,4080,-121.78694,42.01694
91,2018-08-01 22:45:00,2.3,NNE,5.58,9.26,138.938,28.41,13.3,27.81,650.37,29.78,WRDO,4080,-121.78694,42.01694
92,2018-08-01 23:00:00,1.74,NNW,3.33,7.88,138.938,28.27,333.9,25.31,623.87,29.78,WRDO,4080,-121.78694,42.01694
93,2018-08-01 23:15:00,1.83,WNW,3.72,9.47,138.938,28.39,292.4,28.3,583.89,29.72,WRDO,4080,-121.78694,42.01694
94,2018-08-01 23:30:00,2.88,WNW,4.6,10.99,138.938,27.64,298.7,33.79,574.82,28.44,WRDO,4080,-121.78694,42.01694
95,2018-08-01 23:45:00,3.67,WNW,5.49,11.5,138.938,27.95,303.0,34.26,530.43,28.78,WRDO,4080,-121.78694,42.01694
96,2018-08-02 00:00:00,3.89,NW,5.58,11.09,139.192,27.77,308.3,33.67,469.65,28.61,WRDO,4080,-121.78694,42.01694
97,2018-08-02 00:15:00,3.72,WNW,5.1,10.94,139.192,27.55,303.7,33.89,430.71,28.33,WRDO,4080,-121.78694,42.01694
98,2018-08-02 00:30:00,3.61,W,7.25,10.14,139.192,26.98,278.5,33.54,380.74,27.61,WRDO,4080,-121.78694,42.01694
99,2018-08-02 00:45:00,2.66,WNW,3.92,11.93,139.192,27.47,296.4,36.91,342.73,28.0,WRDO,4080,-121.78694,42.01694
100,2018-08-02 01:00:00,3.36,NW,5.49,10.91,139.192,27.18,321.7,34.95,311.82,27.78,WRDO,4080,-121.78694,42.01694
101,2018-08-02 01:15:00,2.75,NNW,3.63,12.43,139.192,26.52,333.7,41.15,272.07,26.72,WRDO,4080,-121.78694,42.01694
102,2018-08-02 01:30:00,2.34,NW,4.6,13.39,139.192,,325.0,45.18,220.7,26.21,WRDO,4080,-121.78694,42.01694
