,date_time,wind_cardinal_direction_set_1d,wind_gust_set_1,dew_point_temperature_set_1d,precip_accum_one_hour_set_1,precip_accum_set_1,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,S,3.58,10.44,,1029.462,32.78,181.0,23.0,0.45,34.44,PDEC1,1750,-121.62472,39.75361
1,2018-08-01 01:00:00,SSW,2.23,10.61,0.0,1029.462,32.27,206.0,24.0,0.45,33.89,PDEC1,1750,-121.62472,39.75361
2,2018-08-01 02:00:00,S,0.9,12.97,0.0,1029.462,32.26,171.0,29.0,0.45,33.33,PDEC1,1750,-121.62472,39.75361
3,2018-08-01 03:00:00,,0.45,15.43,0.0,1029.462,28.87,,44.0,0.0,28.89,PDEC1,1750,-121.62472,39.75361
4,2018-08-01 04:00:00,,0.45,16.0,0.0,1029.462,27.22,,52.0,0.0,26.67,PDEC1,1750,-121.62472,39.75361
5,2018-08-01 05:00:00,,0.0,15.55,,1029.462,,,54.0,0.0,25.56,PDEC1,1750,-121.62472,39.75361
6,2018-08-01 06:00:00,E,0.45,15.07,0.0,1029.462,,80.0,56.0,0.45,24.44,PDEC1,1750,-121.62472,39.75361
7,2018-08-01 07:00:00,,0.45,13.99,0.0,1029.462,,,54.0,0.0,23.89,PDEC1,1750,-121.62472,39.75361
8,2018-08-01 08:00:00,,0.45,11.54,0.0,1029.462,,,46.0,0.0,23.89,PDEC1,1750,-121.62472,39.75361
9,2018-08-01 09:00:00,,0.9,8.03,0.0,1029.462,,,34.0,0.0,25.0,PDEC1,1750,-121.62472,39.75361
10,2018-08-01 10:00:00,,0.45,7.88,0.0,1029.462,,,36.0,0.0,23.89,PDEC1,1750,-121.62472,39.75361
11,2018-08-01 11:00:00,ESE,0.45,7.29,0.0,1029.462,,102.0,37.0,0.45,22.78,PDEC1,1750,-121.62472,39.75361
12,2018-08-01 12:00:00,,0.45,7.8,,1029.462,,,41.0,0.0,21.67,PDEC1,1750,-121.62472,39.75361
13,2018-08-01 13:00:00,NE,0.9,7.99,,1029.462,,55.0,43.0,0.9,21.11,PDEC1,1750,-121.62472,39.75361
14,2018-08-01 14:00:00,NE,0.45,8.33,0.0,1029.462,,44.0,44.0,0.45,21.11,PDEC1,1750,-121.62472,39.75361
15,2018-08-01 15:00:00,,0.45,10.19,0.0,1029.462,,,45.0,0.0,22.78,PDEC1,1750,-121.62472,39.75361
16,2018-08-01 16:00:00,,0.45,9.61,0.0,1029.462,27.78,,30.0,0.0,28.89,PDEC1,1750,-121.62472,39.75361
17,2018-08-01 17:00:00,NW,0.9,9.59,,1029.462,28.19,319.0,29.0,0.45,29.44,PDEC1,1750,-121.62472,39.75361
18,2018-08-01 18:00:00,SSW,1.34,10.56,0.0,1029.462,29.21,206.0,29.0,1.34,30.56,PDEC1,1750,-121.62472,39.75361
19,2018-08-01 19:00:00,SSW,2.68,9.9,,1029.462,30.07,201.0,26.0,0.45,31.67,PDEC1,1750,-121.62472,39.75361
20,2018-08-01 20:00:00,S,2.68,9.66,,1029.462,31.04,180.0,24.0,1.79,32.78,PDEC1,1750,-121.62472,39.75361
21,2018-08-01 21:00:00,WSW,4.02,11.32,,1029.462,31.87,246.0,26.0,2.23,33.33,PDEC1,1750,-121.62472,39.75361
22,2018-08-01 22:00:00,S,3.13,11.22,0.0,1029.462,32.39,176.0,25.0,0.45,33.89,PDEC1,1750,-121.62472,39.75361
23,2018-08-01 23:00:00,SSW,3.13,11.22,0.0,1029.462,32.39,208.0,25.0,0.9,33.89,PDEC1,1750,-121.62472,39.75361
24,2018-08-02 00:00:00,WSW,3.13,9.78,,1029.462,32.65,247.0,22.0,1.34,34.44,PDEC1,1750,-121.62472,39.75361
25,2018-08-02 01:00:00,WSW,2.68,9.5,,1029.462,31.53,238.0,23.0,1.34,33.33,PDEC1,1750,-121.62472,39.75361
26,2018-08-02 02:00:00,S,2.23,13.34,,1029.462,29.26,186.0,36.0,1.79,30.0,PDEC1,1750,-121.62472,39.75361
27,2018-08-02 03:00:00,,0.9,14.25,0.0,1029.462,27.31,,45.0,0.0,27.22,PDEC1,1750,-121.62472,39.75361
28,2018-08-02 04:00:00,,0.45,14.04,,1029.462,,,49.0,0.0,25.56,PDEC1,1750,-121.62472,39.75361
29,2018-08-02 05:00:00,,0.45,12.89,0.0,1029.462,,,47.0,0.0,25.0,PDEC1,1750,-121.62472,39.75361
30,2018-08-02 06:00:00,,0.45,11.87,0.0,1029.462,,,47.0,0.0,23.89,PDEC1,1750,-121.62472,39.75361
31,2018-08-02 07:00:00,,0.45,8.81,0.0,1029.462,,,41.0,0.0,22.78,PDEC1,1750,-121.62472,39.75361
32,2018-08-02 08:00:00,,0.0,6.48,0.0,1029.462,,,35.0,0.0,22.78,PDEC1,1750,-121.62472,39.75361
33,2018-08-02 09:00:00,ENE,0.9,4.74,0.0,1029.462,,76.0,31.0,0.45,22.78,PDEC1,1750,-121.62472,39.75361
34,2018-08-02 10:00:00,,0.45,4.7,0.0,1029.462,,,32.0,0.0,22.22,PDEC1,1750,-121.62472,39.75361
35,2018-08-02 11:00:00,,0.45,3.78,0.0,1029.462,,,30.0,0.0,22.22,PDEC1,1750,-121.62472,39.75361
36,2018-08-02 12:00:00,,0.45,3.3,0.0,1029.462,,,29.0,0.0,22.22,PDEC1,1750,-121.62472,39.75361
37,2018-08-02 13:00:00,ESE,0.45,2.81,0.0,1029.462,,121.0,30.0,0.45,21.11,PDEC1,1750,-121.62472,39.75361
38,2018-08-02 14:00:00,,0.45,3.24,0.0,1029.462,,,32.0,0.0,20.56,PDEC1,1750,-121.62472,39.75361
39,2018-08-02 15:00:00,,0.45,5.8,0.0,1029.462,,,37.0,0.0,21.11,PDEC1,1750,-121.62472,39.75361
40,2018-08-02 16:00:00,,0.45,2.55,0.0,1029.462,,,24.0,0.0,24.44,PDEC1,1750,-121.62472,39.75361
41,2018-08-02 17:00:00,,1.34,4.92,0.0,1029.462,26.62,,24.0,0.0,27.22,PDEC1,1750,-121.62472,39.75361
42,2018-08-02 18:00:00,,0.9,6.07,0.0,1029.462,26.41,,26.0,0.0,27.22,PDEC1,1750,-121.62472,39.75361
43,2018-08-02 19:00:00,SSW,1.79,7.5,,1029.462,27.58,207.0,26.0,1.79,28.89,PDEC1,1750,-121.62472,39.75361
44,2018-08-02 20:00:00,SSW,2.23,6.97,0.0,1029.462,29.27,207.0,22.0,0.45,31.11,PDEC1,1750,-121.62472,39.75361
45,2018-08-02 21:00:00,WSW,3.13,8.24,0.0,1029.462,29.38,240.0,24.0,1.79,31.11,PDEC1,1750,-121.62472,39.75361
46,2018-08-02 22:00:00,,2.23,9.97,,1029.462,29.59,,27.0,0.0,31.11,PDEC1,1750,-121.62472,39.75361
47,2018-08-02 23:00:00,SE,2.23,10.46,,1029.462,30.15,145.0,27.0,0.45,31.67,PDEC1,1750,-121.62472,39.75361
48,2018-08-03 00:00:00,SE,2.23,9.32,,1029.462,29.99,139.0,25.0,0.45,31.67,PDEC1,1750,-121.62472,39.75361
49,2018-08-03 01:00:00,SW,1.79,9.32,0.0,1029.462,29.99,234.0,25.0,1.34,31.67,PDEC1,1750,-121.62472,39.75361
50,2018-08-03 02:00:00,,1.79,10.1,,1029.462,27.84,,31.0,0.0,28.89,PDEC1,1750,-121.62472,39.75361
51,2018-08-03 03:00:00,,0.9,11.45,0.0,1029.462,,,40.0,0.0,26.11,PDEC1,1750,-121.62472,39.75361
52,2018-08-03 04:00:00,,0.0,11.88,0.0,1029.462,,,44.0,0.0,25.0,PDEC1,1750,-121.62472,39.75361
53,2018-08-03 05:00:00,,0.45,11.87,0.0,1029.462,,,47.0,0.0,23.89,PDEC1,1750,-121.62472,39.75361
54,2018-08-03 06:00:00,,0.45,11.48,0.0,1029.462,,,49.0,0.0,22.78,PDEC1,1750,-121.62472,39.75361
55,2018-08-03 07:00:00,NE,0.9,10.65,0.0,1029.462,,54.0,48.0,0.45,22.22,PDEC1,1750,-121.62472,39.75361
56,2018-08-03 08:00:00,ENE,0.9,9.83,0.0,1029.462,,60.0,47.0,0.45,21.67,PDEC1,1750,-121.62472,39.75361
57,2018-08-03 09:00:00,NE,0.9,6.69,0.0,1029.462,,39.0,38.0,0.45,21.67,PDEC1,1750,-121.62472,39.75361
58,2018-08-03 10:00:00,,0.9,6.56,0.0,1029.462,,,39.0,0.0,21.11,PDEC1,1750,-121.62472,39.75361
59,2018-08-03 11:00:00,NE,0.9,6.13,0.0,1029.462,,47.0,42.0,0.45,19.44,PDEC1,1750,-121.62472,39.75361
