,date_time,precip_accum_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,3.556,34.28,HATC1,3015,-121.55,40.93333
1,2018-08-01 01:00:00,3.556,32.06,HATC1,3015,-121.55,40.93333
2,2018-08-01 02:00:00,3.556,29.01,HATC1,3015,-121.55,40.93333
3,2018-08-01 03:00:00,3.556,25.84,HATC1,3015,-121.55,40.93333
4,2018-08-01 04:00:00,3.556,22.24,HATC1,3015,-121.55,40.93333
5,2018-08-01 05:00:00,3.556,20.63,HATC1,3015,-121.55,40.93333
6,2018-08-01 06:00:00,3.556,18.88,HATC1,3015,-121.55,40.93333
7,2018-08-01 07:00:00,3.556,17.64,HATC1,3015,-121.55,40.93333
8,2018-08-01 08:00:00,3.556,15.83,HATC1,3015,-121.55,40.93333
9,2018-08-01 09:00:00,3.556,15.46,HATC1,3015,-121.55,40.93333
10,2018-08-01 10:00:00,3.556,14.41,HATC1,3015,-121.55,40.93333
11,2018-08-01 11:00:00,3.556,13.65,HATC1,3015,-121.55,40.93333
12,2018-08-01 12:00:00,3.556,12.77,HATC1,3015,-121.55,40.93333
13,2018-08-01 13:00:00,3.556,12.07,HATC1,3015,-121.55,40.93333
14,2018-08-01 14:00:00,3.556,12.4,HATC1,3015,-121.55,40.93333
15,2018-08-01 15:00:00,3.556,15.27,HATC1,3015,-121.55,40.93333
16,2018-08-01 16:00:00,3.556,19.85,HATC1,3015,-121.55,40.93333
17,2018-08-01 17:00:00,3.556,23.83,HATC1,3015,-121.55,40.93333
18,2018-08-01 18:00:00,3.556,26.76,HATC1,3015,-121.55,40.93333
19,2018-08-01 19:00:00,3.556,29.59,HATC1,3015,-121.55,40.93333
20,2018-08-01 20:00:00,3.556,32.66,HATC1,3015,-121.55,40.93333
21,2018-08-01 21:00:00,3.556,34.68,HATC1,3015,-121.55,40.93333
22,2018-08-01 22:00:00,3.556,33.52,HATC1,3015,-121.55,40.93333
23,2018-08-01 23:00:00,3.556,33.88,HATC1,3015,-121.55,40.93333
24,2018-08-02 00:00:00,3.556,33.63,HATC1,3015,-121.55,40.93333
25,2018-08-02 01:00:00,3.556,32.75,HATC1,3015,-121.55,40.93333
26,2018-08-02 02:00:00,3.556,30.19,HATC1,3015,-121.55,40.93333
27,2018-08-02 03:00:00,3.556,24.69,HATC1,3015,-121.55,40.93333
28,2018-08-02 04:00:00,3.556,21.06,HATC1,3015,-121.55,40.93333
29,2018-08-02 05:00:00,3.556,18.74,HATC1,3015,-121.55,40.93333
