,road_subsurface_tmp_set_1,date_time,wind_cardinal_direction_set_1d,road_temp_set_1,wind_gust_set_1,dew_point_temperature_set_1d,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,28.8,2018-08-01 00:03:00,N,37.6,0.83,8.56,31.84,9.0,21.0,0.83,33.8,CTWED,3445,-122.3987,41.4285
1,28.8,2018-08-01 00:18:00,N,37.8,1.67,7.76,31.65,8.0,20.0,0.56,33.7,CTWED,3445,-122.3987,41.4285
2,28.9,2018-08-01 00:33:00,N,38.4,2.22,7.51,31.34,1.0,20.0,0.56,33.4,CTWED,3445,-122.3987,41.4285
3,28.9,2018-08-01 00:48:00,,37.6,1.67,6.69,31.17,,19.0,0.0,33.3,CTWED,3445,-122.3987,41.4285
4,28.9,2018-08-01 01:03:00,NW,36.9,1.67,6.02,30.39,322.0,19.0,1.11,32.5,CTWED,3445,-122.3987,41.4285
5,28.9,2018-08-01 01:18:00,N,36.9,1.39,7.63,30.71,358.0,21.0,0.56,32.7,CTWED,3445,-122.3987,41.4285
6,28.9,2018-08-01 01:33:00,N,36.5,1.39,6.59,30.26,5.0,20.0,0.56,32.3,CTWED,3445,-122.3987,41.4285
7,28.9,2018-08-01 01:48:00,NNW,35.7,0.83,7.64,30.0,343.0,22.0,0.56,31.9,CTWED,3445,-122.3987,41.4285
8,29.1,2018-08-01 02:03:00,NW,34.6,2.22,5.62,28.52,325.0,21.0,1.11,30.3,CTWED,3445,-122.3987,41.4285
9,29.0,2018-08-01 02:18:00,N,33.8,3.06,5.61,27.9,3.0,22.0,0.56,29.5,CTWED,3445,-122.3987,41.4285
10,29.0,2018-08-01 02:33:00,WNW,33.1,2.22,5.27,27.59,290.0,22.0,0.56,29.1,CTWED,3445,-122.3987,41.4285
11,29.0,2018-08-01 02:48:00,,32.9,1.39,5.31,27.11,,23.0,0.0,28.4,CTWED,3445,-122.3987,41.4285
12,29.2,2018-08-01 03:03:00,WSW,31.3,1.39,5.5,26.79,255.0,24.0,1.11,27.9,CTWED,3445,-122.3987,41.4285
13,29.2,2018-08-01 03:18:00,WSW,30.3,1.39,5.31,26.41,243.0,25.0,0.28,27.0,CTWED,3445,-122.3987,41.4285
14,29.2,2018-08-01 03:33:00,SSW,29.7,0.56,5.28,,208.0,26.0,0.28,26.3,CTWED,3445,-122.3987,41.4285
15,29.1,2018-08-01 03:48:00,,28.8,0.56,5.73,,,28.0,0.0,25.6,CTWED,3445,-122.3987,41.4285
16,29.2,2018-08-01 04:03:00,ESE,28.9,0.56,5.86,,119.0,30.0,0.56,24.6,CTWED,3445,-122.3987,41.4285
17,29.2,2018-08-01 04:18:00,SE,28.7,0.56,6.45,,136.0,33.0,0.56,23.7,CTWED,3445,-122.3987,41.4285
18,29.1,2018-08-01 04:33:00,SE,27.4,1.11,6.95,,127.0,37.0,1.11,22.4,CTWED,3445,-122.3987,41.4285
19,29.2,2018-08-01 04:48:00,SE,26.8,1.11,6.63,,134.0,38.0,1.11,21.6,CTWED,3445,-122.3987,41.4285
20,29.3,2018-08-01 05:03:00,SE,26.7,1.67,6.56,,130.0,39.0,1.39,21.1,CTWED,3445,-122.3987,41.4285
