,date_time,air_temp_low_24_hour_set_1,air_temp_high_24_hour_set_1,snow_accume_24_hour_set_1,precip_accum_24_hour_set_1,snow_depth_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-02 15:30:00,15.0,35.56,0.0,0.0,0.0,COOPCEDC1,4670,-120.17,41.53
1,2018-08-03 15:30:00,13.33,33.89,0.0,0.0,0.0,COOPCEDC1,4670,-120.17,41.53
2,2018-08-04 15:30:00,,,0.0,0.0,0.0,COOPCEDC1,4670,-120.17,41.53
3,2018-08-05 15:30:00,9.44,30.0,0.0,0.0,0.0,COOPCEDC1,4670,-120.17,41.53
4,2018-08-06 15:30:00,,,0.0,0.0,0.0,COOPCEDC1,4670,-120.17,41.53
5,2018-08-07 15:30:00,11.11,32.22,0.0,0.0,0.0,COOPCEDC1,4670,-120.17,41.53
6,2018-08-08 15:30:00,16.67,32.78,0.0,0.0,0.0,COOPCEDC1,4670,-120.17,41.53
7,2018-08-09 15:30:00,17.78,37.78,0.0,0.0,0.0,COOPCEDC1,4670,-120.17,41.53
8,2018-08-10 15:30:00,21.67,38.89,0.0,0.0,0.0,COOPCEDC1,4670,-120.17,41.53
9,2018-08-11 15:30:00,,,,,,COOPCEDC1,4670,-120.17,41.53
10,2018-08-12 15:30:00,,,,,,COOPCEDC1,4670,-120.17,41.53
11,2018-08-13 15:30:00,,,,,,COOPCEDC1,4670,-120.17,41.53
12,2018-08-14 15:30:00,,,,,,COOPCEDC1,4670,-120.17,41.53
13,2018-08-15 15:30:00,12.78,36.11,0.0,0.0,0.0,COOPCEDC1,4670,-120.17,41.53
14,2018-08-16 15:30:00,8.89,32.78,0.0,0.025,0.0,COOPCEDC1,4670,-120.17,41.53
