,date_time,wind_cardinal_direction_set_1d,wind_gust_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:09:00,SW,4.29,2.87,,,220.0,26.0,2.41,23.5,DXCNV,8117,-119.93522,39.28311
1,2018-08-01 00:39:00,SW,4.69,3.21,,,215.0,27.0,2.01,23.28,DXCNV,8117,-119.93522,39.28311
2,2018-08-01 00:54:00,SW,3.89,3.21,,,224.0,27.0,1.7,23.28,DXCNV,8117,-119.93522,39.28311
3,2018-08-01 01:10:00,SW,2.59,3.98,,,215.0,29.0,1.21,23.0,DXCNV,8117,-119.93522,39.28311
4,2018-08-01 01:25:00,SW,3.89,3.88,,,227.0,29.0,1.61,22.89,DXCNV,8117,-119.93522,39.28311
5,2018-08-01 01:40:00,SSW,3.62,4.3,,,200.0,31.0,1.79,22.28,DXCNV,8117,-119.93522,39.28311
6,2018-08-01 01:55:00,S,3.09,5.25,,,189.0,35.0,1.52,21.39,DXCNV,8117,-119.93522,39.28311
7,2018-08-01 02:10:00,SW,1.92,5.99,,,226.0,38.0,0.8,20.89,DXCNV,8117,-119.93522,39.28311
8,2018-08-01 02:25:00,S,1.7,5.35,,,182.0,37.0,0.9,20.61,DXCNV,8117,-119.93522,39.28311
9,2018-08-01 02:40:00,S,1.92,7.18,,,182.0,43.0,0.8,20.22,DXCNV,8117,-119.93522,39.28311
10,2018-08-01 02:56:00,SSW,1.7,7.83,,,199.0,47.0,0.49,19.5,DXCNV,8117,-119.93522,39.28311
11,2018-08-01 03:11:00,SSW,1.3,7.37,,,210.0,47.0,0.31,19.0,DXCNV,8117,-119.93522,39.28311
12,2018-08-01 03:26:00,,0.0,7.12,,,,47.0,0.0,18.72,DXCNV,8117,-119.93522,39.28311
13,2018-08-01 03:41:00,,0.0,7.22,,,,48.0,0.0,18.5,DXCNV,8117,-119.93522,39.28311
14,2018-08-01 03:56:00,,0.0,7.36,,,,50.0,0.0,18.0,DXCNV,8117,-119.93522,39.28311
15,2018-08-01 04:11:00,,0.0,7.27,,,,52.0,0.0,17.28,DXCNV,8117,-119.93522,39.28311
16,2018-08-01 04:26:00,,0.09,7.29,,,,53.0,0.0,17.0,DXCNV,8117,-119.93522,39.28311
17,2018-08-01 05:12:00,NE,2.51,6.56,,,37.0,53.0,2.01,16.22,DXCNV,8117,-119.93522,39.28311
18,2018-08-01 05:27:00,NE,3.09,6.18,,,45.0,52.0,2.41,16.11,DXCNV,8117,-119.93522,39.28311
19,2018-08-01 05:42:00,NE,2.68,5.82,,,35.0,52.0,2.19,15.72,DXCNV,8117,-119.93522,39.28311
20,2018-08-01 05:57:00,NE,3.49,5.23,,,37.0,51.0,2.68,15.39,DXCNV,8117,-119.93522,39.28311
21,2018-08-01 06:12:00,NNE,2.68,5.43,,,31.0,53.0,2.19,15.0,DXCNV,8117,-119.93522,39.28311
22,2018-08-01 06:27:00,NE,2.91,4.87,,,35.0,51.0,2.41,15.0,DXCNV,8117,-119.93522,39.28311
23,2018-08-01 07:13:00,NNE,2.19,5.16,,,30.0,53.0,1.38,14.72,DXCNV,8117,-119.93522,39.28311
24,2018-08-01 07:30:00,NNE,2.1,5.34,,,31.0,57.0,1.79,13.78,DXCNV,8117,-119.93522,39.28311
25,2018-08-01 07:46:00,NE,2.1,5.39,,,35.0,56.0,1.79,14.11,DXCNV,8117,-119.93522,39.28311
26,2018-08-01 08:01:00,NNE,2.28,5.03,,,32.0,56.0,1.79,13.72,DXCNV,8117,-119.93522,39.28311
27,2018-08-01 08:16:00,NNE,2.68,5.08,,,24.0,57.0,1.92,13.5,DXCNV,8117,-119.93522,39.28311
28,2018-08-01 08:31:00,NNE,1.92,5.13,,,27.0,55.0,1.38,14.11,DXCNV,8117,-119.93522,39.28311
29,2018-08-01 08:46:00,NNE,1.92,5.23,,,18.0,54.0,0.9,14.5,DXCNV,8117,-119.93522,39.28311
30,2018-08-01 09:01:00,NNE,2.28,5.34,,,25.0,57.0,1.52,13.78,DXCNV,8117,-119.93522,39.28311
31,2018-08-01 09:16:00,NNE,2.1,5.29,,,28.0,56.0,1.38,14.0,DXCNV,8117,-119.93522,39.28311
32,2018-08-01 09:32:00,NNE,2.28,5.13,,,27.0,55.0,1.7,14.11,DXCNV,8117,-119.93522,39.28311
33,2018-08-01 09:47:00,NE,2.51,5.08,,,34.0,56.0,2.19,13.78,DXCNV,8117,-119.93522,39.28311
34,2018-08-01 10:02:00,NNE,1.7,5.03,,,20.0,56.0,1.21,13.72,DXCNV,8117,-119.93522,39.28311
35,2018-08-01 10:17:00,NNE,2.28,4.76,,,31.0,54.0,1.7,14.0,DXCNV,8117,-119.93522,39.28311
36,2018-08-01 10:32:00,NNE,2.59,4.61,,,23.0,56.0,1.38,13.28,DXCNV,8117,-119.93522,39.28311
37,2018-08-01 10:47:00,NNE,2.1,4.4,,,21.0,54.0,1.12,13.61,DXCNV,8117,-119.93522,39.28311
38,2018-08-01 11:02:00,NE,2.1,4.77,,,40.0,55.0,1.7,13.72,DXCNV,8117,-119.93522,39.28311
39,2018-08-01 11:18:00,NNE,2.1,4.32,,,25.0,52.0,1.52,14.11,DXCNV,8117,-119.93522,39.28311
40,2018-08-01 11:33:00,NNE,2.28,4.19,,,31.0,54.0,1.92,13.39,DXCNV,8117,-119.93522,39.28311
41,2018-08-01 11:48:00,NNE,2.19,4.35,,,32.0,56.0,1.7,13.0,DXCNV,8117,-119.93522,39.28311
42,2018-08-01 12:03:00,NNE,2.51,4.13,,,32.0,53.0,1.92,13.61,DXCNV,8117,-119.93522,39.28311
43,2018-08-01 12:18:00,NE,1.79,3.86,,,35.0,52.0,1.12,13.61,DXCNV,8117,-119.93522,39.28311
44,2018-08-01 12:33:00,NNE,2.28,3.89,,,30.0,55.0,0.98,12.78,DXCNV,8117,-119.93522,39.28311
45,2018-08-01 12:48:00,NE,2.28,3.36,,,38.0,53.0,1.38,12.78,DXCNV,8117,-119.93522,39.28311
46,2018-08-01 13:03:00,NE,1.92,2.55,,,34.0,49.0,0.98,13.11,DXCNV,8117,-119.93522,39.28311
47,2018-08-01 13:19:00,NNE,2.28,2.16,,,24.0,48.0,0.98,13.0,DXCNV,8117,-119.93522,39.28311
48,2018-08-01 13:34:00,NNW,1.7,2.57,,,332.0,46.0,0.31,14.11,DXCNV,8117,-119.93522,39.28311
49,2018-08-01 13:49:00,W,2.01,3.19,,,272.0,46.0,0.4,14.78,DXCNV,8117,-119.93522,39.28311
50,2018-08-01 14:04:00,W,2.91,3.43,,,274.0,45.0,0.8,15.39,DXCNV,8117,-119.93522,39.28311
51,2018-08-01 14:19:00,SW,1.61,3.47,,,226.0,44.0,0.4,15.78,DXCNV,8117,-119.93522,39.28311
52,2018-08-01 14:34:00,WSW,1.52,3.47,,,247.0,41.0,0.09,16.89,DXCNV,8117,-119.93522,39.28311
53,2018-08-01 14:50:00,,0.09,4.91,,,,43.0,0.0,17.72,DXCNV,8117,-119.93522,39.28311
54,2018-08-01 15:05:00,SW,2.19,1.98,,,223.0,35.0,0.8,17.72,DXCNV,8117,-119.93522,39.28311
55,2018-08-01 15:20:00,WSW,1.52,1.08,,,237.0,32.0,0.4,18.11,DXCNV,8117,-119.93522,39.28311
56,2018-08-01 15:35:00,SW,2.19,-0.04,,,215.0,29.0,0.9,18.39,DXCNV,8117,-119.93522,39.28311
57,2018-08-01 15:50:00,SSW,2.91,1.75,,,213.0,33.0,1.12,18.39,DXCNV,8117,-119.93522,39.28311
58,2018-08-01 16:05:00,SW,2.1,2.62,,,216.0,34.0,0.98,18.89,DXCNV,8117,-119.93522,39.28311
59,2018-08-01 16:20:00,SSW,2.91,2.71,,,209.0,34.0,1.3,19.0,DXCNV,8117,-119.93522,39.28311
60,2018-08-01 16:36:00,SSW,3.31,3.37,,,210.0,35.0,1.7,19.28,DXCNV,8117,-119.93522,39.28311
61,2018-08-01 16:51:00,SW,2.28,4.94,,,219.0,38.0,0.98,19.72,DXCNV,8117,-119.93522,39.28311
62,2018-08-01 17:06:00,SSW,3.71,1.74,,,208.0,30.0,2.01,19.89,DXCNV,8117,-119.93522,39.28311
63,2018-08-01 17:21:00,SSW,4.6,1.46,,,208.0,29.0,2.01,20.11,DXCNV,8117,-119.93522,39.28311
64,2018-08-01 17:36:00,SSW,3.62,2.94,,,203.0,32.0,1.92,20.22,DXCNV,8117,-119.93522,39.28311
65,2018-08-01 17:52:00,SSW,3.4,2.73,,,210.0,31.0,1.7,20.5,DXCNV,8117,-119.93522,39.28311
66,2018-08-01 18:07:00,SW,2.28,4.25,,,216.0,33.0,1.38,21.22,DXCNV,8117,-119.93522,39.28311
67,2018-08-01 18:22:00,SSW,5.1,1.55,,,206.0,28.0,2.28,20.78,DXCNV,8117,-119.93522,39.28311
68,2018-08-01 18:37:00,SW,3.62,2.42,,,229.0,28.0,1.52,21.78,DXCNV,8117,-119.93522,39.28311
69,2018-08-01 18:53:00,SW,4.2,2.63,,,223.0,27.0,1.92,22.61,DXCNV,8117,-119.93522,39.28311
70,2018-08-01 19:23:00,SSW,3.89,1.55,,,210.0,25.0,1.92,22.61,DXCNV,8117,-119.93522,39.28311
71,2018-08-01 19:38:00,SSW,3.89,1.65,,,213.0,25.0,1.79,22.72,DXCNV,8117,-119.93522,39.28311
72,2018-08-01 19:53:00,SW,3.49,2.65,,,227.0,25.0,1.92,23.89,DXCNV,8117,-119.93522,39.28311
73,2018-08-01 20:08:00,SW,4.6,-1.42,,,215.0,20.0,2.01,22.72,DXCNV,8117,-119.93522,39.28311
