,date_time,air_temp_low_24_hour_set_1,air_temp_high_24_hour_set_1,snow_depth_set_1,snow_accume_24_hour_set_1,precip_accum_24_hour_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 15:00:00,7.78,34.44,0.0,0.0,0.0,11.67,COOPBOCC1,5575,-120.09,39.39
1,2018-08-02 15:00:00,3.89,33.33,0.0,0.0,0.0,6.67,COOPBOCC1,5575,-120.09,39.39
2,2018-08-03 15:00:00,1.11,32.22,0.0,0.0,0.0,4.44,COOPBOCC1,5575,-120.09,39.39
3,2018-08-04 15:00:00,2.22,31.11,0.0,0.0,0.0,6.67,COOPBOCC1,5575,-120.09,39.39
4,2018-08-05 15:00:00,0.0,27.78,0.0,0.0,0.0,3.89,COOPBOCC1,5575,-120.09,39.39
5,2018-08-06 15:00:00,0.56,30.0,0.0,0.0,0.0,1.67,COOPBOCC1,5575,-120.09,39.39
6,2018-08-07 15:00:00,1.67,32.22,0.0,0.0,0.0,4.44,COOPBOCC1,5575,-120.09,39.39
7,2018-08-08 15:00:00,4.44,35.0,0.0,0.0,0.0,6.11,COOPBOCC1,5575,-120.09,39.39
8,2018-08-09 15:00:00,3.33,34.44,0.0,0.0,0.0,5.56,COOPBOCC1,5575,-120.09,39.39
9,2018-08-10 15:00:00,5.0,36.11,0.0,0.0,0.0,10.0,COOPBOCC1,5575,-120.09,39.39
10,2018-08-11 15:00:00,4.44,35.0,0.0,0.0,0.0,11.11,COOPBOCC1,5575,-120.09,39.39
11,2018-08-12 15:00:00,4.44,33.89,0.0,0.0,0.0,12.22,COOPBOCC1,5575,-120.09,39.39
12,2018-08-13 15:00:00,4.44,32.78,0.0,0.0,0.0,11.11,COOPBOCC1,5575,-120.09,39.39
13,2018-08-14 15:00:00,5.0,32.22,0.0,0.0,0.0,7.22,COOPBOCC1,5575,-120.09,39.39
