,date_time,volt_set_1,precip_accum_one_hour_set_1,precip_accum_set_1,air_temp_set_1,snow_depth_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-15 20:30:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
1,2018-08-15 20:45:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
2,2018-08-15 21:30:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
3,2018-08-15 21:45:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
4,2018-08-15 22:00:00,13.0,,0.0,23.33,4211.32,SHMC1,6392,-122.80167,41.00528
5,2018-08-15 22:15:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
6,2018-08-15 22:30:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
7,2018-08-15 22:45:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
8,2018-08-15 23:00:00,12.9,0.0,0.0,24.44,4074.16,SHMC1,6392,-122.80167,41.00528
9,2018-08-15 23:15:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
10,2018-08-15 23:30:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
11,2018-08-15 23:45:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
12,2018-08-16 00:00:00,12.8,0.0,0.0,24.44,4084.32,SHMC1,6392,-122.80167,41.00528
13,2018-08-16 00:15:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
14,2018-08-16 00:30:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
15,2018-08-16 00:45:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
16,2018-08-16 01:00:00,12.7,0.0,0.0,22.78,4119.88,SHMC1,6392,-122.80167,41.00528
17,2018-08-16 01:15:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
18,2018-08-16 01:30:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
19,2018-08-16 01:45:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
20,2018-08-16 02:00:00,12.4,0.0,0.0,20.56,4074.16,SHMC1,6392,-122.80167,41.00528
21,2018-08-16 02:15:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
22,2018-08-16 02:30:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
23,2018-08-16 02:45:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
24,2018-08-16 03:00:00,12.3,0.0,0.0,19.44,4013.2,SHMC1,6392,-122.80167,41.00528
25,2018-08-16 03:15:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
26,2018-08-16 03:30:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
27,2018-08-16 03:45:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
28,2018-08-16 04:00:00,12.3,0.0,0.0,17.22,3987.8,SHMC1,6392,-122.80167,41.00528
29,2018-08-16 04:15:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
30,2018-08-16 04:30:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
31,2018-08-16 04:45:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
32,2018-08-16 05:00:00,12.3,0.0,0.0,15.56,3970.02,SHMC1,6392,-122.80167,41.00528
33,2018-08-16 05:15:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
34,2018-08-16 05:30:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
35,2018-08-16 05:45:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
36,2018-08-16 06:00:00,12.3,0.0,0.0,16.67,3916.68,SHMC1,6392,-122.80167,41.00528
37,2018-08-16 06:15:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
38,2018-08-16 06:30:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
39,2018-08-16 06:45:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
40,2018-08-16 07:00:00,12.2,0.0,0.0,15.56,3957.32,SHMC1,6392,-122.80167,41.00528
41,2018-08-16 07:15:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
42,2018-08-16 07:30:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
43,2018-08-16 07:45:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
44,2018-08-16 08:00:00,12.2,0.0,0.0,16.11,3949.7,SHMC1,6392,-122.80167,41.00528
45,2018-08-16 08:15:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
46,2018-08-16 08:30:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
47,2018-08-16 08:45:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
48,2018-08-16 09:00:00,12.2,0.0,0.0,14.44,3947.16,SHMC1,6392,-122.80167,41.00528
49,2018-08-16 09:15:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
50,2018-08-16 09:30:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
51,2018-08-16 09:45:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
52,2018-08-16 10:00:00,12.2,0.0,0.0,13.33,3944.62,SHMC1,6392,-122.80167,41.00528
53,2018-08-16 10:15:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
54,2018-08-16 10:30:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
55,2018-08-16 10:45:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
56,2018-08-16 11:00:00,12.2,0.0,0.0,13.33,3916.68,SHMC1,6392,-122.80167,41.00528
57,2018-08-16 11:15:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
58,2018-08-16 11:30:00,,,0.0,,,SHMC1,6392,-122.80167,41.00528
