,road_subsurface_tmp_set_1,date_time,road_freezing_temp_set_1,wind_cardinal_direction_set_1d,road_temp_set_1,wind_gust_set_1,dew_point_temperature_set_1d,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
53,26.28,2018-08-01 13:32:00,0.0,,19.28,0.0,8.19,,,54.0,0.0,17.67,CRLNV,6422,-120.00341,39.23022
54,26.17,2018-08-01 13:47:00,0.0,,19.78,0.0,8.93,,,55.0,0.0,18.17,CRLNV,6422,-120.00341,39.23022
55,26.06,2018-08-01 14:02:00,0.0,,20.17,0.0,9.5,,,58.0,0.0,17.94,CRLNV,6422,-120.00341,39.23022
56,25.94,2018-08-01 14:17:00,0.0,,20.33,0.0,9.87,,,58.0,0.0,18.33,CRLNV,6422,-120.00341,39.23022
57,25.83,2018-08-01 14:32:00,0.0,,20.83,0.0,9.76,,,55.0,0.0,19.06,CRLNV,6422,-120.00341,39.23022
58,25.72,2018-08-01 14:47:00,0.0,,21.28,0.0,10.39,,,56.0,0.0,19.44,CRLNV,6422,-120.00341,39.23022
59,25.72,2018-08-01 15:02:00,0.0,,21.83,0.0,10.39,,,56.0,0.0,19.44,CRLNV,6422,-120.00341,39.23022
60,25.67,2018-08-01 15:17:00,0.0,S,22.44,1.7,10.2,,191.0,54.0,0.8,19.83,CRLNV,6422,-120.00341,39.23022
61,25.56,2018-08-01 15:32:00,0.0,,22.94,0.58,10.58,,,55.0,0.0,19.94,CRLNV,6422,-120.00341,39.23022
62,25.33,2018-08-01 15:47:00,0.0,NE,22.94,0.98,11.65,,42.0,59.0,0.4,19.94,CRLNV,6422,-120.00341,39.23022
63,25.44,2018-08-01 16:03:00,0.0,NE,23.56,0.9,12.17,,44.0,60.0,0.4,20.22,CRLNV,6422,-120.00341,39.23022
64,25.33,2018-08-01 16:18:00,0.0,NE,23.78,0.9,12.15,,55.0,61.0,0.18,19.94,CRLNV,6422,-120.00341,39.23022
65,25.33,2018-08-01 16:33:00,0.0,SE,24.06,1.3,12.87,,143.0,63.0,0.49,20.17,CRLNV,6422,-120.00341,39.23022
66,25.33,2018-08-01 16:48:00,0.0,N,25.72,1.21,13.25,,7.0,62.0,0.49,20.83,CRLNV,6422,-120.00341,39.23022
67,25.22,2018-08-01 17:03:00,0.0,ESE,31.94,0.9,12.59,,110.0,60.0,0.4,20.67,CRLNV,6422,-120.00341,39.23022
68,25.33,2018-08-01 17:18:00,0.0,E,35.44,0.98,12.74,,96.0,60.0,0.58,20.83,CRLNV,6422,-120.00341,39.23022
69,25.33,2018-08-01 17:33:00,0.0,E,37.17,0.98,13.2,,89.0,56.0,0.49,22.44,CRLNV,6422,-120.00341,39.23022
70,25.33,2018-08-01 17:48:00,0.0,SE,34.94,0.9,4.8,,127.0,29.0,0.31,23.94,CRLNV,6422,-120.00341,39.23022
71,25.44,2018-08-01 18:03:00,0.0,SSW,32.67,2.19,1.01,,208.0,22.0,0.98,24.06,CRLNV,6422,-120.00341,39.23022
72,25.67,2018-08-01 18:18:00,0.0,SSE,35.44,2.19,3.78,,151.0,26.0,1.12,24.56,CRLNV,6422,-120.00341,39.23022
73,25.72,2018-08-01 18:33:00,0.0,ESE,41.33,1.12,8.73,,120.0,38.0,0.58,23.94,CRLNV,6422,-120.00341,39.23022
74,25.83,2018-08-01 18:48:00,0.0,S,44.56,3.09,0.31,,185.0,20.0,1.38,24.78,CRLNV,6422,-120.00341,39.23022
