,date_time,precip_accum_set_1,air_temp_set_1,snow_depth_set_1,snow_water_equiv_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,1008.38,23.6,0.0,,DMLC1,7360,-120.18033,41.99127
1,2018-08-01 01:00:00,1008.38,21.3,,,DMLC1,7360,-120.18033,41.99127
2,2018-08-01 02:00:00,1008.38,19.8,0.0,,DMLC1,7360,-120.18033,41.99127
3,2018-08-01 03:00:00,1010.92,17.3,0.0,,DMLC1,7360,-120.18033,41.99127
4,2018-08-01 04:00:00,1010.92,15.0,0.0,,DMLC1,7360,-120.18033,41.99127
5,2018-08-01 05:00:00,1008.38,14.4,0.0,,DMLC1,7360,-120.18033,41.99127
6,2018-08-01 06:00:00,1008.38,14.5,0.0,,DMLC1,7360,-120.18033,41.99127
7,2018-08-01 07:00:00,1008.38,14.3,0.0,,DMLC1,7360,-120.18033,41.99127
8,2018-08-01 08:00:00,1008.38,14.0,0.0,,DMLC1,7360,-120.18033,41.99127
9,2018-08-01 09:00:00,1008.38,13.0,0.0,,DMLC1,7360,-120.18033,41.99127
10,2018-08-01 10:00:00,1008.38,12.1,0.0,,DMLC1,7360,-120.18033,41.99127
11,2018-08-01 11:00:00,1008.38,12.1,0.0,,DMLC1,7360,-120.18033,41.99127
12,2018-08-01 12:00:00,1008.38,12.0,0.0,,DMLC1,7360,-120.18033,41.99127
13,2018-08-01 13:00:00,1008.38,11.6,0.0,,DMLC1,7360,-120.18033,41.99127
14,2018-08-01 14:00:00,1008.38,11.6,0.0,,DMLC1,7360,-120.18033,41.99127
15,2018-08-01 15:00:00,1010.92,14.2,0.0,,DMLC1,7360,-120.18033,41.99127
16,2018-08-01 16:00:00,1010.92,18.2,0.0,,DMLC1,7360,-120.18033,41.99127
17,2018-08-01 17:00:00,1008.38,20.4,0.0,,DMLC1,7360,-120.18033,41.99127
18,2018-08-01 18:00:00,1010.92,22.0,,,DMLC1,7360,-120.18033,41.99127
19,2018-08-01 19:00:00,1010.92,22.6,,,DMLC1,7360,-120.18033,41.99127
20,2018-08-01 20:00:00,1010.92,23.1,,,DMLC1,7360,-120.18033,41.99127
21,2018-08-01 21:00:00,1008.38,24.2,,,DMLC1,7360,-120.18033,41.99127
22,2018-08-01 22:00:00,1008.38,24.3,,,DMLC1,7360,-120.18033,41.99127
23,2018-08-01 23:00:00,1010.92,23.7,,,DMLC1,7360,-120.18033,41.99127
24,2018-08-02 00:00:00,1010.92,22.6,0.0,,DMLC1,7360,-120.18033,41.99127
25,2018-08-02 01:00:00,1008.38,21.4,0.0,,DMLC1,7360,-120.18033,41.99127
26,2018-08-02 02:00:00,1010.92,20.1,0.0,,DMLC1,7360,-120.18033,41.99127
27,2018-08-02 03:00:00,1008.38,18.5,0.0,,DMLC1,7360,-120.18033,41.99127
28,2018-08-02 04:00:00,1010.92,16.6,0.0,,DMLC1,7360,-120.18033,41.99127
29,2018-08-02 05:00:00,1010.92,14.9,0.0,,DMLC1,7360,-120.18033,41.99127
30,2018-08-02 06:00:00,1010.92,14.1,0.0,,DMLC1,7360,-120.18033,41.99127
31,2018-08-02 07:00:00,1008.38,11.9,0.0,,DMLC1,7360,-120.18033,41.99127
32,2018-08-02 08:00:00,1008.38,11.3,0.0,0.0,DMLC1,7360,-120.18033,41.99127
33,2018-08-02 09:00:00,1008.38,10.3,0.0,,DMLC1,7360,-120.18033,41.99127
34,2018-08-02 10:00:00,1008.38,10.1,0.0,,DMLC1,7360,-120.18033,41.99127
35,2018-08-02 11:00:00,1008.38,9.9,0.0,,DMLC1,7360,-120.18033,41.99127
36,2018-08-02 12:00:00,1008.38,8.8,0.0,,DMLC1,7360,-120.18033,41.99127
37,2018-08-02 13:00:00,1008.38,8.4,0.0,,DMLC1,7360,-120.18033,41.99127
38,2018-08-02 14:00:00,1008.38,9.6,0.0,,DMLC1,7360,-120.18033,41.99127
39,2018-08-02 15:00:00,1008.38,13.7,0.0,,DMLC1,7360,-120.18033,41.99127
40,2018-08-02 16:00:00,1008.38,15.6,0.0,,DMLC1,7360,-120.18033,41.99127
41,2018-08-02 17:00:00,1008.38,17.9,,,DMLC1,7360,-120.18033,41.99127
42,2018-08-02 18:00:00,1010.92,19.1,,,DMLC1,7360,-120.18033,41.99127
43,2018-08-02 19:00:00,1010.92,19.4,,,DMLC1,7360,-120.18033,41.99127
44,2018-08-02 20:00:00,1008.38,20.5,,,DMLC1,7360,-120.18033,41.99127
45,2018-08-02 21:00:00,1008.38,21.6,,,DMLC1,7360,-120.18033,41.99127
46,2018-08-02 22:00:00,1008.38,21.8,,,DMLC1,7360,-120.18033,41.99127
47,2018-08-02 23:00:00,1010.92,21.3,0.0,,DMLC1,7360,-120.18033,41.99127
48,2018-08-03 00:00:00,1010.92,20.4,0.0,,DMLC1,7360,-120.18033,41.99127
49,2018-08-03 01:00:00,1008.38,18.8,0.0,,DMLC1,7360,-120.18033,41.99127
50,2018-08-03 02:00:00,1008.38,17.3,0.0,,DMLC1,7360,-120.18033,41.99127
51,2018-08-03 03:00:00,1008.38,15.0,0.0,,DMLC1,7360,-120.18033,41.99127
52,2018-08-03 04:00:00,1008.38,12.9,0.0,,DMLC1,7360,-120.18033,41.99127
53,2018-08-03 05:00:00,1008.38,10.9,0.0,,DMLC1,7360,-120.18033,41.99127
54,2018-08-03 06:00:00,1008.38,10.7,0.0,,DMLC1,7360,-120.18033,41.99127
