,date_time,fuel_moisture_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,volt_set_1,dew_point_temperature_set_1d,fuel_temp_set_1,precip_accum_set_1,heat_index_set_1d,wind_direction_set_1,wind_speed_set_1,relative_humidity_set_1,solar_radiation_set_1,precip_accum_one_hour_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:38:00,0.0,SE,2.23,13.9,,,36.068,-75.29,143.0,0.9,,0.0,,,CFFC1,2503,-122.7086,41.0894
1,2018-08-01 01:38:00,0.0,S,2.23,13.9,50.32,,36.068,-37.48,181.0,0.45,1.0,0.0,0.0,,CFFC1,2503,-122.7086,41.0894
2,2018-08-01 02:38:00,0.0,SSW,1.79,13.9,,,36.068,-75.29,208.0,0.45,,0.0,0.0,,CFFC1,2503,-122.7086,41.0894
3,2018-08-01 03:38:00,0.0,W,1.79,13.9,,,36.068,-75.29,277.0,0.45,,0.0,0.0,,CFFC1,2503,-122.7086,41.0894
4,2018-08-01 04:38:00,0.0,WNW,1.34,13.9,,,36.068,-75.29,297.0,0.45,,0.0,0.0,,CFFC1,2503,-122.7086,41.0894
5,2018-08-01 05:38:00,0.0,WSW,0.9,13.9,,,36.068,-75.29,241.0,0.45,,0.0,,,CFFC1,2503,-122.7086,41.0894
6,2018-08-01 06:38:00,0.0,NNW,0.9,13.8,,,36.068,-75.29,330.0,0.45,,0.0,0.0,,CFFC1,2503,-122.7086,41.0894
7,2018-08-01 07:38:00,0.0,SSE,1.34,13.9,,,36.068,-75.29,165.0,0.45,,0.0,0.0,,CFFC1,2503,-122.7086,41.0894
8,2018-08-01 08:38:00,0.0,NNW,1.34,13.9,,,36.068,-75.29,330.0,0.45,,0.0,0.0,,CFFC1,2503,-122.7086,41.0894
9,2018-08-01 09:38:00,0.0,W,0.9,13.9,,,36.068,-75.29,278.0,0.45,,0.0,0.0,,CFFC1,2503,-122.7086,41.0894
10,2018-08-01 10:38:00,0.0,NW,0.9,13.9,,,36.068,-75.29,318.0,0.45,,0.0,0.0,,CFFC1,2503,-122.7086,41.0894
