,date_time,soil_temp_set_1,dew_point_temperature_set_1d,heat_index_set_1d,relative_humidity_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 10:00:00,21.67,12.28,,92.83,13.43,BVECA,673,-123.79000,40.47000
1,2018-08-01 10:04:00,21.65,12.33,,93.19,13.42,BVECA,673,-123.79000,40.47000
2,2018-08-01 10:08:00,21.64,12.3,,93.36,13.36,BVECA,673,-123.79000,40.47000
3,2018-08-01 10:12:00,21.62,12.24,,93.4,13.29,BVECA,673,-123.79000,40.47000
4,2018-08-01 10:16:00,21.6,12.24,,93.75,13.24,BVECA,673,-123.79000,40.47000
5,2018-08-01 10:20:00,21.57,12.26,,93.71,13.26,BVECA,673,-123.79000,40.47000
6,2018-08-01 10:24:00,21.55,12.24,,93.39,13.3,BVECA,673,-123.79000,40.47000
7,2018-08-01 10:28:00,21.54,12.15,,92.86,13.29,BVECA,673,-123.79000,40.47000
8,2018-08-01 10:33:00,21.52,12.18,,92.94,13.31,BVECA,673,-123.79000,40.47000
9,2018-08-01 10:37:00,21.5,12.16,,92.92,13.29,BVECA,673,-123.79000,40.47000
10,2018-08-01 10:41:00,21.48,12.18,,93.18,13.27,BVECA,673,-123.79000,40.47000
11,2018-08-01 10:45:00,21.46,12.16,,93.36,13.22,BVECA,673,-123.79000,40.47000
12,2018-08-01 10:49:00,21.43,12.15,,93.27,13.22,BVECA,673,-123.79000,40.47000
13,2018-08-01 10:53:00,21.42,12.22,,93.49,13.26,BVECA,673,-123.79000,40.47000
14,2018-08-01 10:57:00,21.4,12.24,,93.29,13.31,BVECA,673,-123.79000,40.47000
15,2018-08-01 11:00:00,21.38,12.29,,93.28,13.36,BVECA,673,-123.79000,40.47000
16,2018-08-01 11:04:00,21.36,12.22,,93.35,13.28,BVECA,673,-123.79000,40.47000
17,2018-08-01 11:08:00,21.35,12.23,,93.83,13.21,BVECA,673,-123.79000,40.47000
18,2018-08-01 11:12:00,21.33,12.33,,94.19,13.25,BVECA,673,-123.79000,40.47000
19,2018-08-01 11:16:00,21.31,12.28,,94.09,13.22,BVECA,673,-123.79000,40.47000
20,2018-08-01 11:20:00,21.29,12.27,,94.42,13.16,BVECA,673,-123.79000,40.47000
21,2018-08-01 11:24:00,21.27,12.27,,94.56,13.13,BVECA,673,-123.79000,40.47000
22,2018-08-01 11:28:00,21.26,12.31,,94.55,13.17,BVECA,673,-123.79000,40.47000
23,2018-08-01 11:33:00,21.24,12.25,,94.24,13.17,BVECA,673,-123.79000,40.47000
24,2018-08-01 11:37:00,21.22,12.21,,94.48,13.09,BVECA,673,-123.79000,40.47000
25,2018-08-01 11:41:00,21.21,12.18,,94.07,13.12,BVECA,673,-123.79000,40.47000
26,2018-08-01 11:45:00,21.19,12.12,,93.69,13.12,BVECA,673,-123.79000,40.47000
27,2018-08-01 11:49:00,21.17,12.15,,93.53,13.18,BVECA,673,-123.79000,40.47000
28,2018-08-01 11:53:00,21.16,12.13,,93.94,13.09,BVECA,673,-123.79000,40.47000
29,2018-08-01 11:57:00,21.14,12.23,,94.46,13.11,BVECA,673,-123.79000,40.47000
30,2018-08-01 12:00:00,21.12,12.17,,94.79,12.99,BVECA,673,-123.79000,40.47000
31,2018-08-01 12:04:00,21.09,12.2,,95.24,12.95,BVECA,673,-123.79000,40.47000
32,2018-08-01 12:08:00,21.08,12.21,,95.24,12.96,BVECA,673,-123.79000,40.47000
33,2018-08-01 12:12:00,21.07,12.18,,95.1,12.95,BVECA,673,-123.79000,40.47000
34,2018-08-01 12:16:00,21.04,12.09,,94.99,12.88,BVECA,673,-123.79000,40.47000
35,2018-08-01 12:20:00,21.03,12.1,,95.04,12.88,BVECA,673,-123.79000,40.47000
36,2018-08-01 12:24:00,21.02,12.11,,94.92,12.91,BVECA,673,-123.79000,40.47000
37,2018-08-01 12:28:00,21.0,11.94,,94.01,12.89,BVECA,673,-123.79000,40.47000
38,2018-08-01 12:33:00,20.98,11.97,,93.92,12.94,BVECA,673,-123.79000,40.47000
39,2018-08-01 12:37:00,20.97,12.03,,94.07,12.97,BVECA,673,-123.79000,40.47000
40,2018-08-01 12:41:00,20.95,12.01,,94.1,12.95,BVECA,673,-123.79000,40.47000
41,2018-08-01 12:45:00,20.93,12.01,,94.02,12.96,BVECA,673,-123.79000,40.47000
42,2018-08-01 12:49:00,20.93,11.95,,94.03,12.9,BVECA,673,-123.79000,40.47000
43,2018-08-01 12:53:00,20.91,11.97,,94.46,12.85,BVECA,673,-123.79000,40.47000
44,2018-08-01 12:57:00,20.88,11.98,,94.58,12.84,BVECA,673,-123.79000,40.47000
45,2018-08-01 13:00:00,20.88,11.92,,94.44,12.8,BVECA,673,-123.79000,40.47000
46,2018-08-01 13:04:00,20.86,11.96,,94.59,12.82,BVECA,673,-123.79000,40.47000
47,2018-08-01 13:08:00,20.83,12.01,,94.6,12.86,BVECA,673,-123.79000,40.47000
48,2018-08-01 13:12:00,20.82,12.01,,94.44,12.89,BVECA,673,-123.79000,40.47000
49,2018-08-01 13:16:00,20.81,12.04,,94.33,12.94,BVECA,673,-123.79000,40.47000
50,2018-08-01 13:20:00,20.78,11.94,,94.08,12.88,BVECA,673,-123.79000,40.47000
