,date_time,wind_gust_set_1,volt_set_1,precip_accum_set_1,relative_humidity_set_1,wind_speed_set_1,peak_wind_speed_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:34:00,0.0,12.9,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
1,2018-08-01 01:34:00,0.0,12.8,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
2,2018-08-01 02:34:00,0.0,12.8,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
3,2018-08-01 03:34:00,0.0,12.8,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
4,2018-08-01 04:34:00,0.0,12.8,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
5,2018-08-01 05:34:00,0.0,12.8,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
6,2018-08-01 06:34:00,0.0,12.8,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
7,2018-08-01 07:34:00,0.0,12.7,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
8,2018-08-01 08:34:00,0.0,12.7,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
9,2018-08-01 09:34:00,0.0,12.7,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
10,2018-08-01 10:34:00,0.0,12.7,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
11,2018-08-01 11:34:00,0.0,12.7,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
12,2018-08-01 12:34:00,0.0,12.7,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
13,2018-08-01 13:34:00,0.0,12.7,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
14,2018-08-01 14:34:00,0.0,12.7,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
15,2018-08-01 15:34:00,0.0,12.7,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
16,2018-08-01 16:34:00,0.0,12.8,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
17,2018-08-01 17:34:00,0.0,12.8,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
18,2018-08-01 18:34:00,0.0,12.8,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
19,2018-08-01 19:34:00,0.0,12.8,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
20,2018-08-01 20:34:00,0.0,12.8,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
21,2018-08-01 21:34:00,0.0,12.8,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
22,2018-08-01 22:34:00,0.0,12.8,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
23,2018-08-01 23:34:00,0.0,12.8,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
24,2018-08-02 00:34:00,0.0,12.8,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
25,2018-08-02 01:34:00,0.0,12.8,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
26,2018-08-02 02:34:00,0.0,12.8,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
27,2018-08-02 03:34:00,0.0,12.8,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
28,2018-08-02 04:34:00,0.0,12.7,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
29,2018-08-02 05:34:00,0.0,12.7,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
30,2018-08-02 06:34:00,0.0,12.7,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
31,2018-08-02 07:34:00,0.0,12.7,66.294,3.0,0.0,0.0,TS052,6074,-120.211611,39.399528
