,date_time,fuel_moisture_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,volt_set_1,peak_wind_direction_set_1,air_temp_low_24_hour_set_1,air_temp_high_24_hour_set_1,dew_point_temperature_set_1d,fuel_temp_set_1,precip_accum_set_1,heat_index_set_1d,wind_direction_set_1,wind_speed_set_1,peak_wind_speed_set_1,solar_radiation_set_1,relative_humidity_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:03:00,4.5,ESE,6.7,13.2,125.0,23.33,32.78,12.04,37.22,279.654,30.45,122.0,3.58,6.7,603.0,30.0,31.67,EPKC1,3713,-122.641944, 39.926944
1,2018-08-01 01:03:00,4.6,SE,6.26,13.3,116.0,,,13.66,33.33,279.654,28.87,133.0,3.58,6.26,416.0,38.0,29.44,EPKC1,3713,-122.641944, 39.926944
2,2018-08-01 02:03:00,4.8,SSW,4.02,13.1,171.0,,,13.45,29.44,279.654,27.96,213.0,2.23,4.02,245.0,40.0,28.33,EPKC1,3713,-122.641944, 39.926944
3,2018-08-01 03:03:00,5.1,ESE,3.58,13.0,217.0,,,10.5,26.11,279.654,27.13,116.0,1.34,3.58,71.0,34.0,27.78,EPKC1,3713,-122.641944, 39.926944
4,2018-08-01 04:03:00,5.3,NW,2.23,12.9,315.0,,,9.59,25.56,279.654,27.03,307.0,1.34,2.23,3.0,32.0,27.78,EPKC1,3713,-122.641944, 39.926944
5,2018-08-01 05:03:00,5.6,NNW,3.13,12.9,327.0,,,9.1,25.0,279.654,26.64,348.0,2.23,3.13,0.0,32.0,27.22,EPKC1,3713,-122.641944, 39.926944
6,2018-08-01 06:03:00,5.7,NNW,4.92,12.9,336.0,,,8.96,23.89,279.654,,332.0,4.47,4.92,0.0,35.0,25.56,EPKC1,3713,-122.641944, 39.926944
7,2018-08-01 07:03:00,5.8,NNW,5.37,12.9,341.0,,,9.78,23.89,279.654,,344.0,4.47,5.37,0.0,37.0,25.56,EPKC1,3713,-122.641944, 39.926944
8,2018-08-01 08:03:00,6.0,NW,4.92,12.9,341.0,,,9.68,23.89,279.654,,322.0,3.13,4.92,0.0,38.0,25.0,EPKC1,3713,-122.641944, 39.926944
9,2018-08-01 09:03:00,6.0,N,5.37,12.9,360.0,,,10.31,23.33,279.654,,352.0,4.02,5.37,0.0,41.0,24.44,EPKC1,3713,-122.641944, 39.926944
10,2018-08-01 10:03:00,6.2,NNW,6.26,12.9,9.0,,,9.16,21.67,279.654,,330.0,5.37,6.26,0.0,42.0,22.78,EPKC1,3713,-122.641944, 39.926944
11,2018-08-01 11:03:00,6.4,NW,5.37,12.8,340.0,,,9.51,21.11,279.654,,312.0,2.68,5.37,0.0,43.0,22.78,EPKC1,3713,-122.641944, 39.926944
12,2018-08-01 12:03:00,6.5,N,3.13,12.8,6.0,,,8.94,21.11,279.654,,8.0,2.23,3.13,0.0,40.0,23.33,EPKC1,3713,-122.641944, 39.926944
13,2018-08-01 13:03:00,6.7,NNW,3.13,12.8,348.0,,,9.66,21.11,279.654,,330.0,2.23,3.13,0.0,42.0,23.33,EPKC1,3713,-122.641944, 39.926944
14,2018-08-01 14:03:00,6.8,,2.23,12.9,324.0,,,8.94,20.56,279.654,,,0.0,2.23,18.0,40.0,23.33,EPKC1,3713,-122.641944, 39.926944
15,2018-08-01 15:03:00,7.0,ESE,2.23,13.0,135.0,,,10.31,23.33,279.654,,121.0,0.9,2.23,72.0,41.0,24.44,EPKC1,3713,-122.641944, 39.926944
16,2018-08-01 16:03:00,7.0,ESE,2.68,13.5,127.0,,,9.94,27.78,279.654,26.31,118.0,0.45,2.68,144.0,35.0,26.67,EPKC1,3713,-122.641944, 39.926944
